,Recruitment
2018-12-30,42
2019-01-06,61
2019-01-13,54
2019-01-20,58
2019-01-27,47
2019-02-03,59
2019-02-10,53
2019-02-17,58
2019-02-24,47
2019-03-03,70
2019-03-10,50
2019-03-17,54
2019-03-24,44
2019-03-31,48
2019-04-07,47
2019-04-14,38
2019-04-21,31
2019-04-28,36
2019-05-05,46
2019-05-12,47
2019-05-19,68
2019-05-26,70
2019-06-02,59
2019-06-09,55
2019-06-16,52
2019-06-23,55
2019-06-30,64
2019-07-07,79
2019-07-14,49
2019-07-21,68
2019-07-28,68
2019-08-04,69
2019-08-11,48
2019-08-18,55
2019-08-25,54
2019-09-01,49
2019-09-08,46
2019-09-15,62
2019-09-22,54
2019-09-29,60
2019-10-06,50
2019-10-13,58
2019-10-20,55
2019-10-27,66
2019-11-03,60
2019-11-10,47
2019-11-17,54
2019-11-24,57
2019-12-01,52
2019-12-08,55
2019-12-15,68
2019-12-22,44
2019-12-29,46
2020-01-05,65
2020-01-12,52
2020-01-19,68
2020-01-26,51
2020-02-02,57
2020-02-09,66
2020-02-16,67
2020-02-23,73
2020-03-01,66
2020-03-08,55
2020-03-15,23
2020-03-22,24
2020-03-29,29
2020-04-05,28
2020-04-12,32
2020-04-19,30
2020-04-26,26
2020-05-03,39
2020-05-10,44
2020-05-17,35
2020-05-24,31
2020-05-31,33
2020-06-07,47
2020-06-14,33
2020-06-21,37
2020-06-28,41
2020-07-05,39
2020-07-12,43
2020-07-19,48
2020-07-26,38
2020-08-02,36
2020-08-09,52
2020-08-16,78
2020-08-23,57
2020-08-30,44
2020-09-06,63
2020-09-13,46
2020-09-20,54
2020-09-27,45
2020-10-04,33
2020-10-11,41
2020-10-18,37
2020-10-25,41
2020-11-01,31
2020-11-08,39
2020-11-15,42
2020-11-22,47
2020-11-29,33
2020-12-06,42
2020-12-13,41
2020-12-20,30
2020-12-27,34
2021-01-03,47
2021-01-10,43
2021-01-17,42
2021-01-24,48
2021-01-31,43
2021-02-07,47
2021-02-14,48
2021-02-21,40
2021-02-28,46
2021-03-07,50
2021-03-14,45
2021-03-21,47
2021-03-28,51
2021-04-04,41
2021-04-11,29
2021-04-18,46
2021-04-25,39
2021-05-02,45
2021-05-09,47
2021-05-16,47
2021-05-23,44
2021-05-30,45
2021-06-06,48
2021-06-13,49
2021-06-20,46
2021-06-27,44
2021-07-04,51
2021-07-11,34
2021-07-18,45
2021-07-25,55
2021-08-01,53
2021-08-08,40
2021-08-15,40
2021-08-22,47
2021-08-29,41
2021-09-05,46
2021-09-12,52
2021-09-19,54
2021-09-26,55
2021-10-03,47
2021-10-10,49
2021-10-17,46
2021-10-24,50
2021-10-31,41
2021-11-07,52
2021-11-14,52
2021-11-21,56
2021-11-28,48
2021-12-05,59
2021-12-12,57
2021-12-19,30
2021-12-26,45
2022-01-02,70
2022-01-09,51
2022-01-16,60
2022-01-23,78
2022-01-30,58
2022-02-06,63
2022-02-13,63
2022-02-20,55
2022-02-27,61
2022-03-06,62
2022-03-13,63
2022-03-20,68
2022-03-27,47
2022-04-03,48
2022-04-10,43
2022-04-17,58
2022-04-24,68
2022-05-01,55
2022-05-08,44
2022-05-15,49
2022-05-22,67
2022-05-29,68
2022-06-05,75
2022-06-12,63
2022-06-19,54
2022-06-26,68
2022-07-03,64
2022-07-10,51
2022-07-17,52
2022-07-24,46
2022-07-31,65
2022-08-07,67
2022-08-14,61
2022-08-21,72
2022-08-28,65
2022-09-04,63
2022-09-11,100
2022-09-18,74
2022-09-25,74
2022-10-02,81
2022-10-09,70
2022-10-16,65
2022-10-23,51
2022-10-30,57
2022-11-06,60
2022-11-13,64
2022-11-20,63
2022-11-27,57
2022-12-04,59
2022-12-11,63
2022-12-18,49
2022-12-25,53
2023-01-01,56
2023-01-08,52
2023-01-15,60
2023-01-22,72
2023-01-29,58
2023-02-05,63
2023-02-12,58
2023-02-19,66
2023-02-26,52
2023-03-05,64
2023-03-12,63
2023-03-19,63
2023-03-26,66
2023-04-02,58
2023-04-09,48
2023-04-16,55
2023-04-23,56
2023-04-30,56
2023-05-07,64
2023-05-14,77
2023-05-21,73
2023-05-28,64
2023-06-04,71
2023-06-11,70
2023-06-18,71
2023-06-25,63
2023-07-02,66
2023-07-09,56
2023-07-16,68
2023-07-23,60
2023-07-30,67
2023-08-06,65
2023-08-13,65
2023-08-20,58
2023-08-27,67
2023-09-03,56
2023-09-10,60
2023-09-17,74
2023-09-24,56
2023-10-01,59
2023-10-08,63
2023-10-15,68
2023-10-22,61
2023-10-29,60
2023-11-05,56
2023-11-12,80
2023-11-19,71
2023-11-26,68
2023-12-03,67
2023-12-10,62
2023-12-17,58
2023-12-24,50
2023-12-31,45
2024-01-07,66
