,Home Improvement
2018-12-30,57
2019-01-06,61
2019-01-13,58
2019-01-20,59
2019-01-27,62
2019-02-03,61
2019-02-10,66
2019-02-17,66
2019-02-24,66
2019-03-03,63
2019-03-10,63
2019-03-17,65
2019-03-24,71
2019-03-31,68
2019-04-07,57
2019-04-14,46
2019-04-21,42
2019-04-28,50
2019-05-05,54
2019-05-12,52
2019-05-19,55
2019-05-26,64
2019-06-02,70
2019-06-09,72
2019-06-16,72
2019-06-23,83
2019-06-30,84
2019-07-07,70
2019-07-14,65
2019-07-21,66
2019-07-28,67
2019-08-04,68
2019-08-11,64
2019-08-18,67
2019-08-25,64
2019-09-01,55
2019-09-08,60
2019-09-15,64
2019-09-22,62
2019-09-29,56
2019-10-06,61
2019-10-13,62
2019-10-20,61
2019-10-27,57
2019-11-03,52
2019-11-10,54
2019-11-17,59
2019-11-24,63
2019-12-01,63
2019-12-08,61
2019-12-15,66
2019-12-22,63
2019-12-29,65
2020-01-05,63
2020-01-12,63
2020-01-19,62
2020-01-26,61
2020-02-02,62
2020-02-09,63
2020-02-16,68
2020-02-23,65
2020-03-01,62
2020-03-08,59
2020-03-15,50
2020-03-22,49
2020-03-29,44
2020-04-05,46
2020-04-12,45
2020-04-19,46
2020-04-26,47
2020-05-03,50
2020-05-10,57
2020-05-17,59
2020-05-24,62
2020-05-31,67
2020-06-07,71
2020-06-14,73
2020-06-21,72
2020-06-28,69
2020-07-05,72
2020-07-12,72
2020-07-19,75
2020-07-26,72
2020-08-02,66
2020-08-09,71
2020-08-16,65
2020-08-23,69
2020-08-30,65
2020-09-06,69
2020-09-13,64
2020-09-20,63
2020-09-27,60
2020-10-04,65
2020-10-11,69
2020-10-18,68
2020-10-25,63
2020-11-01,62
2020-11-08,67
2020-11-15,65
2020-11-22,69
2020-11-29,69
2020-12-06,70
2020-12-13,75
2020-12-20,75
2020-12-27,67
2021-01-03,66
2021-01-10,65
2021-01-17,67
2021-01-24,68
2021-01-31,67
2021-02-07,72
2021-02-14,73
2021-02-21,74
2021-02-28,72
2021-03-07,74
2021-03-14,76
2021-03-21,76
2021-03-28,80
2021-04-04,74
2021-04-11,58
2021-04-18,77
2021-04-25,80
2021-05-02,78
2021-05-09,75
2021-05-16,78
2021-05-23,69
2021-05-30,80
2021-06-06,79
2021-06-13,79
2021-06-20,83
2021-06-27,85
2021-07-04,87
2021-07-11,87
2021-07-18,85
2021-07-25,83
2021-08-01,83
2021-08-08,80
2021-08-15,79
2021-08-22,69
2021-08-29,75
2021-09-05,81
2021-09-12,87
2021-09-19,87
2021-09-26,84
2021-10-03,87
2021-10-10,88
2021-10-17,90
2021-10-24,91
2021-10-31,92
2021-11-07,91
2021-11-14,81
2021-11-21,80
2021-11-28,82
2021-12-05,85
2021-12-12,78
2021-12-19,80
2021-12-26,81
2022-01-02,97
2022-01-09,95
2022-01-16,82
2022-01-23,91
2022-01-30,100
2022-02-06,93
2022-02-13,96
2022-02-20,100
2022-02-27,93
2022-03-06,94
2022-03-13,85
2022-03-20,96
2022-03-27,85
2022-04-03,73
2022-04-10,68
2022-04-17,79
2022-04-24,93
2022-05-01,87
2022-05-08,75
2022-05-15,80
2022-05-22,81
2022-05-29,85
2022-06-05,83
2022-06-12,78
2022-06-19,84
2022-06-26,86
2022-07-03,81
2022-07-10,94
2022-07-17,82
2022-07-24,79
2022-07-31,79
2022-08-07,80
2022-08-14,85
2022-08-21,86
2022-08-28,83
2022-09-04,81
2022-09-11,75
2022-09-18,80
2022-09-25,81
2022-10-02,78
2022-10-09,78
2022-10-16,82
2022-10-23,85
2022-10-30,79
2022-11-06,78
2022-11-13,81
2022-11-20,78
2022-11-27,77
2022-12-04,80
2022-12-11,80
2022-12-18,80
2022-12-25,81
2023-01-01,73
2023-01-08,78
2023-01-15,79
2023-01-22,88
2023-01-29,89
2023-02-05,82
2023-02-12,82
2023-02-19,77
2023-02-26,75
2023-03-05,72
2023-03-12,73
2023-03-19,76
2023-03-26,81
2023-04-02,83
2023-04-09,62
2023-04-16,71
2023-04-23,70
2023-04-30,65
2023-05-07,69
2023-05-14,72
2023-05-21,78
2023-05-28,70
2023-06-04,74
2023-06-11,76
2023-06-18,85
2023-06-25,83
2023-07-02,83
2023-07-09,84
2023-07-16,79
2023-07-23,78
2023-07-30,79
2023-08-06,90
2023-08-13,81
2023-08-20,75
2023-08-27,75
2023-09-03,80
2023-09-10,75
2023-09-17,74
2023-09-24,79
2023-10-01,83
2023-10-08,89
2023-10-15,88
2023-10-22,91
2023-10-29,90
2023-11-05,88
2023-11-12,88
2023-11-19,84
2023-11-26,82
2023-12-03,81
2023-12-10,74
2023-12-17,88
2023-12-24,82
2023-12-31,80
2024-01-07,78
