,Aviation
2014-12-28,34.0
2015-01-04,29.0
2015-01-11,28.0
2015-01-18,28.0
2015-01-25,28.0
2015-02-01,28.0
2015-02-08,27.0
2015-02-15,29.0
2015-02-22,28.0
2015-03-01,27.0
2015-03-08,26.0
2015-03-15,35.0
2015-03-22,30.0
2015-03-29,28.0
2015-04-05,30.0
2015-04-12,29.0
2015-04-19,28.0
2015-04-26,26.0
2015-05-03,26.0
2015-05-10,28.0
2015-05-17,27.0
2015-05-24,28.0
2015-05-31,27.0
2015-06-07,29.0
2015-06-14,31.0
2015-06-21,33.0
2015-06-28,36.0
2015-07-05,37.0
2015-07-12,36.0
2015-07-19,36.0
2015-07-26,35.0
2015-08-02,36.0
2015-08-09,34.0
2015-08-16,35.0
2015-08-23,31.0
2015-08-30,34.0
2015-09-06,32.0
2015-09-13,31.0
2015-09-20,30.0
2015-09-27,29.0
2015-10-04,31.0
2015-10-11,31.0
2015-10-18,27.0
2015-10-25,31.0
2015-11-01,30.0
2015-11-08,29.0
2015-11-15,30.0
2015-11-22,30.0
2015-11-29,29.0
2015-12-06,32.0
2015-12-13,32.0
2015-12-20,33.0
2015-12-27,31.0
2016-01-03,33.0
2016-01-10,30.0
2016-01-17,32.0
2016-01-24,30.0
2016-01-31,32.0
2016-02-07,31.0
2016-02-14,30.0
2016-02-21,31.0
2016-02-28,32.0
2016-03-06,34.0
2016-03-13,32.0
2016-03-20,33.0
2016-03-27,35.0
2016-04-03,33.0
2016-04-10,31.0
2016-04-17,31.0
2016-04-24,32.0
2016-05-01,33.0
2016-05-08,41.0
2016-05-15,38.0
2016-05-22,35.0
2016-05-29,35.0
2016-06-05,38.0
2016-06-12,34.0
2016-06-19,42.0
2016-06-26,37.0
2016-07-03,37.0
2016-07-10,36.0
2016-07-17,38.0
2016-07-24,39.0
2016-07-31,41.0
2016-08-07,37.0
2016-08-14,34.0
2016-08-21,34.0
2016-08-28,36.0
2016-09-04,38.0
2016-09-11,36.0
2016-09-18,34.0
2016-09-25,38.0
2016-10-02,34.0
2016-10-09,33.0
2016-10-16,36.0
2016-10-23,37.0
2016-10-30,34.0
2016-11-06,35.0
2016-11-13,32.0
2016-11-20,32.0
2016-11-27,38.0
2016-12-04,39.0
2016-12-11,42.0
2016-12-18,45.0
2016-12-25,52.0
2017-01-01,54.0
2017-01-08,46.0
2017-01-15,45.0
2017-01-22,42.0
2017-01-29,43.0
2017-02-05,44.0
2017-02-12,43.0
2017-02-19,41.0
2017-02-26,41.0
2017-03-05,42.0
2017-03-12,45.0
2017-03-19,42.0
2017-03-26,43.0
2017-04-02,40.0
2017-04-09,41.0
2017-04-16,38.0
2017-04-23,40.0
2017-04-30,37.0
2017-05-07,40.0
2017-05-14,39.0
2017-05-21,39.0
2017-05-28,44.0
2017-06-04,41.0
2017-06-11,44.0
2017-06-18,44.0
2017-06-25,42.0
2017-07-02,44.0
2017-07-09,44.0
2017-07-16,45.0
2017-07-23,44.0
2017-07-30,46.0
2017-08-06,42.0
2017-08-13,44.0
2017-08-20,43.0
2017-08-27,45.0
2017-09-03,46.0
2017-09-10,47.0
2017-09-17,49.0
2017-09-24,38.0
2017-10-01,40.0
2017-10-08,46.0
2017-10-15,33.0
2017-10-22,44.0
2017-10-29,48.0
2017-11-05,47.0
2017-11-12,48.0
2017-11-19,45.0
2017-11-26,42.0
2017-12-03,43.0
2017-12-10,55.0
2017-12-17,46.0
2017-12-24,49.0
2017-12-31,47.0
2018-01-07,47.0
2018-01-14,46.0
2018-01-21,43.0
2018-01-28,47.0
2018-02-04,53.0
2018-02-11,51.0
2018-02-18,52.0
2018-02-25,45.0
2018-03-04,47.0
2018-03-11,52.0
2018-03-18,56.0
2018-03-25,49.0
2018-04-01,49.0
2018-04-08,47.0
2018-04-15,44.0
2018-04-22,47.0
2018-04-29,44.0
2018-05-06,46.0
2018-05-13,46.0
2018-05-20,49.0
2018-05-27,49.0
2018-06-03,48.0
2018-06-10,51.0
2018-06-17,48.0
2018-06-24,60.0
2018-07-01,51.0
2018-07-08,52.0
2018-07-15,56.0
2018-07-22,57.0
2018-07-29,61.0
2018-08-05,60.0
2018-08-12,56.0
2018-08-19,57.0
2018-08-26,62.0
2018-09-02,64.0
2018-09-09,60.0
2018-09-16,68.0
2018-09-23,66.0
2018-09-30,62.0
2018-10-07,64.0
2018-10-14,52.0
2018-10-21,57.0
2018-10-28,62.0
2018-11-04,49.0
2018-11-11,62.0
2018-11-18,55.0
2018-11-25,61.0
2018-12-02,57.0
2018-12-09,57.0
2018-12-16,60.0
2018-12-23,64.0
2018-12-30,58.0
2019-01-06,60.0
2019-01-13,58.0
2019-01-20,59.0
2019-01-27,59.0
2019-02-03,62.0
2019-02-10,64.0
2019-02-17,65.0
2019-02-24,100.0
2019-03-03,83.0
2019-03-10,93.0
2019-03-17,75.0
