,Car Rental & Taxi Services
2014-12-28,34.0
2015-01-04,27.0
2015-01-11,29.0
2015-01-18,33.0
2015-01-25,32.0
2015-02-01,31.0
2015-02-08,32.0
2015-02-15,30.0
2015-02-22,30.0
2015-03-01,31.0
2015-03-08,30.0
2015-03-15,29.0
2015-03-22,30.0
2015-03-29,34.0
2015-04-05,33.0
2015-04-12,35.0
2015-04-19,37.0
2015-04-26,41.0
2015-05-03,38.0
2015-05-10,37.0
2015-05-17,37.0
2015-05-24,38.0
2015-05-31,38.0
2015-06-07,38.0
2015-06-14,34.0
2015-06-21,33.0
2015-06-28,37.0
2015-07-05,37.0
2015-07-12,37.0
2015-07-19,39.0
2015-07-26,37.0
2015-08-02,36.0
2015-08-09,36.0
2015-08-16,38.0
2015-08-23,34.0
2015-08-30,36.0
2015-09-06,32.0
2015-09-13,33.0
2015-09-20,33.0
2015-09-27,33.0
2015-10-04,31.0
2015-10-11,32.0
2015-10-18,32.0
2015-10-25,29.0
2015-11-01,32.0
2015-11-08,30.0
2015-11-15,32.0
2015-11-22,32.0
2015-11-29,31.0
2015-12-06,31.0
2015-12-13,31.0
2015-12-20,36.0
2015-12-27,31.0
2016-01-03,26.0
2016-01-10,27.0
2016-01-17,28.0
2016-01-24,26.0
2016-01-31,25.0
2016-02-07,26.0
2016-02-14,26.0
2016-02-21,23.0
2016-02-28,25.0
2016-03-06,26.0
2016-03-13,26.0
2016-03-20,27.0
2016-03-27,25.0
2016-04-03,30.0
2016-04-10,31.0
2016-04-17,32.0
2016-04-24,33.0
2016-05-01,33.0
2016-05-08,36.0
2016-05-15,33.0
2016-05-22,32.0
2016-05-29,32.0
2016-06-05,33.0
2016-06-12,30.0
2016-06-19,30.0
2016-06-26,31.0
2016-07-03,34.0
2016-07-10,31.0
2016-07-17,30.0
2016-07-24,37.0
2016-07-31,30.0
2016-08-07,31.0
2016-08-14,29.0
2016-08-21,30.0
2016-08-28,31.0
2016-09-04,30.0
2016-09-11,31.0
2016-09-18,27.0
2016-09-25,26.0
2016-10-02,29.0
2016-10-09,28.0
2016-10-16,29.0
2016-10-23,30.0
2016-10-30,29.0
2016-11-06,28.0
2016-11-13,25.0
2016-11-20,29.0
2016-11-27,28.0
2016-12-04,29.0
2016-12-11,30.0
2016-12-18,35.0
2016-12-25,36.0
2017-01-01,34.0
2017-01-08,29.0
2017-01-15,31.0
2017-01-22,33.0
2017-01-29,29.0
2017-02-05,30.0
2017-02-12,31.0
2017-02-19,31.0
2017-02-26,31.0
2017-03-05,28.0
2017-03-12,28.0
2017-03-19,31.0
2017-03-26,29.0
2017-04-02,31.0
2017-04-09,34.0
2017-04-16,33.0
2017-04-23,34.0
2017-04-30,34.0
2017-05-07,34.0
2017-05-14,38.0
2017-05-21,36.0
2017-05-28,37.0
2017-06-04,37.0
2017-06-11,37.0
2017-06-18,39.0
2017-06-25,37.0
2017-07-02,38.0
2017-07-09,37.0
2017-07-16,37.0
2017-07-23,34.0
2017-07-30,35.0
2017-08-06,38.0
2017-08-13,36.0
2017-08-20,33.0
2017-08-27,33.0
2017-09-03,35.0
2017-09-10,33.0
2017-09-17,33.0
2017-09-24,39.0
2017-10-01,35.0
2017-10-08,35.0
2017-10-15,33.0
2017-10-22,33.0
2017-10-29,34.0
2017-11-05,33.0
2017-11-12,32.0
2017-11-19,34.0
2017-11-26,34.0
2017-12-03,35.0
2017-12-10,36.0
2017-12-17,40.0
2017-12-24,42.0
2017-12-31,37.0
2018-01-07,35.0
2018-01-14,34.0
2018-01-21,34.0
2018-01-28,33.0
2018-02-04,34.0
2018-02-11,35.0
2018-02-18,36.0
2018-02-25,31.0
2018-03-04,33.0
2018-03-11,34.0
2018-03-18,35.0
2018-03-25,40.0
2018-04-01,34.0
2018-04-08,35.0
2018-04-15,38.0
2018-04-22,41.0
2018-04-29,38.0
2018-05-06,39.0
2018-05-13,40.0
2018-05-20,40.0
2018-05-27,41.0
2018-06-03,44.0
2018-06-10,42.0
2018-06-17,39.0
2018-06-24,40.0
2018-07-01,41.0
2018-07-08,40.0
2018-07-15,39.0
2018-07-22,42.0
2018-07-29,42.0
2018-08-05,44.0
2018-08-12,42.0
2018-08-19,44.0
2018-08-26,46.0
2018-09-02,51.0
2018-09-09,45.0
2018-09-16,45.0
2018-09-23,47.0
2018-09-30,48.0
2018-10-07,51.0
2018-10-14,49.0
2018-10-21,49.0
2018-10-28,49.0
2018-11-04,45.0
2018-11-11,51.0
2018-11-18,52.0
2018-11-25,53.0
2018-12-02,56.0
2018-12-09,57.0
2018-12-16,57.0
2018-12-23,61.0
2018-12-30,56.0
2019-01-06,53.0
2019-01-13,50.0
2019-01-20,53.0
2019-01-27,50.0
2019-02-03,49.0
2019-02-10,48.0
2019-02-17,49.0
2019-02-24,47.0
