,Book Retailers
2019-04-28,6.0
2019-05-05,6.0
2019-05-12,6.0
2019-05-19,100.0
2019-05-26,8.0
2019-06-02,5.0
2019-06-09,5.0
2019-06-16,4.0
2019-06-23,4.0
2019-06-30,4.0
2019-07-07,4.0
2019-07-14,4.0
2019-07-21,4.0
2019-07-28,4.0
2019-08-04,4.0
2019-08-11,4.0
2019-08-18,4.0
2019-08-25,4.0
2019-09-01,4.0
2019-09-08,5.0
2019-09-15,6.0
2019-09-22,6.0
2019-09-29,6.0
2019-10-06,6.0
2019-10-13,7.0
2019-10-20,26.0
2019-10-27,5.0
2019-11-03,5.0
2019-11-10,5.0
2019-11-17,5.0
2019-11-24,5.0
2019-12-01,4.0
2019-12-08,5.0
2019-12-15,4.0
2019-12-22,16.0
2019-12-29,5.0
2020-01-05,4.33972602739726
2020-01-12,4.33972602739726
2020-01-19,4.33972602739726
2020-01-26,4.33972602739726
2020-02-02,4.33972602739726
2020-02-09,18.443835616438356
2020-02-16,3.254794520547945
2020-02-23,4.33972602739726
2020-03-01,3.254794520547945
2020-03-08,3.254794520547945
2020-03-15,3.254794520547945
2020-03-22,2.16986301369863
2020-03-29,2.16986301369863
2020-04-05,2.16986301369863
2020-04-12,2.16986301369863
2020-04-19,3.254794520547945
2020-04-26,3.254794520547945
2020-05-03,3.254794520547945
2020-05-10,3.254794520547945
2020-05-17,3.254794520547945
2020-05-24,3.254794520547945
2020-05-31,3.254794520547945
2020-06-07,3.254794520547945
2020-06-14,3.254794520547945
2020-06-21,3.254794520547945
2020-06-28,4.33972602739726
2020-07-05,4.33972602739726
2020-07-12,5.424657534246576
2020-07-19,3.254794520547945
2020-07-26,3.254794520547945
2020-08-02,3.254794520547945
2020-08-09,4.33972602739726
2020-08-16,4.33972602739726
2020-08-23,4.33972602739726
2020-08-30,4.33972602739726
2020-09-06,4.33972602739726
2020-09-13,4.33972602739726
2020-09-20,4.33972602739726
2020-09-27,4.33972602739726
2020-10-04,4.33972602739726
2020-10-11,4.33972602739726
2020-10-18,4.33972602739726
2020-10-25,4.33972602739726
2020-11-01,4.33972602739726
2020-11-08,44.482191780821914
2020-11-15,4.33972602739726
2020-11-22,4.33972602739726
2020-11-29,4.33972602739726
2020-12-06,4.33972602739726
2020-12-13,5.424657534246576
2020-12-20,5.424657534246576
2020-12-27,4.33972602739726
2021-01-03,4.33972602739726
2021-01-10,4.33972602739726
2021-01-17,4.33972602739726
2021-01-24,5.424657534246576
2021-01-31,5.424657534246576
2021-02-07,4.33972602739726
2021-02-14,4.33972602739726
2021-02-21,4.33972602739726
2021-02-28,5.424657534246576
2021-03-07,5.424657534246576
2021-03-14,4.33972602739726
2021-03-21,5.424657534246576
2021-03-28,5.424657534246576
2021-04-04,6.50958904109589
2021-04-11,5.424657534246576
2021-04-18,4.33972602739726
2021-04-25,4.33972602739726
2021-05-02,37.97260273972603
2021-05-09,3.254794520547945
2021-05-16,3.254794520547945
2021-05-23,3.254794520547945
2021-05-30,4.33972602739726
2021-06-06,4.33972602739726
2021-06-13,4.33972602739726
2021-06-20,4.33972602739726
2021-06-27,4.33972602739726
2021-07-04,4.33972602739726
2021-07-11,4.33972602739726
2021-07-18,4.33972602739726
2021-07-25,4.33972602739726
2021-08-01,4.33972602739726
2021-08-08,4.33972602739726
2021-08-15,4.33972602739726
2021-08-22,3.254794520547945
2021-08-29,3.254794520547945
2021-09-05,4.33972602739726
2021-09-12,4.33972602739726
2021-09-19,4.33972602739726
2021-09-26,4.33972602739726
2021-10-03,4.33972602739726
2021-10-10,3.254794520547945
2021-10-17,3.254794520547945
2021-10-24,3.254794520547945
2021-10-31,5.424657534246576
2021-11-07,3.254794520547945
2021-11-14,4.33972602739726
2021-11-21,4.33972602739726
2021-11-28,4.33972602739726
2021-12-05,4.33972602739726
2021-12-12,4.33972602739726
2021-12-19,4.33972602739726
2021-12-26,4.33972602739726
2022-01-02,4.33972602739726
2022-01-09,5.424657534246576
2022-01-16,5.424657534246576
2022-01-23,5.424657534246576
2022-01-30,5.424657534246576
2022-02-06,5.424657534246576
2022-02-13,8.67945205479452
2022-02-20,9.764383561643836
2022-02-27,7.594520547945205
2022-03-06,79.2
2022-03-13,8.67945205479452
2022-03-20,6.50958904109589
2022-03-27,5.424657534246576
2022-04-03,5.424657534246576
2022-04-10,7.594520547945205
2022-04-17,4.33972602739726
2022-04-24,4.33972602739726
2022-05-01,4.33972602739726
2022-05-08,4.33972602739726
2022-05-15,4.33972602739726
2022-05-22,4.33972602739726
2022-05-29,4.33972602739726
2022-06-05,4.33972602739726
2022-06-12,5.424657534246576
2022-06-19,5.424657534246576
2022-06-26,10.849315068493151
2022-07-03,5.424657534246576
2022-07-10,4.33972602739726
2022-07-17,4.33972602739726
2022-07-24,4.33972602739726
2022-07-31,5.424657534246576
2022-08-07,4.33972602739726
2022-08-14,4.33972602739726
2022-08-21,4.33972602739726
2022-08-28,4.33972602739726
2022-09-04,5.424657534246576
2022-09-11,5.424657534246576
2022-09-18,5.424657534246576
2022-09-25,5.424657534246576
2022-10-02,4.33972602739726
2022-10-09,4.33972602739726
2022-10-16,4.33972602739726
2022-10-23,3.254794520547945
2022-10-30,4.33972602739726
2022-11-06,6.50958904109589
2022-11-13,5.424657534246576
2022-11-20,4.33972602739726
2022-11-27,4.33972602739726
2022-12-04,24.953424657534246
2022-12-11,5.424657534246576
2022-12-18,4.33972602739726
2022-12-25,5.424657534246576
2023-01-01,4.33972602739726
2023-01-08,4.33972602739726
2023-01-15,4.33972602739726
2023-01-22,4.33972602739726
2023-01-29,4.33972602739726
2023-02-05,4.33972602739726
2023-02-12,4.33972602739726
2023-02-19,5.424657534246576
2023-02-26,9.764383561643836
2023-03-05,4.33972602739726
2023-03-12,4.33972602739726
2023-03-19,4.33972602739726
2023-03-26,5.424657534246576
2023-04-02,5.424657534246576
2023-04-09,5.424657534246576
2023-04-16,5.424657534246576
2023-04-23,4.33972602739726
2023-04-30,4.33972602739726
2023-05-07,22.783561643835615
2023-05-14,5.424657534246576
2023-05-21,4.33972602739726
2023-05-28,4.33972602739726
2023-06-04,4.33972602739726
2023-06-11,5.424657534246576
2023-06-18,5.424657534246576
2023-06-25,4.33972602739726
2023-07-02,5.424657534246576
2023-07-09,5.424657534246576
2023-07-16,5.424657534246576
2023-07-23,5.424657534246576
2023-07-30,5.424657534246576
2023-08-06,5.424657534246576
2023-08-13,5.424657534246576
2023-08-20,5.424657534246576
2023-08-27,5.424657534246576
2023-09-03,10.849315068493151
2023-09-10,5.424657534246576
2023-09-17,5.424657534246576
2023-09-24,5.424657534246576
2023-10-01,5.424657534246576
2023-10-08,6.50958904109589
2023-10-15,5.424657534246576
2023-10-22,5.424657534246576
2023-10-29,5.424657534246576
2023-11-05,5.424657534246576
2023-11-12,6.50958904109589
2023-11-19,8.67945205479452
2023-11-26,8.67945205479452
2023-12-03,108.4931506849315
2023-12-10,8.67945205479452
2023-12-17,6.50958904109589
2023-12-24,6.50958904109589
2023-12-31,6.50958904109589
2024-01-07,7.247594775406178
2024-01-14,4.8317298502707855
2024-01-21,4.8317298502707855
2024-01-28,4.8317298502707855
2024-02-04,4.8317298502707855
2024-02-11,4.8317298502707855
2024-02-18,4.8317298502707855
2024-02-25,4.8317298502707855
2024-03-03,4.8317298502707855
2024-03-10,12.079324625676964
2024-03-17,12.079324625676964
2024-03-24,9.663459700541571
2024-03-31,9.663459700541571
2024-04-07,7.247594775406178
2024-04-14,12.079324625676964
2024-04-21,9.663459700541571
2024-04-28,7.247594775406178
2024-05-05,9.663459700541571
2024-05-12,9.663459700541571
2024-05-19,12.079324625676964
2024-05-26,7.247594775406178
2024-06-02,241.58649251353927
2024-06-09,12.079324625676964
2024-06-16,7.247594775406178
2024-06-23,4.8317298502707855
2024-06-30,7.247594775406178
2024-07-07,9.663459700541571
2024-07-14,7.247594775406178
2024-07-21,4.8317298502707855
2024-07-28,4.8317298502707855
2024-08-04,4.8317298502707855
2024-08-11,7.247594775406178
2024-08-18,4.8317298502707855
2024-08-25,4.8317298502707855
2024-09-01,4.8317298502707855
2024-09-08,4.8317298502707855
2024-09-15,4.8317298502707855
2024-09-22,4.8317298502707855
2024-09-29,4.8317298502707855
2024-10-06,50.733163427843245
2024-10-13,4.8317298502707855
2024-10-20,4.8317298502707855
2024-10-27,4.8317298502707855
2024-11-03,4.8317298502707855
2024-11-10,7.247594775406178
2024-11-17,38.653838802166284
2024-11-24,9.663459700541571
2024-12-01,4.8317298502707855
2024-12-08,4.8317298502707855
2024-12-15,4.8317298502707855
2024-12-22,4.8317298502707855
2024-12-29,4.8317298502707855
2025-01-05,4.8317298502707855
2025-01-12,4.8317298502707855
2025-01-19,4.8317298502707855
2025-01-26,4.8317298502707855
2025-02-02,28.99037910162471
2025-02-09,7.247594775406178
2025-02-16,4.8317298502707855
2025-02-23,4.8317298502707855
2025-03-02,4.8317298502707855
2025-03-09,4.8317298502707855
2025-03-16,4.8317298502707855
2025-03-23,4.8317298502707855
2025-03-30,4.8317298502707855
2025-04-06,4.8317298502707855
2025-04-13,4.8317298502707855
2025-04-20,4.8317298502707855
2025-04-27,4.8317298502707855
2025-05-04,4.8317298502707855
2025-05-11,4.8317298502707855
2025-05-18,4.8317298502707855
2025-05-25,4.8317298502707855
2025-06-01,4.8317298502707855
2025-06-08,4.8317298502707855
2025-06-15,4.8317298502707855
2025-06-22,7.247594775406178
2025-06-29,7.247594775406178
2025-07-06,7.247594775406178
2025-07-13,7.247594775406178
2025-07-20,7.247594775406178
2025-07-27,7.247594775406178
2025-08-03,9.663459700541571
2025-08-10,9.663459700541571
2025-08-17,7.247594775406178
2025-08-24,7.247594775406178
2025-08-31,7.247594775406178
2025-09-07,4.8317298502707855
2025-09-14,4.8317298502707855
2025-09-21,7.247594775406178
2025-09-28,4.8317298502707855
2025-10-05,7.247594775406178
2025-10-12,4.8317298502707855
2025-10-19,7.247594775406178
2025-10-26,7.247594775406178
2025-11-02,12.079324625676964
2025-11-09,89.38700223000953
2025-11-16,28.99037910162471
2025-11-23,38.653838802166284
2025-11-30,24.15864925135393
2025-12-07,16.91105447594775
2025-12-14,38.653838802166284
2025-12-21,24.15864925135393
2025-12-28,12.079324625676964
2026-01-04,19.326919401083142
