,Travel
2018-12-30,71
2019-01-06,60
2019-01-13,59
2019-01-20,60
2019-01-27,61
2019-02-03,67
2019-02-10,65
2019-02-17,65
2019-02-24,69
2019-03-03,67
2019-03-10,64
2019-03-17,62
2019-03-24,61
2019-03-31,62
2019-04-07,63
2019-04-14,65
2019-04-21,60
2019-04-28,60
2019-05-05,50
2019-05-12,51
2019-05-19,52
2019-05-26,52
2019-06-02,51
2019-06-09,59
2019-06-16,58
2019-06-23,62
2019-06-30,56
2019-07-07,57
2019-07-14,63
2019-07-21,66
2019-07-28,59
2019-08-04,64
2019-08-11,57
2019-08-18,63
2019-08-25,59
2019-09-01,59
2019-09-08,59
2019-09-15,57
2019-09-22,60
2019-09-29,62
2019-10-06,58
2019-10-13,60
2019-10-20,60
2019-10-27,59
2019-11-03,62
2019-11-10,58
2019-11-17,61
2019-11-24,65
2019-12-01,68
2019-12-08,67
2019-12-15,78
2019-12-22,82
2019-12-29,73
2020-01-05,66
2020-01-12,64
2020-01-19,75
2020-01-26,70
2020-02-02,71
2020-02-09,69
2020-02-16,78
2020-02-23,65
2020-03-01,69
2020-03-08,76
2020-03-15,63
2020-03-22,39
2020-03-29,39
2020-04-05,36
2020-04-12,37
2020-04-19,37
2020-04-26,33
2020-05-03,32
2020-05-10,32
2020-05-17,31
2020-05-24,32
2020-05-31,34
2020-06-07,32
2020-06-14,30
2020-06-21,29
2020-06-28,33
2020-07-05,36
2020-07-12,39
2020-07-19,34
2020-07-26,30
2020-08-02,35
2020-08-09,35
2020-08-16,30
2020-08-23,29
2020-08-30,29
2020-09-06,29
2020-09-13,30
2020-09-20,30
2020-09-27,36
2020-10-04,38
2020-10-11,40
2020-10-18,37
2020-10-25,43
2020-11-01,39
2020-11-08,38
2020-11-15,38
2020-11-22,41
2020-11-29,46
2020-12-06,45
2020-12-13,45
2020-12-20,53
2020-12-27,54
2021-01-03,55
2021-01-10,48
2021-01-17,51
2021-01-24,53
2021-01-31,53
2021-02-07,51
2021-02-14,52
2021-02-21,52
2021-02-28,55
2021-03-07,54
2021-03-14,52
2021-03-21,60
2021-03-28,60
2021-04-04,56
2021-04-11,52
2021-04-18,51
2021-04-25,54
2021-05-02,51
2021-05-09,56
2021-05-16,49
2021-05-23,51
2021-05-30,50
2021-06-06,49
2021-06-13,48
2021-06-20,50
2021-06-27,52
2021-07-04,50
2021-07-11,58
2021-07-18,54
2021-07-25,55
2021-08-01,61
2021-08-08,60
2021-08-15,60
2021-08-22,59
2021-08-29,58
2021-09-05,60
2021-09-12,58
2021-09-19,53
2021-09-26,62
2021-10-03,64
2021-10-10,67
2021-10-17,67
2021-10-24,66
2021-10-31,76
2021-11-07,71
2021-11-14,74
2021-11-21,74
2021-11-28,71
2021-12-05,69
2021-12-12,70
2021-12-19,73
2021-12-26,76
2022-01-02,70
2022-01-09,67
2022-01-16,58
2022-01-23,65
2022-01-30,67
2022-02-06,65
2022-02-13,69
2022-02-20,67
2022-02-27,72
2022-03-06,72
2022-03-13,72
2022-03-20,69
2022-03-27,65
2022-04-03,59
2022-04-10,68
2022-04-17,68
2022-04-24,71
2022-05-01,67
2022-05-08,72
2022-05-15,66
2022-05-22,62
2022-05-29,64
2022-06-05,63
2022-06-12,58
2022-06-19,58
2022-06-26,64
2022-07-03,63
2022-07-10,56
2022-07-17,69
2022-07-24,65
2022-07-31,68
2022-08-07,67
2022-08-14,64
2022-08-21,64
2022-08-28,64
2022-09-04,61
2022-09-11,59
2022-09-18,57
2022-09-25,64
2022-10-02,61
2022-10-09,67
2022-10-16,62
2022-10-23,62
2022-10-30,67
2022-11-06,67
2022-11-13,68
2022-11-20,66
2022-11-27,67
2022-12-04,67
2022-12-11,74
2022-12-18,69
2022-12-25,80
2023-01-01,74
2023-01-08,74
2023-01-15,78
2023-01-22,76
2023-01-29,77
2023-02-05,74
2023-02-12,70
2023-02-19,75
2023-02-26,73
2023-03-05,72
2023-03-12,74
2023-03-19,64
2023-03-26,64
2023-04-02,69
2023-04-09,70
2023-04-16,65
2023-04-23,72
2023-04-30,70
2023-05-07,71
2023-05-14,62
2023-05-21,61
2023-05-28,64
2023-06-04,67
2023-06-11,63
2023-06-18,68
2023-06-25,60
2023-07-02,69
2023-07-09,69
2023-07-16,67
2023-07-23,64
2023-07-30,70
2023-08-06,72
2023-08-13,80
2023-08-20,72
2023-08-27,75
2023-09-03,78
2023-09-10,70
2023-09-17,75
2023-09-24,77
2023-10-01,76
2023-10-08,69
2023-10-15,70
2023-10-22,81
2023-10-29,79
2023-11-05,81
2023-11-12,83
2023-11-19,84
2023-11-26,80
2023-12-03,85
2023-12-10,82
2023-12-17,91
2023-12-24,96
2023-12-31,92
2024-01-07,100
