,Swimming Pools & Spas
2018-12-30,0
2019-01-06,65
2019-01-13,0
2019-01-20,88
2019-01-27,0
2019-02-03,0
2019-02-10,60
2019-02-17,69
2019-02-24,59
2019-03-03,0
2019-03-10,91
2019-03-17,52
2019-03-24,51
2019-03-31,0
2019-04-07,53
2019-04-14,51
2019-04-21,62
2019-04-28,67
2019-05-05,49
2019-05-12,51
2019-05-19,72
2019-05-26,0
2019-06-02,50
2019-06-09,55
2019-06-16,0
2019-06-23,58
2019-06-30,100
2019-07-07,0
2019-07-14,65
2019-07-21,75
2019-07-28,70
2019-08-04,69
2019-08-11,86
2019-08-18,0
2019-08-25,57
2019-09-01,69
2019-09-08,86
2019-09-15,64
2019-09-22,60
2019-09-29,62
2019-10-06,74
2019-10-13,58
2019-10-20,72
2019-10-27,91
2019-11-03,46
2019-11-10,0
2019-11-17,0
2019-11-24,49
2019-12-01,0
2019-12-08,0
2019-12-15,89
2019-12-22,82
2019-12-29,71
2020-01-05,0
2020-01-12,61
2020-01-19,50
2020-01-26,75
2020-02-02,55
2020-02-09,45
2020-02-16,62
2020-02-23,71
2020-03-01,48
2020-03-08,0
2020-03-15,48
2020-03-22,0
2020-03-29,0
2020-04-05,40
2020-04-12,69
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,45
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,47
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,63
2020-10-11,0
2020-10-18,43
2020-10-25,58
2020-11-01,0
2020-11-08,0
2020-11-15,42
2020-11-22,0
2020-11-29,0
2020-12-06,60
2020-12-13,44
2020-12-20,75
2020-12-27,47
2021-01-03,49
2021-01-10,42
2021-01-17,0
2021-01-24,60
2021-01-31,42
2021-02-07,53
2021-02-14,43
2021-02-21,78
2021-02-28,64
2021-03-07,0
2021-03-14,46
2021-03-21,47
2021-03-28,83
2021-04-04,0
2021-04-11,72
2021-04-18,48
2021-04-25,58
2021-05-02,45
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,53
2021-06-06,0
2021-06-13,59
2021-06-20,60
2021-06-27,0
2021-07-04,54
2021-07-11,68
2021-07-18,66
2021-07-25,69
2021-08-01,61
2021-08-08,65
2021-08-15,68
2021-08-22,0
2021-08-29,53
2021-09-05,58
2021-09-12,70
2021-09-19,0
2021-09-26,73
2021-10-03,59
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,49
2021-11-07,64
2021-11-14,62
2021-11-21,60
2021-11-28,70
2021-12-05,90
2021-12-12,0
2021-12-19,63
2021-12-26,0
2022-01-02,74
2022-01-09,80
2022-01-16,0
2022-01-23,0
2022-01-30,58
2022-02-06,49
2022-02-13,48
2022-02-20,47
2022-02-27,81
2022-03-06,48
2022-03-13,49
2022-03-20,56
2022-03-27,48
2022-04-03,0
2022-04-10,0
2022-04-17,48
2022-04-24,38
2022-05-01,55
2022-05-08,42
2022-05-15,0
2022-05-22,39
2022-05-29,60
2022-06-05,60
2022-06-12,49
2022-06-19,51
2022-06-26,0
2022-07-03,71
2022-07-10,0
2022-07-17,44
2022-07-24,53
2022-07-31,64
2022-08-07,43
2022-08-14,52
2022-08-21,54
2022-08-28,40
2022-09-04,36
2022-09-11,0
2022-09-18,0
2022-09-25,54
2022-10-02,42
2022-10-09,0
2022-10-16,63
2022-10-23,38
2022-10-30,58
2022-11-06,38
2022-11-13,46
2022-11-20,0
2022-11-27,46
2022-12-04,43
2022-12-11,50
2022-12-18,56
2022-12-25,48
2023-01-01,0
2023-01-08,61
2023-01-15,57
2023-01-22,50
2023-01-29,47
2023-02-05,53
2023-02-12,52
2023-02-19,55
2023-02-26,69
2023-03-05,68
2023-03-12,60
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,49
2023-04-16,41
2023-04-23,84
2023-04-30,67
2023-05-07,41
2023-05-14,36
2023-05-21,0
2023-05-28,38
2023-06-04,57
2023-06-11,77
2023-06-18,44
2023-06-25,60
2023-07-02,45
2023-07-09,66
2023-07-16,0
2023-07-23,66
2023-07-30,0
2023-08-06,56
2023-08-13,54
2023-08-20,57
2023-08-27,0
2023-09-03,58
2023-09-10,43
2023-09-17,64
2023-09-24,55
2023-10-01,56
2023-10-08,68
2023-10-15,0
2023-10-22,0
2023-10-29,63
2023-11-05,48
2023-11-12,63
2023-11-19,50
2023-11-26,80
2023-12-03,0
2023-12-10,58
2023-12-17,69
2023-12-24,78
2023-12-31,57
2024-01-07,60
