,Student loan
2018-12-30,21
2019-01-06,23
2019-01-13,31
2019-01-20,26
2019-01-27,16
2019-02-03,27
2019-02-10,28
2019-02-17,0
2019-02-24,22
2019-03-03,17
2019-03-10,17
2019-03-17,18
2019-03-24,21
2019-03-31,20
2019-04-07,0
2019-04-14,0
2019-04-21,0
2019-04-28,16
2019-05-05,0
2019-05-12,0
2019-05-19,0
2019-05-26,20
2019-06-02,0
2019-06-09,0
2019-06-16,0
2019-06-23,15
2019-06-30,14
2019-07-07,17
2019-07-14,23
2019-07-21,25
2019-07-28,29
2019-08-04,0
2019-08-11,18
2019-08-18,35
2019-08-25,25
2019-09-01,28
2019-09-08,23
2019-09-15,23
2019-09-22,21
2019-09-29,20
2019-10-06,17
2019-10-13,18
2019-10-20,21
2019-10-27,20
2019-11-03,19
2019-11-10,16
2019-11-17,26
2019-11-24,18
2019-12-01,0
2019-12-08,18
2019-12-15,25
2019-12-22,23
2019-12-29,27
2020-01-05,30
2020-01-12,30
2020-01-19,21
2020-01-26,23
2020-02-02,0
2020-02-09,19
2020-02-16,16
2020-02-23,50
2020-03-01,29
2020-03-08,18
2020-03-15,16
2020-03-22,13
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,14
2020-04-26,0
2020-05-03,0
2020-05-10,15
2020-05-17,26
2020-05-24,14
2020-05-31,0
2020-06-07,0
2020-06-14,13
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,14
2020-07-19,14
2020-07-26,0
2020-08-02,0
2020-08-09,22
2020-08-16,19
2020-08-23,16
2020-08-30,15
2020-09-06,0
2020-09-13,23
2020-09-20,20
2020-09-27,18
2020-10-04,19
2020-10-11,0
2020-10-18,13
2020-10-25,0
2020-11-01,0
2020-11-08,14
2020-11-15,13
2020-11-22,30
2020-11-29,21
2020-12-06,16
2020-12-13,21
2020-12-20,40
2020-12-27,28
2021-01-03,35
2021-01-10,25
2021-01-17,0
2021-01-24,38
2021-01-31,26
2021-02-07,26
2021-02-14,19
2021-02-21,18
2021-02-28,20
2021-03-07,21
2021-03-14,44
2021-03-21,32
2021-03-28,20
2021-04-04,0
2021-04-11,0
2021-04-18,29
2021-04-25,0
2021-05-02,38
2021-05-09,32
2021-05-16,27
2021-05-23,19
2021-05-30,41
2021-06-06,19
2021-06-13,27
2021-06-20,19
2021-06-27,16
2021-07-04,20
2021-07-11,0
2021-07-18,0
2021-07-25,20
2021-08-01,13
2021-08-08,13
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,13
2021-09-12,12
2021-09-19,13
2021-09-26,20
2021-10-03,12
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,17
2021-11-07,0
2021-11-14,19
2021-11-21,21
2021-11-28,23
2021-12-05,17
2021-12-12,28
2021-12-19,47
2021-12-26,35
2022-01-02,27
2022-01-09,30
2022-01-16,39
2022-01-23,49
2022-01-30,35
2022-02-06,34
2022-02-13,24
2022-02-20,15
2022-02-27,12
2022-03-06,22
2022-03-13,22
2022-03-20,21
2022-03-27,15
2022-04-03,11
2022-04-10,0
2022-04-17,14
2022-04-24,13
2022-05-01,11
2022-05-08,13
2022-05-15,15
2022-05-22,24
2022-05-29,24
2022-06-05,15
2022-06-12,31
2022-06-19,15
2022-06-26,13
2022-07-03,18
2022-07-10,14
2022-07-17,14
2022-07-24,13
2022-07-31,20
2022-08-07,20
2022-08-14,24
2022-08-21,22
2022-08-28,37
2022-09-04,23
2022-09-11,24
2022-09-18,22
2022-09-25,15
2022-10-02,20
2022-10-09,14
2022-10-16,14
2022-10-23,0
2022-10-30,0
2022-11-06,8
2022-11-13,10
2022-11-20,14
2022-11-27,17
2022-12-04,11
2022-12-11,15
2022-12-18,21
2022-12-25,14
2023-01-01,18
2023-01-08,11
2023-01-15,21
2023-01-22,18
2023-01-29,0
2023-02-05,16
2023-02-12,15
2023-02-19,18
2023-02-26,18
2023-03-05,16
2023-03-12,18
2023-03-19,20
2023-03-26,18
2023-04-02,17
2023-04-09,18
2023-04-16,18
2023-04-23,21
2023-04-30,13
2023-05-07,16
2023-05-14,12
2023-05-21,14
2023-05-28,14
2023-06-04,23
2023-06-11,19
2023-06-18,12
2023-06-25,19
2023-07-02,100
2023-07-09,50
2023-07-16,41
2023-07-23,32
2023-07-30,20
2023-08-06,36
2023-08-13,19
2023-08-20,17
2023-08-27,12
2023-09-03,35
2023-09-10,26
2023-09-17,23
2023-09-24,21
2023-10-01,13
2023-10-08,17
2023-10-15,47
2023-10-22,27
2023-10-29,16
2023-11-05,16
2023-11-12,14
2023-11-19,21
2023-11-26,15
2023-12-03,22
2023-12-10,19
2023-12-17,10
2023-12-24,0
2023-12-31,24
2024-01-07,13
