,Book Retailers
2018-12-30,40
2019-01-06,57
2019-01-13,46
2019-01-20,33
2019-01-27,41
2019-02-03,22
2019-02-10,36
2019-02-17,34
2019-02-24,35
2019-03-03,43
2019-03-10,32
2019-03-17,34
2019-03-24,25
2019-03-31,36
2019-04-07,25
2019-04-14,22
2019-04-21,21
2019-04-28,23
2019-05-05,25
2019-05-12,24
2019-05-19,31
2019-05-26,39
2019-06-02,33
2019-06-09,24
2019-06-16,35
2019-06-23,43
2019-06-30,40
2019-07-07,29
2019-07-14,35
2019-07-21,34
2019-07-28,23
2019-08-04,28
2019-08-11,41
2019-08-18,33
2019-08-25,37
2019-09-01,50
2019-09-08,37
2019-09-15,40
2019-09-22,38
2019-09-29,37
2019-10-06,26
2019-10-13,35
2019-10-20,25
2019-10-27,28
2019-11-03,29
2019-11-10,37
2019-11-17,20
2019-11-24,29
2019-12-01,49
2019-12-08,54
2019-12-15,55
2019-12-22,37
2019-12-29,56
2020-01-05,56
2020-01-12,66
2020-01-19,55
2020-01-26,45
2020-02-02,36
2020-02-09,35
2020-02-16,40
2020-02-23,38
2020-03-01,33
2020-03-08,30
2020-03-15,25
2020-03-22,14
2020-03-29,10
2020-04-05,18
2020-04-12,20
2020-04-19,23
2020-04-26,23
2020-05-03,32
2020-05-10,34
2020-05-17,27
2020-05-24,31
2020-05-31,26
2020-06-07,33
2020-06-14,29
2020-06-21,32
2020-06-28,28
2020-07-05,41
2020-07-12,35
2020-07-19,23
2020-07-26,28
2020-08-02,34
2020-08-09,37
2020-08-16,41
2020-08-23,32
2020-08-30,39
2020-09-06,42
2020-09-13,41
2020-09-20,41
2020-09-27,30
2020-10-04,33
2020-10-11,35
2020-10-18,36
2020-10-25,33
2020-11-01,29
2020-11-08,39
2020-11-15,40
2020-11-22,38
2020-11-29,39
2020-12-06,33
2020-12-13,49
2020-12-20,63
2020-12-27,46
2021-01-03,48
2021-01-10,64
2021-01-17,54
2021-01-24,44
2021-01-31,45
2021-02-07,49
2021-02-14,43
2021-02-21,47
2021-02-28,40
2021-03-07,41
2021-03-14,42
2021-03-21,45
2021-03-28,47
2021-04-04,36
2021-04-11,28
2021-04-18,37
2021-04-25,38
2021-05-02,46
2021-05-09,35
2021-05-16,58
2021-05-23,32
2021-05-30,66
2021-06-06,62
2021-06-13,50
2021-06-20,51
2021-06-27,48
2021-07-04,59
2021-07-11,42
2021-07-18,46
2021-07-25,42
2021-08-01,37
2021-08-08,48
2021-08-15,40
2021-08-22,46
2021-08-29,76
2021-09-05,69
2021-09-12,56
2021-09-19,60
2021-09-26,56
2021-10-03,46
2021-10-10,52
2021-10-17,39
2021-10-24,43
2021-10-31,42
2021-11-07,43
2021-11-14,39
2021-11-21,49
2021-11-28,33
2021-12-05,37
2021-12-12,46
2021-12-19,58
2021-12-26,81
2022-01-02,94
2022-01-09,80
2022-01-16,56
2022-01-23,57
2022-01-30,57
2022-02-06,57
2022-02-13,67
2022-02-20,63
2022-02-27,69
2022-03-06,74
2022-03-13,65
2022-03-20,66
2022-03-27,45
2022-04-03,45
2022-04-10,77
2022-04-17,73
2022-04-24,73
2022-05-01,62
2022-05-08,44
2022-05-15,43
2022-05-22,54
2022-05-29,57
2022-06-05,59
2022-06-12,54
2022-06-19,46
2022-06-26,51
2022-07-03,51
2022-07-10,47
2022-07-17,46
2022-07-24,56
2022-07-31,57
2022-08-07,72
2022-08-14,55
2022-08-21,68
2022-08-28,92
2022-09-04,69
2022-09-11,56
2022-09-18,62
2022-09-25,56
2022-10-02,57
2022-10-09,59
2022-10-16,64
2022-10-23,52
2022-10-30,49
2022-11-06,57
2022-11-13,47
2022-11-20,62
2022-11-27,47
2022-12-04,67
2022-12-11,60
2022-12-18,77
2022-12-25,79
2023-01-01,75
2023-01-08,75
2023-01-15,50
2023-01-22,60
2023-01-29,56
2023-02-05,58
2023-02-12,69
2023-02-19,51
2023-02-26,61
2023-03-05,58
2023-03-12,57
2023-03-19,67
2023-03-26,67
2023-04-02,44
2023-04-09,38
2023-04-16,58
2023-04-23,59
2023-04-30,47
2023-05-07,62
2023-05-14,48
2023-05-21,59
2023-05-28,56
2023-06-04,64
2023-06-11,60
2023-06-18,63
2023-06-25,67
2023-07-02,65
2023-07-09,66
2023-07-16,61
2023-07-23,59
2023-07-30,57
2023-08-06,78
2023-08-13,74
2023-08-20,76
2023-08-27,96
2023-09-03,84
2023-09-10,75
2023-09-17,63
2023-09-24,66
2023-10-01,67
2023-10-08,68
2023-10-15,76
2023-10-22,67
2023-10-29,77
2023-11-05,67
2023-11-12,90
2023-11-19,97
2023-11-26,81
2023-12-03,71
2023-12-10,87
2023-12-17,92
2023-12-24,89
2023-12-31,96
2024-01-07,100
