,Building Materials & Supplies
2018-12-30,72
2019-01-06,76
2019-01-13,63
2019-01-20,72
2019-01-27,79
2019-02-03,67
2019-02-10,77
2019-02-17,74
2019-02-24,67
2019-03-03,75
2019-03-10,82
2019-03-17,85
2019-03-24,79
2019-03-31,72
2019-04-07,69
2019-04-14,84
2019-04-21,84
2019-04-28,68
2019-05-05,60
2019-05-12,65
2019-05-19,71
2019-05-26,74
2019-06-02,77
2019-06-09,78
2019-06-16,74
2019-06-23,94
2019-06-30,78
2019-07-07,75
2019-07-14,80
2019-07-21,61
2019-07-28,76
2019-08-04,72
2019-08-11,60
2019-08-18,74
2019-08-25,53
2019-09-01,69
2019-09-08,67
2019-09-15,64
2019-09-22,58
2019-09-29,62
2019-10-06,59
2019-10-13,63
2019-10-20,75
2019-10-27,74
2019-11-03,75
2019-11-10,61
2019-11-17,66
2019-11-24,62
2019-12-01,70
2019-12-08,64
2019-12-15,64
2019-12-22,78
2019-12-29,66
2020-01-05,71
2020-01-12,60
2020-01-19,68
2020-01-26,79
2020-02-02,71
2020-02-09,69
2020-02-16,69
2020-02-23,62
2020-03-01,64
2020-03-08,78
2020-03-15,79
2020-03-22,62
2020-03-29,67
2020-04-05,60
2020-04-12,77
2020-04-19,52
2020-04-26,39
2020-05-03,49
2020-05-10,39
2020-05-17,44
2020-05-24,47
2020-05-31,50
2020-06-07,59
2020-06-14,54
2020-06-21,60
2020-06-28,57
2020-07-05,63
2020-07-12,53
2020-07-19,57
2020-07-26,57
2020-08-02,69
2020-08-09,59
2020-08-16,45
2020-08-23,45
2020-08-30,53
2020-09-06,49
2020-09-13,57
2020-09-20,56
2020-09-27,57
2020-10-04,63
2020-10-11,67
2020-10-18,64
2020-10-25,65
2020-11-01,64
2020-11-08,60
2020-11-15,56
2020-11-22,61
2020-11-29,61
2020-12-06,63
2020-12-13,59
2020-12-20,53
2020-12-27,68
2021-01-03,63
2021-01-10,75
2021-01-17,79
2021-01-24,79
2021-01-31,65
2021-02-07,70
2021-02-14,72
2021-02-21,76
2021-02-28,86
2021-03-07,71
2021-03-14,71
2021-03-21,84
2021-03-28,100
2021-04-04,59
2021-04-11,72
2021-04-18,69
2021-04-25,84
2021-05-02,79
2021-05-09,60
2021-05-16,68
2021-05-23,68
2021-05-30,77
2021-06-06,78
2021-06-13,65
2021-06-20,88
2021-06-27,75
2021-07-04,76
2021-07-11,71
2021-07-18,63
2021-07-25,82
2021-08-01,67
2021-08-08,82
2021-08-15,95
2021-08-22,78
2021-08-29,68
2021-09-05,70
2021-09-12,76
2021-09-19,90
2021-09-26,83
2021-10-03,67
2021-10-10,82
2021-10-17,82
2021-10-24,80
2021-10-31,68
2021-11-07,79
2021-11-14,80
2021-11-21,84
2021-11-28,79
2021-12-05,79
2021-12-12,92
2021-12-19,84
2021-12-26,76
2022-01-02,87
2022-01-09,82
2022-01-16,78
2022-01-23,78
2022-01-30,87
2022-02-06,84
2022-02-13,84
2022-02-20,83
2022-02-27,84
2022-03-06,79
2022-03-13,93
2022-03-20,74
2022-03-27,69
2022-04-03,74
2022-04-10,77
2022-04-17,73
2022-04-24,72
2022-05-01,63
2022-05-08,77
2022-05-15,74
2022-05-22,78
2022-05-29,79
2022-06-05,70
2022-06-12,81
2022-06-19,74
2022-06-26,73
2022-07-03,70
2022-07-10,59
2022-07-17,74
2022-07-24,67
2022-07-31,68
2022-08-07,82
2022-08-14,82
2022-08-21,70
2022-08-28,70
2022-09-04,73
2022-09-11,87
2022-09-18,93
2022-09-25,65
2022-10-02,53
2022-10-09,75
2022-10-16,72
2022-10-23,72
2022-10-30,66
2022-11-06,78
2022-11-13,84
2022-11-20,74
2022-11-27,79
2022-12-04,83
2022-12-11,78
2022-12-18,59
2022-12-25,75
2023-01-01,71
2023-01-08,71
2023-01-15,67
2023-01-22,84
2023-01-29,80
2023-02-05,72
2023-02-12,76
2023-02-19,83
2023-02-26,70
2023-03-05,81
2023-03-12,76
2023-03-19,88
2023-03-26,90
2023-04-02,65
2023-04-09,89
2023-04-16,70
2023-04-23,74
2023-04-30,86
2023-05-07,82
2023-05-14,82
2023-05-21,81
2023-05-28,77
2023-06-04,75
2023-06-11,73
2023-06-18,79
2023-06-25,60
2023-07-02,72
2023-07-09,73
2023-07-16,78
2023-07-23,67
2023-07-30,75
2023-08-06,86
2023-08-13,75
2023-08-20,81
2023-08-27,88
2023-09-03,70
2023-09-10,76
2023-09-17,75
2023-09-24,78
2023-10-01,75
2023-10-08,89
2023-10-15,84
2023-10-22,89
2023-10-29,80
2023-11-05,85
2023-11-12,92
2023-11-19,90
2023-11-26,95
2023-12-03,89
2023-12-10,98
2023-12-17,97
2023-12-24,93
2023-12-31,79
2024-01-07,88
