,Laundry
2018-12-30,43
2019-01-06,57
2019-01-13,45
2019-01-20,51
2019-01-27,40
2019-02-03,42
2019-02-10,51
2019-02-17,48
2019-02-24,39
2019-03-03,43
2019-03-10,42
2019-03-17,53
2019-03-24,44
2019-03-31,44
2019-04-07,38
2019-04-14,42
2019-04-21,27
2019-04-28,37
2019-05-05,38
2019-05-12,29
2019-05-19,32
2019-05-26,39
2019-06-02,42
2019-06-09,42
2019-06-16,40
2019-06-23,50
2019-06-30,42
2019-07-07,56
2019-07-14,48
2019-07-21,48
2019-07-28,50
2019-08-04,48
2019-08-11,56
2019-08-18,45
2019-08-25,56
2019-09-01,47
2019-09-08,53
2019-09-15,50
2019-09-22,49
2019-09-29,55
2019-10-06,43
2019-10-13,49
2019-10-20,49
2019-10-27,55
2019-11-03,50
2019-11-10,49
2019-11-17,42
2019-11-24,53
2019-12-01,54
2019-12-08,50
2019-12-15,66
2019-12-22,71
2019-12-29,58
2020-01-05,44
2020-01-12,54
2020-01-19,53
2020-01-26,54
2020-02-02,46
2020-02-09,47
2020-02-16,48
2020-02-23,54
2020-03-01,41
2020-03-08,43
2020-03-15,38
2020-03-22,26
2020-03-29,21
2020-04-05,25
2020-04-12,25
2020-04-19,30
2020-04-26,33
2020-05-03,31
2020-05-10,43
2020-05-17,43
2020-05-24,46
2020-05-31,44
2020-06-07,57
2020-06-14,50
2020-06-21,58
2020-06-28,62
2020-07-05,48
2020-07-12,55
2020-07-19,54
2020-07-26,55
2020-08-02,55
2020-08-09,55
2020-08-16,53
2020-08-23,48
2020-08-30,55
2020-09-06,61
2020-09-13,54
2020-09-20,43
2020-09-27,50
2020-10-04,54
2020-10-11,55
2020-10-18,49
2020-10-25,42
2020-11-01,42
2020-11-08,51
2020-11-15,57
2020-11-22,58
2020-11-29,47
2020-12-06,62
2020-12-13,58
2020-12-20,69
2020-12-27,62
2021-01-03,55
2021-01-10,72
2021-01-17,58
2021-01-24,55
2021-01-31,51
2021-02-07,56
2021-02-14,52
2021-02-21,37
2021-02-28,51
2021-03-07,50
2021-03-14,51
2021-03-21,59
2021-03-28,63
2021-04-04,54
2021-04-11,51
2021-04-18,66
2021-04-25,60
2021-05-02,49
2021-05-09,47
2021-05-16,59
2021-05-23,60
2021-05-30,38
2021-06-06,56
2021-06-13,41
2021-06-20,57
2021-06-27,58
2021-07-04,61
2021-07-11,58
2021-07-18,61
2021-07-25,55
2021-08-01,55
2021-08-08,61
2021-08-15,65
2021-08-22,59
2021-08-29,60
2021-09-05,56
2021-09-12,77
2021-09-19,70
2021-09-26,64
2021-10-03,61
2021-10-10,55
2021-10-17,46
2021-10-24,61
2021-10-31,51
2021-11-07,85
2021-11-14,76
2021-11-21,64
2021-11-28,64
2021-12-05,69
2021-12-12,67
2021-12-19,69
2021-12-26,55
2022-01-02,76
2022-01-09,67
2022-01-16,67
2022-01-23,71
2022-01-30,66
2022-02-06,64
2022-02-13,71
2022-02-20,78
2022-02-27,61
2022-03-06,71
2022-03-13,78
2022-03-20,73
2022-03-27,62
2022-04-03,56
2022-04-10,63
2022-04-17,64
2022-04-24,72
2022-05-01,74
2022-05-08,66
2022-05-15,61
2022-05-22,70
2022-05-29,83
2022-06-05,71
2022-06-12,65
2022-06-19,62
2022-06-26,57
2022-07-03,56
2022-07-10,53
2022-07-17,60
2022-07-24,63
2022-07-31,77
2022-08-07,76
2022-08-14,74
2022-08-21,64
2022-08-28,77
2022-09-04,66
2022-09-11,66
2022-09-18,75
2022-09-25,62
2022-10-02,60
2022-10-09,75
2022-10-16,78
2022-10-23,80
2022-10-30,78
2022-11-06,65
2022-11-13,81
2022-11-20,67
2022-11-27,62
2022-12-04,58
2022-12-11,80
2022-12-18,73
2022-12-25,78
2023-01-01,64
2023-01-08,71
2023-01-15,59
2023-01-22,63
2023-01-29,69
2023-02-05,64
2023-02-12,64
2023-02-19,68
2023-02-26,58
2023-03-05,60
2023-03-12,62
2023-03-19,71
2023-03-26,56
2023-04-02,55
2023-04-09,55
2023-04-16,62
2023-04-23,71
2023-04-30,59
2023-05-07,73
2023-05-14,79
2023-05-21,77
2023-05-28,65
2023-06-04,62
2023-06-11,70
2023-06-18,79
2023-06-25,78
2023-07-02,80
2023-07-09,71
2023-07-16,79
2023-07-23,73
2023-07-30,77
2023-08-06,78
2023-08-13,76
2023-08-20,61
2023-08-27,72
2023-09-03,85
2023-09-10,78
2023-09-17,71
2023-09-24,81
2023-10-01,84
2023-10-08,81
2023-10-15,75
2023-10-22,79
2023-10-29,74
2023-11-05,79
2023-11-12,78
2023-11-19,85
2023-11-26,78
2023-12-03,89
2023-12-10,95
2023-12-17,100
2023-12-24,98
2023-12-31,86
2024-01-07,77
