,Tobacco Products
2018-12-30,88
2019-01-06,74
2019-01-13,80
2019-01-20,83
2019-01-27,92
2019-02-03,87
2019-02-10,87
2019-02-17,86
2019-02-24,81
2019-03-03,85
2019-03-10,85
2019-03-17,80
2019-03-24,82
2019-03-31,81
2019-04-07,75
2019-04-14,67
2019-04-21,77
2019-04-28,80
2019-05-05,78
2019-05-12,84
2019-05-19,81
2019-05-26,87
2019-06-02,83
2019-06-09,82
2019-06-16,84
2019-06-23,88
2019-06-30,86
2019-07-07,89
2019-07-14,83
2019-07-21,90
2019-07-28,95
2019-08-04,87
2019-08-11,81
2019-08-18,93
2019-08-25,93
2019-09-01,94
2019-09-08,99
2019-09-15,99
2019-09-22,99
2019-09-29,90
2019-10-06,92
2019-10-13,100
2019-10-20,88
2019-10-27,92
2019-11-03,89
2019-11-10,95
2019-11-17,94
2019-11-24,96
2019-12-01,99
2019-12-08,57
2019-12-15,50
2019-12-22,85
2019-12-29,82
2020-01-05,87
2020-01-12,89
2020-01-19,91
2020-01-26,91
2020-02-02,95
2020-02-09,97
2020-02-16,98
2020-02-23,88
2020-03-01,83
2020-03-08,90
2020-03-15,79
2020-03-22,36
2020-03-29,27
2020-04-05,25
2020-04-12,25
2020-04-19,25
2020-04-26,25
2020-05-03,26
2020-05-10,22
2020-05-17,26
2020-05-24,25
2020-05-31,28
2020-06-07,29
2020-06-14,41
2020-06-21,52
2020-06-28,52
2020-07-05,53
2020-07-12,45
2020-07-19,57
2020-07-26,44
2020-08-02,62
2020-08-09,58
2020-08-16,67
2020-08-23,71
2020-08-30,71
2020-09-06,72
2020-09-13,78
2020-09-20,79
2020-09-27,84
2020-10-04,82
2020-10-11,86
2020-10-18,81
2020-10-25,79
2020-11-01,84
2020-11-08,82
2020-11-15,82
2020-11-22,73
2020-11-29,84
2020-12-06,82
2020-12-13,82
2020-12-20,85
2020-12-27,81
2021-01-03,87
2021-01-10,77
2021-01-17,82
2021-01-24,76
2021-01-31,82
2021-02-07,80
2021-02-14,78
2021-02-21,78
2021-02-28,79
2021-03-07,82
2021-03-14,78
2021-03-21,77
2021-03-28,69
2021-04-04,75
2021-04-11,63
2021-04-18,66
2021-04-25,47
2021-05-02,35
2021-05-09,33
2021-05-16,32
2021-05-23,32
2021-05-30,37
2021-06-06,32
2021-06-13,31
2021-06-20,30
2021-06-27,31
2021-07-04,30
2021-07-11,30
2021-07-18,32
2021-07-25,29
2021-08-01,32
2021-08-08,35
2021-08-15,34
2021-08-22,35
2021-08-29,38
2021-09-05,42
2021-09-12,45
2021-09-19,47
2021-09-26,44
2021-10-03,51
2021-10-10,53
2021-10-17,54
2021-10-24,53
2021-10-31,54
2021-11-07,50
2021-11-14,57
2021-11-21,54
2021-11-28,55
2021-12-05,61
2021-12-12,63
2021-12-19,63
2021-12-26,60
2022-01-02,72
2022-01-09,65
2022-01-16,60
2022-01-23,61
2022-01-30,71
2022-02-06,72
2022-02-13,75
2022-02-20,73
2022-02-27,70
2022-03-06,76
2022-03-13,72
2022-03-20,72
2022-03-27,70
2022-04-03,70
2022-04-10,63
2022-04-17,68
2022-04-24,68
2022-05-01,70
2022-05-08,69
2022-05-15,71
2022-05-22,74
2022-05-29,82
2022-06-05,78
2022-06-12,76
2022-06-19,78
2022-06-26,80
2022-07-03,78
2022-07-10,80
2022-07-17,80
2022-07-24,78
2022-07-31,83
2022-08-07,80
2022-08-14,74
2022-08-21,79
2022-08-28,80
2022-09-04,77
2022-09-11,84
2022-09-18,79
2022-09-25,76
2022-10-02,76
2022-10-09,78
2022-10-16,79
2022-10-23,75
2022-10-30,79
2022-11-06,79
2022-11-13,83
2022-11-20,74
2022-11-27,80
2022-12-04,76
2022-12-11,82
2022-12-18,84
2022-12-25,87
2023-01-01,83
2023-01-08,83
2023-01-15,80
2023-01-22,73
2023-01-29,85
2023-02-05,81
2023-02-12,82
2023-02-19,82
2023-02-26,81
2023-03-05,81
2023-03-12,82
2023-03-19,83
2023-03-26,82
2023-04-02,79
2023-04-09,76
2023-04-16,78
2023-04-23,80
2023-04-30,77
2023-05-07,73
2023-05-14,81
2023-05-21,80
2023-05-28,82
2023-06-04,78
2023-06-11,81
2023-06-18,81
2023-06-25,84
2023-07-02,86
2023-07-09,85
2023-07-16,80
2023-07-23,81
2023-07-30,82
2023-08-06,80
2023-08-13,76
2023-08-20,82
2023-08-27,80
2023-09-03,79
2023-09-10,78
2023-09-17,85
2023-09-24,83
2023-10-01,78
2023-10-08,80
2023-10-15,78
2023-10-22,74
2023-10-29,71
2023-11-05,73
2023-11-12,68
2023-11-19,74
2023-11-26,78
2023-12-03,75
2023-12-10,82
2023-12-17,81
2023-12-24,79
2023-12-31,78
2024-01-07,77
