,Hotels & Accommodations
2018-12-30,27
2019-01-06,26
2019-01-13,25
2019-01-20,25
2019-01-27,23
2019-02-03,24
2019-02-10,26
2019-02-17,26
2019-02-24,25
2019-03-03,25
2019-03-10,25
2019-03-17,26
2019-03-24,26
2019-03-31,24
2019-04-07,25
2019-04-14,25
2019-04-21,24
2019-04-28,26
2019-05-05,30
2019-05-12,27
2019-05-19,28
2019-05-26,31
2019-06-02,29
2019-06-09,27
2019-06-16,27
2019-06-23,28
2019-06-30,27
2019-07-07,26
2019-07-14,27
2019-07-21,28
2019-07-28,27
2019-08-04,25
2019-08-11,24
2019-08-18,25
2019-08-25,26
2019-09-01,23
2019-09-08,26
2019-09-15,26
2019-09-22,25
2019-09-29,25
2019-10-06,25
2019-10-13,25
2019-10-20,22
2019-10-27,25
2019-11-03,26
2019-11-10,26
2019-11-17,26
2019-11-24,26
2019-12-01,26
2019-12-08,25
2019-12-15,28
2019-12-22,30
2019-12-29,26
2020-01-05,25
2020-01-12,23
2020-01-19,24
2020-01-26,24
2020-02-02,23
2020-02-09,23
2020-02-16,24
2020-02-23,23
2020-03-01,21
2020-03-08,18
2020-03-15,16
2020-03-22,15
2020-03-29,11
2020-04-05,11
2020-04-12,9
2020-04-19,9
2020-04-26,9
2020-05-03,10
2020-05-10,9
2020-05-17,10
2020-05-24,12
2020-05-31,11
2020-06-07,12
2020-06-14,12
2020-06-21,14
2020-06-28,14
2020-07-05,15
2020-07-12,14
2020-07-19,14
2020-07-26,14
2020-08-02,14
2020-08-09,19
2020-08-16,15
2020-08-23,15
2020-08-30,16
2020-09-06,16
2020-09-13,18
2020-09-20,17
2020-09-27,19
2020-10-04,21
2020-10-11,18
2020-10-18,19
2020-10-25,20
2020-11-01,18
2020-11-08,16
2020-11-15,19
2020-11-22,19
2020-11-29,20
2020-12-06,21
2020-12-13,23
2020-12-20,25
2020-12-27,25
2021-01-03,23
2021-01-10,22
2021-01-17,23
2021-01-24,22
2021-01-31,22
2021-02-07,22
2021-02-14,23
2021-02-21,21
2021-02-28,21
2021-03-07,22
2021-03-14,21
2021-03-21,20
2021-03-28,20
2021-04-04,19
2021-04-11,17
2021-04-18,16
2021-04-25,16
2021-05-02,14
2021-05-09,14
2021-05-16,14
2021-05-23,13
2021-05-30,15
2021-06-06,15
2021-06-13,18
2021-06-20,18
2021-06-27,20
2021-07-04,21
2021-07-11,22
2021-07-18,24
2021-07-25,21
2021-08-01,22
2021-08-08,21
2021-08-15,22
2021-08-22,22
2021-08-29,23
2021-09-05,23
2021-09-12,28
2021-09-19,35
2021-09-26,39
2021-10-03,32
2021-10-10,29
2021-10-17,30
2021-10-24,30
2021-10-31,25
2021-11-07,26
2021-11-14,27
2021-11-21,28
2021-11-28,28
2021-12-05,30
2021-12-12,31
2021-12-19,46
2021-12-26,100
2022-01-02,59
2022-01-09,44
2022-01-16,31
2022-01-23,31
2022-01-30,30
2022-02-06,27
2022-02-13,31
2022-02-20,31
2022-02-27,28
2022-03-06,29
2022-03-13,29
2022-03-20,31
2022-03-27,29
2022-04-03,29
2022-04-10,31
2022-04-17,28
2022-04-24,30
2022-05-01,31
2022-05-08,31
2022-05-15,30
2022-05-22,30
2022-05-29,34
2022-06-05,32
2022-06-12,30
2022-06-19,31
2022-06-26,29
2022-07-03,29
2022-07-10,29
2022-07-17,30
2022-07-24,29
2022-07-31,29
2022-08-07,30
2022-08-14,29
2022-08-21,29
2022-08-28,27
2022-09-04,28
2022-09-11,33
2022-09-18,27
2022-09-25,29
2022-10-02,29
2022-10-09,28
2022-10-16,27
2022-10-23,27
2022-10-30,28
2022-11-06,28
2022-11-13,29
2022-11-20,27
2022-11-27,27
2022-12-04,27
2022-12-11,28
2022-12-18,31
2022-12-25,36
2023-01-01,31
2023-01-08,31
2023-01-15,28
2023-01-22,30
2023-01-29,27
2023-02-05,28
2023-02-12,27
2023-02-19,29
2023-02-26,28
2023-03-05,29
2023-03-12,26
2023-03-19,27
2023-03-26,28
2023-04-02,30
2023-04-09,28
2023-04-16,30
2023-04-23,30
2023-04-30,31
2023-05-07,28
2023-05-14,30
2023-05-21,29
2023-05-28,30
2023-06-04,31
2023-06-11,30
2023-06-18,32
2023-06-25,32
2023-07-02,31
2023-07-09,30
2023-07-16,29
2023-07-23,31
2023-07-30,29
2023-08-06,34
2023-08-13,31
2023-08-20,29
2023-08-27,28
2023-09-03,29
2023-09-10,28
2023-09-17,28
2023-09-24,30
2023-10-01,29
2023-10-08,27
2023-10-15,26
2023-10-22,26
2023-10-29,25
2023-11-05,24
2023-11-12,27
2023-11-19,28
2023-11-26,28
2023-12-03,30
2023-12-10,31
2023-12-17,32
2023-12-24,34
2023-12-31,29
2024-01-07,28
