,Import & Export
2018-12-30,0
2019-01-06,25
2019-01-13,23
2019-01-20,33
2019-01-27,22
2019-02-03,29
2019-02-10,28
2019-02-17,0
2019-02-24,0
2019-03-03,0
2019-03-10,22
2019-03-17,29
2019-03-24,28
2019-03-31,37
2019-04-07,43
2019-04-14,23
2019-04-21,38
2019-04-28,28
2019-05-05,39
2019-05-12,0
2019-05-19,0
2019-05-26,36
2019-06-02,21
2019-06-09,0
2019-06-16,29
2019-06-23,0
2019-06-30,31
2019-07-07,29
2019-07-14,30
2019-07-21,0
2019-07-28,33
2019-08-04,35
2019-08-11,0
2019-08-18,31
2019-08-25,31
2019-09-01,32
2019-09-08,33
2019-09-15,0
2019-09-22,24
2019-09-29,0
2019-10-06,44
2019-10-13,26
2019-10-20,53
2019-10-27,24
2019-11-03,26
2019-11-10,29
2019-11-17,39
2019-11-24,0
2019-12-01,43
2019-12-08,25
2019-12-15,29
2019-12-22,42
2019-12-29,26
2020-01-05,54
2020-01-12,35
2020-01-19,38
2020-01-26,27
2020-02-02,37
2020-02-09,46
2020-02-16,34
2020-02-23,33
2020-03-01,33
2020-03-08,29
2020-03-15,41
2020-03-22,22
2020-03-29,0
2020-04-05,0
2020-04-12,18
2020-04-19,0
2020-04-26,24
2020-05-03,0
2020-05-10,19
2020-05-17,0
2020-05-24,19
2020-05-31,20
2020-06-07,28
2020-06-14,24
2020-06-21,29
2020-06-28,30
2020-07-05,23
2020-07-12,28
2020-07-19,28
2020-07-26,27
2020-08-02,37
2020-08-09,27
2020-08-16,0
2020-08-23,21
2020-08-30,33
2020-09-06,19
2020-09-13,30
2020-09-20,41
2020-09-27,38
2020-10-04,37
2020-10-11,42
2020-10-18,35
2020-10-25,48
2020-11-01,20
2020-11-08,36
2020-11-15,51
2020-11-22,41
2020-11-29,38
2020-12-06,44
2020-12-13,40
2020-12-20,48
2020-12-27,38
2021-01-03,46
2021-01-10,38
2021-01-17,41
2021-01-24,48
2021-01-31,39
2021-02-07,42
2021-02-14,71
2021-02-21,57
2021-02-28,49
2021-03-07,44
2021-03-14,34
2021-03-21,49
2021-03-28,58
2021-04-04,31
2021-04-11,27
2021-04-18,53
2021-04-25,42
2021-05-02,33
2021-05-09,25
2021-05-16,38
2021-05-23,35
2021-05-30,29
2021-06-06,50
2021-06-13,36
2021-06-20,36
2021-06-27,63
2021-07-04,31
2021-07-11,51
2021-07-18,45
2021-07-25,29
2021-08-01,50
2021-08-08,39
2021-08-15,35
2021-08-22,49
2021-08-29,46
2021-09-05,39
2021-09-12,45
2021-09-19,71
2021-09-26,57
2021-10-03,54
2021-10-10,69
2021-10-17,46
2021-10-24,52
2021-10-31,43
2021-11-07,36
2021-11-14,53
2021-11-21,68
2021-11-28,70
2021-12-05,37
2021-12-12,67
2021-12-19,54
2021-12-26,49
2022-01-02,34
2022-01-09,53
2022-01-16,77
2022-01-23,41
2022-01-30,48
2022-02-06,38
2022-02-13,37
2022-02-20,42
2022-02-27,78
2022-03-06,52
2022-03-13,59
2022-03-20,67
2022-03-27,44
2022-04-03,39
2022-04-10,48
2022-04-17,58
2022-04-24,38
2022-05-01,46
2022-05-08,72
2022-05-15,100
2022-05-22,79
2022-05-29,62
2022-06-05,65
2022-06-12,93
2022-06-19,50
2022-06-26,68
2022-07-03,51
2022-07-10,64
2022-07-17,49
2022-07-24,33
2022-07-31,54
2022-08-07,47
2022-08-14,53
2022-08-21,51
2022-08-28,69
2022-09-04,51
2022-09-11,31
2022-09-18,53
2022-09-25,47
2022-10-02,41
2022-10-09,33
2022-10-16,36
2022-10-23,35
2022-10-30,30
2022-11-06,50
2022-11-13,50
2022-11-20,42
2022-11-27,41
2022-12-04,41
2022-12-11,34
2022-12-18,48
2022-12-25,36
2023-01-01,38
2023-01-08,36
2023-01-15,36
2023-01-22,52
2023-01-29,42
2023-02-05,43
2023-02-12,39
2023-02-19,45
2023-02-26,32
2023-03-05,38
2023-03-12,33
2023-03-19,35
2023-03-26,47
2023-04-02,29
2023-04-09,45
2023-04-16,43
2023-04-23,37
2023-04-30,45
2023-05-07,46
2023-05-14,58
2023-05-21,51
2023-05-28,50
2023-06-04,34
2023-06-11,34
2023-06-18,34
2023-06-25,35
2023-07-02,56
2023-07-09,58
2023-07-16,45
2023-07-23,45
2023-07-30,34
2023-08-06,41
2023-08-13,51
2023-08-20,43
2023-08-27,36
2023-09-03,40
2023-09-10,32
2023-09-17,49
2023-09-24,31
2023-10-01,44
2023-10-08,44
2023-10-15,48
2023-10-22,53
2023-10-29,33
2023-11-05,48
2023-11-12,51
2023-11-19,59
2023-11-26,44
2023-12-03,56
2023-12-10,69
2023-12-17,37
2023-12-24,53
2023-12-31,34
2024-01-07,50
