,Programming
2018-12-30,61
2019-01-06,69
2019-01-13,60
2019-01-20,69
2019-01-27,69
2019-02-03,71
2019-02-10,73
2019-02-17,74
2019-02-24,70
2019-03-03,73
2019-03-10,70
2019-03-17,67
2019-03-24,72
2019-03-31,69
2019-04-07,63
2019-04-14,57
2019-04-21,66
2019-04-28,59
2019-05-05,61
2019-05-12,65
2019-05-19,65
2019-05-26,63
2019-06-02,60
2019-06-09,68
2019-06-16,65
2019-06-23,68
2019-06-30,69
2019-07-07,67
2019-07-14,75
2019-07-21,73
2019-07-28,76
2019-08-04,65
2019-08-11,58
2019-08-18,74
2019-08-25,72
2019-09-01,65
2019-09-08,70
2019-09-15,72
2019-09-22,74
2019-09-29,62
2019-10-06,58
2019-10-13,69
2019-10-20,60
2019-10-27,49
2019-11-03,65
2019-11-10,65
2019-11-17,72
2019-11-24,68
2019-12-01,64
2019-12-08,66
2019-12-15,66
2019-12-22,56
2019-12-29,58
2020-01-05,67
2020-01-12,58
2020-01-19,68
2020-01-26,65
2020-02-02,68
2020-02-09,69
2020-02-16,67
2020-02-23,67
2020-03-01,65
2020-03-08,55
2020-03-15,54
2020-03-22,46
2020-03-29,69
2020-04-05,79
2020-04-12,72
2020-04-19,70
2020-04-26,65
2020-05-03,71
2020-05-10,68
2020-05-17,66
2020-05-24,62
2020-05-31,62
2020-06-07,60
2020-06-14,59
2020-06-21,65
2020-06-28,65
2020-07-05,64
2020-07-12,66
2020-07-19,66
2020-07-26,64
2020-08-02,61
2020-08-09,64
2020-08-16,68
2020-08-23,70
2020-08-30,66
2020-09-06,72
2020-09-13,62
2020-09-20,64
2020-09-27,57
2020-10-04,63
2020-10-11,54
2020-10-18,54
2020-10-25,50
2020-11-01,50
2020-11-08,42
2020-11-15,42
2020-11-22,52
2020-11-29,50
2020-12-06,53
2020-12-13,58
2020-12-20,52
2020-12-27,48
2021-01-03,56
2021-01-10,51
2021-01-17,56
2021-01-24,51
2021-01-31,54
2021-02-07,56
2021-02-14,57
2021-02-21,59
2021-02-28,59
2021-03-07,58
2021-03-14,64
2021-03-21,62
2021-03-28,55
2021-04-04,59
2021-04-11,56
2021-04-18,62
2021-04-25,58
2021-05-02,57
2021-05-09,59
2021-05-16,63
2021-05-23,61
2021-05-30,62
2021-06-06,62
2021-06-13,63
2021-06-20,62
2021-06-27,62
2021-07-04,65
2021-07-11,64
2021-07-18,68
2021-07-25,66
2021-08-01,65
2021-08-08,66
2021-08-15,64
2021-08-22,64
2021-08-29,61
2021-09-05,63
2021-09-12,69
2021-09-19,66
2021-09-26,64
2021-10-03,65
2021-10-10,54
2021-10-17,64
2021-10-24,60
2021-10-31,44
2021-11-07,59
2021-11-14,62
2021-11-21,64
2021-11-28,64
2021-12-05,65
2021-12-12,70
2021-12-19,69
2021-12-26,61
2022-01-02,79
2022-01-09,75
2022-01-16,70
2022-01-23,77
2022-01-30,82
2022-02-06,80
2022-02-13,91
2022-02-20,94
2022-02-27,89
2022-03-06,90
2022-03-13,79
2022-03-20,86
2022-03-27,90
2022-04-03,88
2022-04-10,82
2022-04-17,88
2022-04-24,89
2022-05-01,88
2022-05-08,89
2022-05-15,85
2022-05-22,87
2022-05-29,84
2022-06-05,88
2022-06-12,87
2022-06-19,90
2022-06-26,90
2022-07-03,92
2022-07-10,96
2022-07-17,100
2022-07-24,95
2022-07-31,94
2022-08-07,85
2022-08-14,82
2022-08-21,96
2022-08-28,82
2022-09-04,87
2022-09-11,97
2022-09-18,97
2022-09-25,90
2022-10-02,76
2022-10-09,94
2022-10-16,86
2022-10-23,62
2022-10-30,91
2022-11-06,84
2022-11-13,93
2022-11-20,94
2022-11-27,89
2022-12-04,87
2022-12-11,93
2022-12-18,93
2022-12-25,86
2023-01-01,90
2023-01-08,87
2023-01-15,83
2023-01-22,87
2023-01-29,92
2023-02-05,89
2023-02-12,88
2023-02-19,92
2023-02-26,87
2023-03-05,75
2023-03-12,88
2023-03-19,87
2023-03-26,85
2023-04-02,81
2023-04-09,85
2023-04-16,87
2023-04-23,93
2023-04-30,81
2023-05-07,83
2023-05-14,85
2023-05-21,81
2023-05-28,84
2023-06-04,84
2023-06-11,84
2023-06-18,90
2023-06-25,87
2023-07-02,91
2023-07-09,94
2023-07-16,92
2023-07-23,92
2023-07-30,93
2023-08-06,97
2023-08-13,85
2023-08-20,91
2023-08-27,86
2023-09-03,86
2023-09-10,92
2023-09-17,85
2023-09-24,88
2023-10-01,86
2023-10-08,89
2023-10-15,86
2023-10-22,71
2023-10-29,81
2023-11-05,70
2023-11-12,58
2023-11-19,83
2023-11-26,89
2023-12-03,82
2023-12-10,87
2023-12-17,88
2023-12-24,74
2023-12-31,81
2024-01-07,83
