,Doctors' Offices
2018-12-30,44
2019-01-06,54
2019-01-13,52
2019-01-20,49
2019-01-27,49
2019-02-03,52
2019-02-10,57
2019-02-17,56
2019-02-24,57
2019-03-03,58
2019-03-10,60
2019-03-17,51
2019-03-24,50
2019-03-31,47
2019-04-07,42
2019-04-14,46
2019-04-21,37
2019-04-28,47
2019-05-05,42
2019-05-12,41
2019-05-19,44
2019-05-26,52
2019-06-02,44
2019-06-09,51
2019-06-16,55
2019-06-23,51
2019-06-30,52
2019-07-07,48
2019-07-14,57
2019-07-21,57
2019-07-28,48
2019-08-04,57
2019-08-11,55
2019-08-18,51
2019-08-25,48
2019-09-01,53
2019-09-08,52
2019-09-15,55
2019-09-22,52
2019-09-29,59
2019-10-06,48
2019-10-13,51
2019-10-20,58
2019-10-27,50
2019-11-03,42
2019-11-10,52
2019-11-17,48
2019-11-24,53
2019-12-01,52
2019-12-08,53
2019-12-15,62
2019-12-22,64
2019-12-29,55
2020-01-05,52
2020-01-12,57
2020-01-19,52
2020-01-26,57
2020-02-02,52
2020-02-09,54
2020-02-16,56
2020-02-23,53
2020-03-01,48
2020-03-08,42
2020-03-15,41
2020-03-22,44
2020-03-29,51
2020-04-05,48
2020-04-12,39
2020-04-19,39
2020-04-26,47
2020-05-03,40
2020-05-10,47
2020-05-17,50
2020-05-24,61
2020-05-31,47
2020-06-07,53
2020-06-14,58
2020-06-21,57
2020-06-28,52
2020-07-05,54
2020-07-12,68
2020-07-19,50
2020-07-26,59
2020-08-02,59
2020-08-09,59
2020-08-16,59
2020-08-23,65
2020-08-30,62
2020-09-06,57
2020-09-13,69
2020-09-20,54
2020-09-27,51
2020-10-04,51
2020-10-11,57
2020-10-18,57
2020-10-25,61
2020-11-01,48
2020-11-08,58
2020-11-15,61
2020-11-22,54
2020-11-29,55
2020-12-06,59
2020-12-13,58
2020-12-20,61
2020-12-27,56
2021-01-03,56
2021-01-10,57
2021-01-17,71
2021-01-24,61
2021-01-31,62
2021-02-07,60
2021-02-14,59
2021-02-21,64
2021-02-28,59
2021-03-07,56
2021-03-14,60
2021-03-21,61
2021-03-28,62
2021-04-04,62
2021-04-11,48
2021-04-18,67
2021-04-25,62
2021-05-02,63
2021-05-09,66
2021-05-16,70
2021-05-23,64
2021-05-30,80
2021-06-06,66
2021-06-13,65
2021-06-20,72
2021-06-27,79
2021-07-04,75
2021-07-11,72
2021-07-18,71
2021-07-25,68
2021-08-01,67
2021-08-08,62
2021-08-15,69
2021-08-22,61
2021-08-29,61
2021-09-05,72
2021-09-12,71
2021-09-19,79
2021-09-26,67
2021-10-03,89
2021-10-10,95
2021-10-17,78
2021-10-24,78
2021-10-31,92
2021-11-07,76
2021-11-14,84
2021-11-21,82
2021-11-28,70
2021-12-05,68
2021-12-12,68
2021-12-19,72
2021-12-26,77
2022-01-02,86
2022-01-09,87
2022-01-16,73
2022-01-23,80
2022-01-30,83
2022-02-06,80
2022-02-13,89
2022-02-20,81
2022-02-27,89
2022-03-06,76
2022-03-13,75
2022-03-20,80
2022-03-27,70
2022-04-03,57
2022-04-10,57
2022-04-17,74
2022-04-24,85
2022-05-01,86
2022-05-08,70
2022-05-15,76
2022-05-22,72
2022-05-29,80
2022-06-05,76
2022-06-12,85
2022-06-19,90
2022-06-26,77
2022-07-03,79
2022-07-10,76
2022-07-17,81
2022-07-24,80
2022-07-31,83
2022-08-07,89
2022-08-14,91
2022-08-21,90
2022-08-28,82
2022-09-04,83
2022-09-11,84
2022-09-18,81
2022-09-25,86
2022-10-02,81
2022-10-09,86
2022-10-16,74
2022-10-23,83
2022-10-30,86
2022-11-06,86
2022-11-13,89
2022-11-20,80
2022-11-27,84
2022-12-04,77
2022-12-11,83
2022-12-18,85
2022-12-25,90
2023-01-01,84
2023-01-08,86
2023-01-15,75
2023-01-22,84
2023-01-29,84
2023-02-05,82
2023-02-12,88
2023-02-19,94
2023-02-26,91
2023-03-05,80
2023-03-12,93
2023-03-19,82
2023-03-26,91
2023-04-02,77
2023-04-09,68
2023-04-16,85
2023-04-23,89
2023-04-30,70
2023-05-07,91
2023-05-14,79
2023-05-21,86
2023-05-28,82
2023-06-04,93
2023-06-11,99
2023-06-18,82
2023-06-25,97
2023-07-02,88
2023-07-09,100
2023-07-16,100
2023-07-23,92
2023-07-30,89
2023-08-06,89
2023-08-13,88
2023-08-20,91
2023-08-27,85
2023-09-03,87
2023-09-10,92
2023-09-17,98
2023-09-24,86
2023-10-01,79
2023-10-08,81
2023-10-15,84
2023-10-22,81
2023-10-29,85
2023-11-05,84
2023-11-12,86
2023-11-19,81
2023-11-26,83
2023-12-03,77
2023-12-10,89
2023-12-17,88
2023-12-24,82
2023-12-31,84
2024-01-07,93
