,Finance
2018-12-30,58
2019-01-06,58
2019-01-13,56
2019-01-20,54
2019-01-27,63
2019-02-03,65
2019-02-10,67
2019-02-17,57
2019-02-24,62
2019-03-03,64
2019-03-10,56
2019-03-17,61
2019-03-24,64
2019-03-31,66
2019-04-07,57
2019-04-14,56
2019-04-21,57
2019-04-28,62
2019-05-05,55
2019-05-12,56
2019-05-19,49
2019-05-26,52
2019-06-02,46
2019-06-09,56
2019-06-16,55
2019-06-23,57
2019-06-30,64
2019-07-07,63
2019-07-14,59
2019-07-21,59
2019-07-28,66
2019-08-04,65
2019-08-11,50
2019-08-18,59
2019-08-25,66
2019-09-01,70
2019-09-08,65
2019-09-15,61
2019-09-22,60
2019-09-29,64
2019-10-06,59
2019-10-13,60
2019-10-20,56
2019-10-27,60
2019-11-03,56
2019-11-10,56
2019-11-17,53
2019-11-24,56
2019-12-01,62
2019-12-08,58
2019-12-15,61
2019-12-22,65
2019-12-29,67
2020-01-05,68
2020-01-12,65
2020-01-19,62
2020-01-26,67
2020-02-02,67
2020-02-09,70
2020-02-16,60
2020-02-23,69
2020-03-01,79
2020-03-08,72
2020-03-15,70
2020-03-22,57
2020-03-29,61
2020-04-05,62
2020-04-12,42
2020-04-19,38
2020-04-26,40
2020-05-03,42
2020-05-10,39
2020-05-17,41
2020-05-24,36
2020-05-31,43
2020-06-07,39
2020-06-14,39
2020-06-21,42
2020-06-28,47
2020-07-05,48
2020-07-12,45
2020-07-19,44
2020-07-26,37
2020-08-02,43
2020-08-09,50
2020-08-16,42
2020-08-23,37
2020-08-30,40
2020-09-06,42
2020-09-13,44
2020-09-20,40
2020-09-27,45
2020-10-04,49
2020-10-11,50
2020-10-18,47
2020-10-25,56
2020-11-01,52
2020-11-08,51
2020-11-15,47
2020-11-22,54
2020-11-29,56
2020-12-06,52
2020-12-13,55
2020-12-20,60
2020-12-27,67
2021-01-03,65
2021-01-10,62
2021-01-17,62
2021-01-24,65
2021-01-31,71
2021-02-07,69
2021-02-14,62
2021-02-21,66
2021-02-28,77
2021-03-07,73
2021-03-14,66
2021-03-21,70
2021-03-28,80
2021-04-04,73
2021-04-11,60
2021-04-18,64
2021-04-25,64
2021-05-02,66
2021-05-09,64
2021-05-16,57
2021-05-23,59
2021-05-30,66
2021-06-06,68
2021-06-13,71
2021-06-20,70
2021-06-27,77
2021-07-04,67
2021-07-11,60
2021-07-18,48
2021-07-25,51
2021-08-01,68
2021-08-08,69
2021-08-15,67
2021-08-22,66
2021-08-29,77
2021-09-05,74
2021-09-12,69
2021-09-19,60
2021-09-26,66
2021-10-03,68
2021-10-10,61
2021-10-17,63
2021-10-24,67
2021-10-31,73
2021-11-07,69
2021-11-14,72
2021-11-21,69
2021-11-28,82
2021-12-05,81
2021-12-12,74
2021-12-19,76
2021-12-26,79
2022-01-02,76
2022-01-09,71
2022-01-16,65
2022-01-23,74
2022-01-30,80
2022-02-06,75
2022-02-13,68
2022-02-20,72
2022-02-27,86
2022-03-06,85
2022-03-13,78
2022-03-20,74
2022-03-27,76
2022-04-03,75
2022-04-10,77
2022-04-17,70
2022-04-24,77
2022-05-01,63
2022-05-08,79
2022-05-15,81
2022-05-22,78
2022-05-29,77
2022-06-05,76
2022-06-12,76
2022-06-19,71
2022-06-26,79
2022-07-03,76
2022-07-10,68
2022-07-17,76
2022-07-24,70
2022-07-31,82
2022-08-07,78
2022-08-14,81
2022-08-21,72
2022-08-28,83
2022-09-04,75
2022-09-11,66
2022-09-18,73
2022-09-25,76
2022-10-02,76
2022-10-09,77
2022-10-16,73
2022-10-23,69
2022-10-30,77
2022-11-06,76
2022-11-13,79
2022-11-20,68
2022-11-27,74
2022-12-04,77
2022-12-11,79
2022-12-18,74
2022-12-25,81
2023-01-01,77
2023-01-08,82
2023-01-15,78
2023-01-22,79
2023-01-29,86
2023-02-05,83
2023-02-12,79
2023-02-19,77
2023-02-26,92
2023-03-05,89
2023-03-12,87
2023-03-19,79
2023-03-26,82
2023-04-02,85
2023-04-09,78
2023-04-16,69
2023-04-23,73
2023-04-30,81
2023-05-07,100
2023-05-14,82
2023-05-21,80
2023-05-28,87
2023-06-04,80
2023-06-11,88
2023-06-18,80
2023-06-25,64
2023-07-02,83
2023-07-09,83
2023-07-16,79
2023-07-23,78
2023-07-30,91
2023-08-06,91
2023-08-13,88
2023-08-20,83
2023-08-27,86
2023-09-03,83
2023-09-10,75
2023-09-17,77
2023-09-24,73
2023-10-01,84
2023-10-08,81
2023-10-15,75
2023-10-22,83
2023-10-29,89
2023-11-05,85
2023-11-12,83
2023-11-19,81
2023-11-26,88
2023-12-03,95
2023-12-10,88
2023-12-17,83
2023-12-24,86
2023-12-31,84
2024-01-07,86
