,Social Services
2018-12-30,32
2019-01-06,35
2019-01-13,40
2019-01-20,53
2019-01-27,42
2019-02-03,0
2019-02-10,44
2019-02-17,59
2019-02-24,44
2019-03-03,69
2019-03-10,49
2019-03-17,94
2019-03-24,61
2019-03-31,30
2019-04-07,74
2019-04-14,44
2019-04-21,66
2019-04-28,41
2019-05-05,0
2019-05-12,32
2019-05-19,30
2019-05-26,25
2019-06-02,36
2019-06-09,53
2019-06-16,51
2019-06-23,78
2019-06-30,64
2019-07-07,45
2019-07-14,59
2019-07-21,62
2019-07-28,45
2019-08-04,45
2019-08-11,41
2019-08-18,54
2019-08-25,60
2019-09-01,58
2019-09-08,54
2019-09-15,50
2019-09-22,40
2019-09-29,28
2019-10-06,74
2019-10-13,61
2019-10-20,49
2019-10-27,66
2019-11-03,51
2019-11-10,34
2019-11-17,40
2019-11-24,39
2019-12-01,34
2019-12-08,50
2019-12-15,32
2019-12-22,59
2019-12-29,43
2020-01-05,54
2020-01-12,65
2020-01-19,56
2020-01-26,44
2020-02-02,68
2020-02-09,50
2020-02-16,48
2020-02-23,47
2020-03-01,46
2020-03-08,45
2020-03-15,54
2020-03-22,54
2020-03-29,32
2020-04-05,47
2020-04-12,0
2020-04-19,46
2020-04-26,35
2020-05-03,38
2020-05-10,27
2020-05-17,32
2020-05-24,0
2020-05-31,37
2020-06-07,40
2020-06-14,47
2020-06-21,66
2020-06-28,56
2020-07-05,30
2020-07-12,48
2020-07-19,37
2020-07-26,31
2020-08-02,45
2020-08-09,58
2020-08-16,47
2020-08-23,42
2020-08-30,33
2020-09-06,37
2020-09-13,47
2020-09-20,48
2020-09-27,34
2020-10-04,52
2020-10-11,53
2020-10-18,32
2020-10-25,49
2020-11-01,55
2020-11-08,42
2020-11-15,34
2020-11-22,41
2020-11-29,35
2020-12-06,45
2020-12-13,45
2020-12-20,42
2020-12-27,26
2021-01-03,29
2021-01-10,47
2021-01-17,41
2021-01-24,50
2021-01-31,37
2021-02-07,45
2021-02-14,52
2021-02-21,63
2021-02-28,46
2021-03-07,53
2021-03-14,73
2021-03-21,61
2021-03-28,79
2021-04-04,56
2021-04-11,24
2021-04-18,54
2021-04-25,51
2021-05-02,37
2021-05-09,39
2021-05-16,0
2021-05-23,49
2021-05-30,56
2021-06-06,42
2021-06-13,67
2021-06-20,42
2021-06-27,46
2021-07-04,49
2021-07-11,65
2021-07-18,43
2021-07-25,54
2021-08-01,65
2021-08-08,36
2021-08-15,53
2021-08-22,49
2021-08-29,48
2021-09-05,71
2021-09-12,55
2021-09-19,47
2021-09-26,48
2021-10-03,68
2021-10-10,98
2021-10-17,48
2021-10-24,71
2021-10-31,100
2021-11-07,48
2021-11-14,60
2021-11-21,61
2021-11-28,70
2021-12-05,59
2021-12-12,57
2021-12-19,55
2021-12-26,40
2022-01-02,44
2022-01-09,47
2022-01-16,41
2022-01-23,45
2022-01-30,50
2022-02-06,44
2022-02-13,59
2022-02-20,51
2022-02-27,57
2022-03-06,59
2022-03-13,43
2022-03-20,57
2022-03-27,60
2022-04-03,51
2022-04-10,50
2022-04-17,59
2022-04-24,43
2022-05-01,35
2022-05-08,65
2022-05-15,59
2022-05-22,71
2022-05-29,60
2022-06-05,62
2022-06-12,47
2022-06-19,37
2022-06-26,65
2022-07-03,56
2022-07-10,37
2022-07-17,42
2022-07-24,52
2022-07-31,46
2022-08-07,53
2022-08-14,63
2022-08-21,60
2022-08-28,76
2022-09-04,64
2022-09-11,43
2022-09-18,59
2022-09-25,56
2022-10-02,74
2022-10-09,91
2022-10-16,59
2022-10-23,59
2022-10-30,56
2022-11-06,61
2022-11-13,64
2022-11-20,50
2022-11-27,52
2022-12-04,58
2022-12-11,53
2022-12-18,58
2022-12-25,53
2023-01-01,56
2023-01-08,40
2023-01-15,32
2023-01-22,45
2023-01-29,66
2023-02-05,46
2023-02-12,53
2023-02-19,61
2023-02-26,48
2023-03-05,58
2023-03-12,50
2023-03-19,59
2023-03-26,43
2023-04-02,70
2023-04-09,55
2023-04-16,50
2023-04-23,51
2023-04-30,67
2023-05-07,58
2023-05-14,45
2023-05-21,50
2023-05-28,48
2023-06-04,60
2023-06-11,42
2023-06-18,34
2023-06-25,29
2023-07-02,41
2023-07-09,41
2023-07-16,41
2023-07-23,60
2023-07-30,46
2023-08-06,51
2023-08-13,53
2023-08-20,65
2023-08-27,74
2023-09-03,38
2023-09-10,44
2023-09-17,63
2023-09-24,53
2023-10-01,56
2023-10-08,76
2023-10-15,54
2023-10-22,72
2023-10-29,81
2023-11-05,53
2023-11-12,76
2023-11-19,61
2023-11-26,69
2023-12-03,53
2023-12-10,68
2023-12-17,47
2023-12-24,48
2023-12-31,58
2024-01-07,52
