,Construction & Maintenance
2018-12-30,69
2019-01-06,64
2019-01-13,60
2019-01-20,64
2019-01-27,70
2019-02-03,70
2019-02-10,68
2019-02-17,72
2019-02-24,68
2019-03-03,69
2019-03-10,73
2019-03-17,68
2019-03-24,83
2019-03-31,80
2019-04-07,80
2019-04-14,72
2019-04-21,78
2019-04-28,83
2019-05-05,75
2019-05-12,76
2019-05-19,71
2019-05-26,83
2019-06-02,78
2019-06-09,79
2019-06-16,70
2019-06-23,71
2019-06-30,65
2019-07-07,64
2019-07-14,70
2019-07-21,70
2019-07-28,70
2019-08-04,66
2019-08-11,60
2019-08-18,70
2019-08-25,70
2019-09-01,63
2019-09-08,69
2019-09-15,68
2019-09-22,69
2019-09-29,63
2019-10-06,56
2019-10-13,62
2019-10-20,58
2019-10-27,54
2019-11-03,62
2019-11-10,61
2019-11-17,65
2019-11-24,62
2019-12-01,61
2019-12-08,58
2019-12-15,62
2019-12-22,62
2019-12-29,62
2020-01-05,61
2020-01-12,55
2020-01-19,61
2020-01-26,63
2020-02-02,56
2020-02-09,59
2020-02-16,60
2020-02-23,62
2020-03-01,59
2020-03-08,54
2020-03-15,56
2020-03-22,40
2020-03-29,38
2020-04-05,40
2020-04-12,42
2020-04-19,40
2020-04-26,45
2020-05-03,46
2020-05-10,50
2020-05-17,61
2020-05-24,73
2020-05-31,61
2020-06-07,63
2020-06-14,63
2020-06-21,65
2020-06-28,65
2020-07-05,61
2020-07-12,62
2020-07-19,61
2020-07-26,61
2020-08-02,62
2020-08-09,63
2020-08-16,64
2020-08-23,63
2020-08-30,62
2020-09-06,65
2020-09-13,64
2020-09-20,64
2020-09-27,63
2020-10-04,63
2020-10-11,64
2020-10-18,62
2020-10-25,59
2020-11-01,59
2020-11-08,55
2020-11-15,53
2020-11-22,58
2020-11-29,56
2020-12-06,60
2020-12-13,61
2020-12-20,64
2020-12-27,61
2021-01-03,64
2021-01-10,57
2021-01-17,64
2021-01-24,60
2021-01-31,64
2021-02-07,63
2021-02-14,63
2021-02-21,67
2021-02-28,71
2021-03-07,68
2021-03-14,72
2021-03-21,69
2021-03-28,77
2021-04-04,74
2021-04-11,68
2021-04-18,62
2021-04-25,63
2021-05-02,57
2021-05-09,58
2021-05-16,58
2021-05-23,62
2021-05-30,67
2021-06-06,77
2021-06-13,70
2021-06-20,68
2021-06-27,74
2021-07-04,76
2021-07-11,76
2021-07-18,74
2021-07-25,71
2021-08-01,66
2021-08-08,67
2021-08-15,68
2021-08-22,65
2021-08-29,63
2021-09-05,70
2021-09-12,68
2021-09-19,62
2021-09-26,65
2021-10-03,64
2021-10-10,54
2021-10-17,58
2021-10-24,61
2021-10-31,50
2021-11-07,56
2021-11-14,61
2021-11-21,55
2021-11-28,60
2021-12-05,58
2021-12-12,63
2021-12-19,66
2021-12-26,64
2022-01-02,67
2022-01-09,60
2022-01-16,60
2022-01-23,63
2022-01-30,68
2022-02-06,65
2022-02-13,69
2022-02-20,76
2022-02-27,78
2022-03-06,80
2022-03-13,82
2022-03-20,88
2022-03-27,85
2022-04-03,87
2022-04-10,88
2022-04-17,90
2022-04-24,89
2022-05-01,83
2022-05-08,86
2022-05-15,76
2022-05-22,82
2022-05-29,78
2022-06-05,81
2022-06-12,81
2022-06-19,78
2022-06-26,82
2022-07-03,83
2022-07-10,79
2022-07-17,75
2022-07-24,76
2022-07-31,77
2022-08-07,71
2022-08-14,70
2022-08-21,76
2022-08-28,71
2022-09-04,70
2022-09-11,74
2022-09-18,79
2022-09-25,74
2022-10-02,66
2022-10-09,74
2022-10-16,71
2022-10-23,58
2022-10-30,76
2022-11-06,69
2022-11-13,69
2022-11-20,72
2022-11-27,67
2022-12-04,66
2022-12-11,76
2022-12-18,75
2022-12-25,76
2023-01-01,74
2023-01-08,70
2023-01-15,67
2023-01-22,69
2023-01-29,75
2023-02-05,75
2023-02-12,73
2023-02-19,79
2023-02-26,78
2023-03-05,69
2023-03-12,78
2023-03-19,73
2023-03-26,75
2023-04-02,78
2023-04-09,94
2023-04-16,100
2023-04-23,82
2023-04-30,73
2023-05-07,81
2023-05-14,90
2023-05-21,92
2023-05-28,77
2023-06-04,87
2023-06-11,90
2023-06-18,90
2023-06-25,82
2023-07-02,82
2023-07-09,80
2023-07-16,80
2023-07-23,79
2023-07-30,77
2023-08-06,80
2023-08-13,72
2023-08-20,76
2023-08-27,71
2023-09-03,72
2023-09-10,76
2023-09-17,74
2023-09-24,74
2023-10-01,76
2023-10-08,74
2023-10-15,72
2023-10-22,62
2023-10-29,70
2023-11-05,64
2023-11-12,57
2023-11-19,73
2023-11-26,70
2023-12-03,67
2023-12-10,74
2023-12-17,74
2023-12-24,78
2023-12-31,71
2024-01-07,71
