,Business Services
2018-12-30,73
2019-01-06,70
2019-01-13,64
2019-01-20,67
2019-01-27,77
2019-02-03,79
2019-02-10,74
2019-02-17,74
2019-02-24,73
2019-03-03,74
2019-03-10,80
2019-03-17,68
2019-03-24,79
2019-03-31,75
2019-04-07,67
2019-04-14,65
2019-04-21,67
2019-04-28,65
2019-05-05,67
2019-05-12,68
2019-05-19,68
2019-05-26,73
2019-06-02,66
2019-06-09,70
2019-06-16,71
2019-06-23,74
2019-06-30,67
2019-07-07,76
2019-07-14,74
2019-07-21,72
2019-07-28,75
2019-08-04,72
2019-08-11,65
2019-08-18,76
2019-08-25,72
2019-09-01,66
2019-09-08,69
2019-09-15,73
2019-09-22,72
2019-09-29,67
2019-10-06,63
2019-10-13,72
2019-10-20,65
2019-10-27,59
2019-11-03,68
2019-11-10,70
2019-11-17,72
2019-11-24,73
2019-12-01,76
2019-12-08,70
2019-12-15,71
2019-12-22,77
2019-12-29,72
2020-01-05,73
2020-01-12,68
2020-01-19,76
2020-01-26,90
2020-02-02,81
2020-02-09,78
2020-02-16,76
2020-02-23,79
2020-03-01,80
2020-03-08,69
2020-03-15,72
2020-03-22,55
2020-03-29,59
2020-04-05,70
2020-04-12,66
2020-04-19,65
2020-04-26,68
2020-05-03,69
2020-05-10,69
2020-05-17,68
2020-05-24,69
2020-05-31,71
2020-06-07,69
2020-06-14,71
2020-06-21,74
2020-06-28,76
2020-07-05,81
2020-07-12,77
2020-07-19,77
2020-07-26,78
2020-08-02,77
2020-08-09,82
2020-08-16,77
2020-08-23,77
2020-08-30,81
2020-09-06,82
2020-09-13,77
2020-09-20,81
2020-09-27,81
2020-10-04,80
2020-10-11,82
2020-10-18,77
2020-10-25,70
2020-11-01,71
2020-11-08,67
2020-11-15,69
2020-11-22,73
2020-11-29,74
2020-12-06,77
2020-12-13,79
2020-12-20,78
2020-12-27,80
2021-01-03,72
2021-01-10,72
2021-01-17,77
2021-01-24,72
2021-01-31,74
2021-02-07,78
2021-02-14,76
2021-02-21,79
2021-02-28,80
2021-03-07,76
2021-03-14,84
2021-03-21,79
2021-03-28,79
2021-04-04,75
2021-04-11,69
2021-04-18,67
2021-04-25,65
2021-05-02,64
2021-05-09,66
2021-05-16,63
2021-05-23,68
2021-05-30,71
2021-06-06,72
2021-06-13,83
2021-06-20,77
2021-06-27,78
2021-07-04,79
2021-07-11,74
2021-07-18,81
2021-07-25,81
2021-08-01,82
2021-08-08,82
2021-08-15,77
2021-08-22,74
2021-08-29,74
2021-09-05,77
2021-09-12,81
2021-09-19,80
2021-09-26,81
2021-10-03,78
2021-10-10,67
2021-10-17,74
2021-10-24,75
2021-10-31,60
2021-11-07,74
2021-11-14,74
2021-11-21,73
2021-11-28,76
2021-12-05,77
2021-12-12,78
2021-12-19,81
2021-12-26,83
2022-01-02,89
2022-01-09,85
2022-01-16,80
2022-01-23,79
2022-01-30,88
2022-02-06,83
2022-02-13,86
2022-02-20,88
2022-02-27,88
2022-03-06,90
2022-03-13,83
2022-03-20,96
2022-03-27,96
2022-04-03,94
2022-04-10,85
2022-04-17,89
2022-04-24,86
2022-05-01,89
2022-05-08,91
2022-05-15,91
2022-05-22,89
2022-05-29,86
2022-06-05,85
2022-06-12,88
2022-06-19,89
2022-06-26,90
2022-07-03,91
2022-07-10,89
2022-07-17,91
2022-07-24,96
2022-07-31,91
2022-08-07,84
2022-08-14,85
2022-08-21,92
2022-08-28,86
2022-09-04,86
2022-09-11,93
2022-09-18,92
2022-09-25,85
2022-10-02,76
2022-10-09,87
2022-10-16,78
2022-10-23,64
2022-10-30,81
2022-11-06,80
2022-11-13,86
2022-11-20,80
2022-11-27,80
2022-12-04,78
2022-12-11,83
2022-12-18,86
2022-12-25,85
2023-01-01,87
2023-01-08,84
2023-01-15,82
2023-01-22,77
2023-01-29,86
2023-02-05,88
2023-02-12,88
2023-02-19,89
2023-02-26,86
2023-03-05,78
2023-03-12,88
2023-03-19,86
2023-03-26,90
2023-04-02,86
2023-04-09,83
2023-04-16,80
2023-04-23,85
2023-04-30,79
2023-05-07,83
2023-05-14,82
2023-05-21,81
2023-05-28,85
2023-06-04,84
2023-06-11,94
2023-06-18,97
2023-06-25,92
2023-07-02,94
2023-07-09,100
2023-07-16,97
2023-07-23,100
2023-07-30,100
2023-08-06,99
2023-08-13,93
2023-08-20,96
2023-08-27,90
2023-09-03,90
2023-09-10,96
2023-09-17,94
2023-09-24,98
2023-10-01,93
2023-10-08,97
2023-10-15,85
2023-10-22,77
2023-10-29,87
2023-11-05,84
2023-11-12,80
2023-11-19,87
2023-11-26,89
2023-12-03,89
2023-12-10,92
2023-12-17,96
2023-12-24,97
2023-12-31,95
2024-01-07,93
