,Food & Drink
2018-12-30,70
2019-01-06,67
2019-01-13,63
2019-01-20,62
2019-01-27,60
2019-02-03,66
2019-02-10,67
2019-02-17,66
2019-02-24,61
2019-03-03,61
2019-03-10,60
2019-03-17,65
2019-03-24,62
2019-03-31,60
2019-04-07,65
2019-04-14,63
2019-04-21,49
2019-04-28,53
2019-05-05,56
2019-05-12,52
2019-05-19,55
2019-05-26,60
2019-06-02,60
2019-06-09,63
2019-06-16,61
2019-06-23,70
2019-06-30,67
2019-07-07,63
2019-07-14,65
2019-07-21,69
2019-07-28,66
2019-08-04,68
2019-08-11,66
2019-08-18,67
2019-08-25,63
2019-09-01,63
2019-09-08,65
2019-09-15,63
2019-09-22,64
2019-09-29,62
2019-10-06,62
2019-10-13,60
2019-10-20,60
2019-10-27,60
2019-11-03,63
2019-11-10,60
2019-11-17,60
2019-11-24,59
2019-12-01,64
2019-12-08,63
2019-12-15,71
2019-12-22,74
2019-12-29,74
2020-01-05,65
2020-01-12,66
2020-01-19,70
2020-01-26,66
2020-02-02,69
2020-02-09,66
2020-02-16,66
2020-02-23,62
2020-03-01,62
2020-03-08,57
2020-03-15,58
2020-03-22,67
2020-03-29,83
2020-04-05,86
2020-04-12,80
2020-04-19,75
2020-04-26,77
2020-05-03,74
2020-05-10,70
2020-05-17,68
2020-05-24,68
2020-05-31,69
2020-06-07,65
2020-06-14,64
2020-06-21,64
2020-06-28,65
2020-07-05,64
2020-07-12,69
2020-07-19,69
2020-07-26,70
2020-08-02,69
2020-08-09,63
2020-08-16,61
2020-08-23,59
2020-08-30,60
2020-09-06,64
2020-09-13,61
2020-09-20,60
2020-09-27,58
2020-10-04,63
2020-10-11,65
2020-10-18,67
2020-10-25,65
2020-11-01,64
2020-11-08,71
2020-11-15,67
2020-11-22,68
2020-11-29,68
2020-12-06,70
2020-12-13,69
2020-12-20,77
2020-12-27,74
2021-01-03,67
2021-01-10,64
2021-01-17,64
2021-01-24,63
2021-01-31,63
2021-02-07,59
2021-02-14,68
2021-02-21,64
2021-02-28,64
2021-03-07,66
2021-03-14,65
2021-03-21,65
2021-03-28,69
2021-04-04,64
2021-04-11,60
2021-04-18,66
2021-04-25,68
2021-05-02,72
2021-05-09,72
2021-05-16,74
2021-05-23,72
2021-05-30,81
2021-06-06,84
2021-06-13,86
2021-06-20,75
2021-06-27,77
2021-07-04,75
2021-07-11,73
2021-07-18,75
2021-07-25,73
2021-08-01,67
2021-08-08,69
2021-08-15,72
2021-08-22,77
2021-08-29,78
2021-09-05,77
2021-09-12,78
2021-09-19,77
2021-09-26,78
2021-10-03,70
2021-10-10,71
2021-10-17,67
2021-10-24,69
2021-10-31,69
2021-11-07,71
2021-11-14,68
2021-11-21,69
2021-11-28,66
2021-12-05,70
2021-12-12,71
2021-12-19,80
2021-12-26,86
2022-01-02,84
2022-01-09,79
2022-01-16,74
2022-01-23,79
2022-01-30,84
2022-02-06,83
2022-02-13,88
2022-02-20,82
2022-02-27,83
2022-03-06,85
2022-03-13,79
2022-03-20,77
2022-03-27,72
2022-04-03,74
2022-04-10,74
2022-04-17,77
2022-04-24,79
2022-05-01,78
2022-05-08,80
2022-05-15,77
2022-05-22,79
2022-05-29,83
2022-06-05,74
2022-06-12,74
2022-06-19,81
2022-06-26,78
2022-07-03,79
2022-07-10,85
2022-07-17,86
2022-07-24,81
2022-07-31,81
2022-08-07,84
2022-08-14,85
2022-08-21,81
2022-08-28,78
2022-09-04,80
2022-09-11,75
2022-09-18,76
2022-09-25,78
2022-10-02,75
2022-10-09,74
2022-10-16,78
2022-10-23,79
2022-10-30,77
2022-11-06,78
2022-11-13,78
2022-11-20,74
2022-11-27,72
2022-12-04,76
2022-12-11,80
2022-12-18,85
2022-12-25,95
2023-01-01,78
2023-01-08,73
2023-01-15,73
2023-01-22,80
2023-01-29,77
2023-02-05,74
2023-02-12,84
2023-02-19,81
2023-02-26,76
2023-03-05,75
2023-03-12,75
2023-03-19,75
2023-03-26,70
2023-04-02,76
2023-04-09,77
2023-04-16,79
2023-04-23,80
2023-04-30,74
2023-05-07,77
2023-05-14,76
2023-05-21,77
2023-05-28,77
2023-06-04,78
2023-06-11,80
2023-06-18,79
2023-06-25,81
2023-07-02,77
2023-07-09,83
2023-07-16,81
2023-07-23,82
2023-07-30,83
2023-08-06,88
2023-08-13,86
2023-08-20,82
2023-08-27,83
2023-09-03,90
2023-09-10,74
2023-09-17,81
2023-09-24,80
2023-10-01,80
2023-10-08,74
2023-10-15,75
2023-10-22,76
2023-10-29,77
2023-11-05,80
2023-11-12,86
2023-11-19,84
2023-11-26,78
2023-12-03,82
2023-12-10,86
2023-12-17,92
2023-12-24,100
2023-12-31,89
2024-01-07,83
