,Construction & Maintenance
2018-12-30,79
2019-01-06,78
2019-01-13,69
2019-01-20,78
2019-01-27,84
2019-02-03,64
2019-02-10,81
2019-02-17,80
2019-02-24,79
2019-03-03,74
2019-03-10,77
2019-03-17,81
2019-03-24,84
2019-03-31,68
2019-04-07,69
2019-04-14,78
2019-04-21,78
2019-04-28,68
2019-05-05,63
2019-05-12,62
2019-05-19,64
2019-05-26,73
2019-06-02,75
2019-06-09,78
2019-06-16,81
2019-06-23,93
2019-06-30,76
2019-07-07,80
2019-07-14,84
2019-07-21,66
2019-07-28,69
2019-08-04,70
2019-08-11,56
2019-08-18,70
2019-08-25,62
2019-09-01,71
2019-09-08,71
2019-09-15,64
2019-09-22,67
2019-09-29,67
2019-10-06,72
2019-10-13,68
2019-10-20,71
2019-10-27,73
2019-11-03,75
2019-11-10,65
2019-11-17,75
2019-11-24,75
2019-12-01,64
2019-12-08,71
2019-12-15,68
2019-12-22,78
2019-12-29,64
2020-01-05,67
2020-01-12,66
2020-01-19,71
2020-01-26,78
2020-02-02,75
2020-02-09,74
2020-02-16,70
2020-02-23,79
2020-03-01,73
2020-03-08,78
2020-03-15,75
2020-03-22,59
2020-03-29,62
2020-04-05,58
2020-04-12,67
2020-04-19,47
2020-04-26,39
2020-05-03,49
2020-05-10,38
2020-05-17,46
2020-05-24,44
2020-05-31,48
2020-06-07,55
2020-06-14,52
2020-06-21,60
2020-06-28,53
2020-07-05,62
2020-07-12,53
2020-07-19,56
2020-07-26,61
2020-08-02,62
2020-08-09,59
2020-08-16,49
2020-08-23,52
2020-08-30,54
2020-09-06,43
2020-09-13,60
2020-09-20,50
2020-09-27,55
2020-10-04,60
2020-10-11,66
2020-10-18,66
2020-10-25,65
2020-11-01,63
2020-11-08,64
2020-11-15,52
2020-11-22,60
2020-11-29,56
2020-12-06,63
2020-12-13,59
2020-12-20,68
2020-12-27,65
2021-01-03,69
2021-01-10,75
2021-01-17,81
2021-01-24,70
2021-01-31,80
2021-02-07,72
2021-02-14,70
2021-02-21,77
2021-02-28,87
2021-03-07,76
2021-03-14,76
2021-03-21,82
2021-03-28,94
2021-04-04,65
2021-04-11,66
2021-04-18,69
2021-04-25,86
2021-05-02,77
2021-05-09,65
2021-05-16,64
2021-05-23,81
2021-05-30,79
2021-06-06,81
2021-06-13,77
2021-06-20,88
2021-06-27,71
2021-07-04,76
2021-07-11,65
2021-07-18,66
2021-07-25,65
2021-08-01,73
2021-08-08,80
2021-08-15,87
2021-08-22,82
2021-08-29,79
2021-09-05,84
2021-09-12,75
2021-09-19,81
2021-09-26,83
2021-10-03,77
2021-10-10,82
2021-10-17,82
2021-10-24,80
2021-10-31,73
2021-11-07,80
2021-11-14,84
2021-11-21,82
2021-11-28,76
2021-12-05,82
2021-12-12,90
2021-12-19,77
2021-12-26,79
2022-01-02,83
2022-01-09,78
2022-01-16,77
2022-01-23,79
2022-01-30,81
2022-02-06,82
2022-02-13,89
2022-02-20,81
2022-02-27,87
2022-03-06,83
2022-03-13,92
2022-03-20,75
2022-03-27,71
2022-04-03,70
2022-04-10,77
2022-04-17,70
2022-04-24,70
2022-05-01,60
2022-05-08,78
2022-05-15,77
2022-05-22,76
2022-05-29,84
2022-06-05,74
2022-06-12,91
2022-06-19,74
2022-06-26,72
2022-07-03,61
2022-07-10,60
2022-07-17,71
2022-07-24,65
2022-07-31,68
2022-08-07,74
2022-08-14,84
2022-08-21,78
2022-08-28,72
2022-09-04,71
2022-09-11,80
2022-09-18,88
2022-09-25,70
2022-10-02,63
2022-10-09,71
2022-10-16,77
2022-10-23,74
2022-10-30,70
2022-11-06,73
2022-11-13,82
2022-11-20,71
2022-11-27,72
2022-12-04,80
2022-12-11,85
2022-12-18,68
2022-12-25,78
2023-01-01,75
2023-01-08,70
2023-01-15,71
2023-01-22,81
2023-01-29,84
2023-02-05,81
2023-02-12,83
2023-02-19,86
2023-02-26,77
2023-03-05,80
2023-03-12,74
2023-03-19,86
2023-03-26,84
2023-04-02,69
2023-04-09,85
2023-04-16,65
2023-04-23,76
2023-04-30,84
2023-05-07,83
2023-05-14,82
2023-05-21,79
2023-05-28,76
2023-06-04,80
2023-06-11,80
2023-06-18,78
2023-06-25,62
2023-07-02,68
2023-07-09,76
2023-07-16,83
2023-07-23,69
2023-07-30,72
2023-08-06,84
2023-08-13,89
2023-08-20,90
2023-08-27,93
2023-09-03,79
2023-09-10,76
2023-09-17,87
2023-09-24,86
2023-10-01,80
2023-10-08,88
2023-10-15,84
2023-10-22,87
2023-10-29,83
2023-11-05,87
2023-11-12,94
2023-11-19,94
2023-11-26,100
2023-12-03,94
2023-12-10,99
2023-12-17,100
2023-12-24,92
2023-12-31,79
2024-01-07,94
