,Dyes & Pigments
2018-12-30,46
2019-01-06,45
2019-01-13,41
2019-01-20,47
2019-01-27,48
2019-02-03,47
2019-02-10,51
2019-02-17,47
2019-02-24,46
2019-03-03,49
2019-03-10,51
2019-03-17,43
2019-03-24,51
2019-03-31,46
2019-04-07,46
2019-04-14,41
2019-04-21,43
2019-04-28,44
2019-05-05,43
2019-05-12,43
2019-05-19,44
2019-05-26,44
2019-06-02,41
2019-06-09,40
2019-06-16,41
2019-06-23,44
2019-06-30,38
2019-07-07,43
2019-07-14,45
2019-07-21,49
2019-07-28,48
2019-08-04,48
2019-08-11,39
2019-08-18,49
2019-08-25,52
2019-09-01,45
2019-09-08,52
2019-09-15,53
2019-09-22,57
2019-09-29,45
2019-10-06,41
2019-10-13,48
2019-10-20,42
2019-10-27,36
2019-11-03,49
2019-11-10,47
2019-11-17,54
2019-11-24,55
2019-12-01,51
2019-12-08,49
2019-12-15,47
2019-12-22,41
2019-12-29,44
2020-01-05,46
2020-01-12,44
2020-01-19,48
2020-01-26,45
2020-02-02,52
2020-02-09,49
2020-02-16,49
2020-02-23,50
2020-03-01,55
2020-03-08,39
2020-03-15,38
2020-03-22,30
2020-03-29,29
2020-04-05,33
2020-04-12,30
2020-04-19,33
2020-04-26,33
2020-05-03,36
2020-05-10,36
2020-05-17,36
2020-05-24,39
2020-05-31,40
2020-06-07,44
2020-06-14,41
2020-06-21,42
2020-06-28,42
2020-07-05,47
2020-07-12,47
2020-07-19,50
2020-07-26,50
2020-08-02,47
2020-08-09,51
2020-08-16,59
2020-08-23,58
2020-08-30,60
2020-09-06,64
2020-09-13,59
2020-09-20,57
2020-09-27,58
2020-10-04,56
2020-10-11,57
2020-10-18,52
2020-10-25,48
2020-11-01,49
2020-11-08,42
2020-11-15,43
2020-11-22,49
2020-11-29,48
2020-12-06,50
2020-12-13,56
2020-12-20,56
2020-12-27,48
2021-01-03,52
2021-01-10,49
2021-01-17,54
2021-01-24,52
2021-01-31,52
2021-02-07,61
2021-02-14,55
2021-02-21,59
2021-02-28,59
2021-03-07,56
2021-03-14,64
2021-03-21,58
2021-03-28,47
2021-04-04,58
2021-04-11,51
2021-04-18,52
2021-04-25,61
2021-05-02,57
2021-05-09,51
2021-05-16,52
2021-05-23,49
2021-05-30,52
2021-06-06,51
2021-06-13,53
2021-06-20,57
2021-06-27,52
2021-07-04,63
2021-07-11,63
2021-07-18,61
2021-07-25,61
2021-08-01,60
2021-08-08,64
2021-08-15,57
2021-08-22,53
2021-08-29,57
2021-09-05,57
2021-09-12,51
2021-09-19,54
2021-09-26,52
2021-10-03,50
2021-10-10,40
2021-10-17,47
2021-10-24,49
2021-10-31,37
2021-11-07,44
2021-11-14,51
2021-11-21,54
2021-11-28,51
2021-12-05,48
2021-12-12,51
2021-12-19,50
2021-12-26,49
2022-01-02,59
2022-01-09,49
2022-01-16,55
2022-01-23,64
2022-01-30,64
2022-02-06,66
2022-02-13,74
2022-02-20,79
2022-02-27,73
2022-03-06,89
2022-03-13,65
2022-03-20,75
2022-03-27,72
2022-04-03,75
2022-04-10,69
2022-04-17,77
2022-04-24,80
2022-05-01,100
2022-05-08,74
2022-05-15,68
2022-05-22,67
2022-05-29,66
2022-06-05,69
2022-06-12,71
2022-06-19,79
2022-06-26,73
2022-07-03,74
2022-07-10,67
2022-07-17,72
2022-07-24,68
2022-07-31,71
2022-08-07,66
2022-08-14,63
2022-08-21,74
2022-08-28,62
2022-09-04,65
2022-09-11,72
2022-09-18,79
2022-09-25,67
2022-10-02,58
2022-10-09,72
2022-10-16,63
2022-10-23,49
2022-10-30,64
2022-11-06,67
2022-11-13,71
2022-11-20,69
2022-11-27,70
2022-12-04,72
2022-12-11,75
2022-12-18,76
2022-12-25,72
2023-01-01,72
2023-01-08,68
2023-01-15,73
2023-01-22,73
2023-01-29,75
2023-02-05,73
2023-02-12,74
2023-02-19,82
2023-02-26,95
2023-03-05,64
2023-03-12,77
2023-03-19,65
2023-03-26,68
2023-04-02,71
2023-04-09,72
2023-04-16,66
2023-04-23,72
2023-04-30,69
2023-05-07,71
2023-05-14,66
2023-05-21,66
2023-05-28,62
2023-06-04,63
2023-06-11,71
2023-06-18,64
2023-06-25,65
2023-07-02,69
2023-07-09,68
2023-07-16,74
2023-07-23,67
2023-07-30,67
2023-08-06,73
2023-08-13,68
2023-08-20,69
2023-08-27,62
2023-09-03,67
2023-09-10,72
2023-09-17,67
2023-09-24,73
2023-10-01,73
2023-10-08,74
2023-10-15,65
2023-10-22,59
2023-10-29,68
2023-11-05,63
2023-11-12,54
2023-11-19,67
2023-11-26,72
2023-12-03,78
2023-12-10,81
2023-12-17,77
2023-12-24,70
2023-12-31,74
2024-01-07,76
