,Business Operations
2018-12-30,74
2019-01-06,70
2019-01-13,63
2019-01-20,66
2019-01-27,69
2019-02-03,64
2019-02-10,63
2019-02-17,65
2019-02-24,66
2019-03-03,66
2019-03-10,68
2019-03-17,62
2019-03-24,69
2019-03-31,70
2019-04-07,67
2019-04-14,63
2019-04-21,64
2019-04-28,65
2019-05-05,64
2019-05-12,65
2019-05-19,64
2019-05-26,72
2019-06-02,73
2019-06-09,70
2019-06-16,73
2019-06-23,78
2019-06-30,73
2019-07-07,70
2019-07-14,83
2019-07-21,85
2019-07-28,75
2019-08-04,76
2019-08-11,63
2019-08-18,74
2019-08-25,76
2019-09-01,64
2019-09-08,69
2019-09-15,75
2019-09-22,78
2019-09-29,74
2019-10-06,66
2019-10-13,72
2019-10-20,68
2019-10-27,58
2019-11-03,70
2019-11-10,67
2019-11-17,72
2019-11-24,71
2019-12-01,68
2019-12-08,65
2019-12-15,68
2019-12-22,72
2019-12-29,72
2020-01-05,72
2020-01-12,65
2020-01-19,73
2020-01-26,67
2020-02-02,64
2020-02-09,65
2020-02-16,66
2020-02-23,66
2020-03-01,65
2020-03-08,58
2020-03-15,53
2020-03-22,34
2020-03-29,36
2020-04-05,37
2020-04-12,35
2020-04-19,37
2020-04-26,38
2020-05-03,39
2020-05-10,40
2020-05-17,49
2020-05-24,46
2020-05-31,48
2020-06-07,51
2020-06-14,57
2020-06-21,59
2020-06-28,59
2020-07-05,60
2020-07-12,63
2020-07-19,62
2020-07-26,61
2020-08-02,62
2020-08-09,61
2020-08-16,58
2020-08-23,59
2020-08-30,63
2020-09-06,66
2020-09-13,65
2020-09-20,66
2020-09-27,61
2020-10-04,62
2020-10-11,69
2020-10-18,75
2020-10-25,62
2020-11-01,61
2020-11-08,55
2020-11-15,58
2020-11-22,66
2020-11-29,66
2020-12-06,63
2020-12-13,67
2020-12-20,74
2020-12-27,66
2021-01-03,68
2021-01-10,62
2021-01-17,69
2021-01-24,65
2021-01-31,74
2021-02-07,62
2021-02-14,64
2021-02-21,64
2021-02-28,66
2021-03-07,63
2021-03-14,66
2021-03-21,65
2021-03-28,62
2021-04-04,61
2021-04-11,55
2021-04-18,55
2021-04-25,54
2021-05-02,53
2021-05-09,52
2021-05-16,54
2021-05-23,56
2021-05-30,57
2021-06-06,62
2021-06-13,60
2021-06-20,62
2021-06-27,71
2021-07-04,70
2021-07-11,71
2021-07-18,70
2021-07-25,71
2021-08-01,66
2021-08-08,70
2021-08-15,63
2021-08-22,65
2021-08-29,64
2021-09-05,59
2021-09-12,63
2021-09-19,65
2021-09-26,65
2021-10-03,74
2021-10-10,58
2021-10-17,67
2021-10-24,67
2021-10-31,45
2021-11-07,62
2021-11-14,64
2021-11-21,64
2021-11-28,64
2021-12-05,63
2021-12-12,77
2021-12-19,67
2021-12-26,64
2022-01-02,74
2022-01-09,66
2022-01-16,62
2022-01-23,64
2022-01-30,70
2022-02-06,69
2022-02-13,75
2022-02-20,75
2022-02-27,77
2022-03-06,76
2022-03-13,67
2022-03-20,74
2022-03-27,74
2022-04-03,76
2022-04-10,72
2022-04-17,73
2022-04-24,75
2022-05-01,72
2022-05-08,76
2022-05-15,75
2022-05-22,75
2022-05-29,75
2022-06-05,77
2022-06-12,83
2022-06-19,89
2022-06-26,86
2022-07-03,83
2022-07-10,83
2022-07-17,87
2022-07-24,84
2022-07-31,82
2022-08-07,77
2022-08-14,76
2022-08-21,84
2022-08-28,76
2022-09-04,86
2022-09-11,89
2022-09-18,100
2022-09-25,94
2022-10-02,72
2022-10-09,85
2022-10-16,80
2022-10-23,61
2022-10-30,81
2022-11-06,77
2022-11-13,85
2022-11-20,78
2022-11-27,77
2022-12-04,82
2022-12-11,85
2022-12-18,82
2022-12-25,81
2023-01-01,88
2023-01-08,71
2023-01-15,80
2023-01-22,74
2023-01-29,82
2023-02-05,78
2023-02-12,78
2023-02-19,81
2023-02-26,77
2023-03-05,70
2023-03-12,75
2023-03-19,74
2023-03-26,77
2023-04-02,76
2023-04-09,73
2023-04-16,73
2023-04-23,75
2023-04-30,72
2023-05-07,71
2023-05-14,75
2023-05-21,79
2023-05-28,84
2023-06-04,80
2023-06-11,85
2023-06-18,84
2023-06-25,83
2023-07-02,86
2023-07-09,84
2023-07-16,84
2023-07-23,85
2023-07-30,87
2023-08-06,84
2023-08-13,80
2023-08-20,82
2023-08-27,81
2023-09-03,82
2023-09-10,83
2023-09-17,84
2023-09-24,86
2023-10-01,79
2023-10-08,83
2023-10-15,80
2023-10-22,65
2023-10-29,83
2023-11-05,73
2023-11-12,63
2023-11-19,86
2023-11-26,84
2023-12-03,84
2023-12-10,83
2023-12-17,83
2023-12-24,80
2023-12-31,76
2024-01-07,75
