,Import & Export
2018-12-30,63
2019-01-06,61
2019-01-13,61
2019-01-20,59
2019-01-27,61
2019-02-03,62
2019-02-10,68
2019-02-17,76
2019-02-24,66
2019-03-03,68
2019-03-10,65
2019-03-17,60
2019-03-24,63
2019-03-31,61
2019-04-07,59
2019-04-14,56
2019-04-21,60
2019-04-28,56
2019-05-05,64
2019-05-12,64
2019-05-19,59
2019-05-26,65
2019-06-02,60
2019-06-09,64
2019-06-16,65
2019-06-23,68
2019-06-30,64
2019-07-07,65
2019-07-14,70
2019-07-21,72
2019-07-28,77
2019-08-04,68
2019-08-11,57
2019-08-18,65
2019-08-25,66
2019-09-01,60
2019-09-08,64
2019-09-15,71
2019-09-22,65
2019-09-29,58
2019-10-06,56
2019-10-13,61
2019-10-20,54
2019-10-27,52
2019-11-03,62
2019-11-10,62
2019-11-17,67
2019-11-24,64
2019-12-01,66
2019-12-08,63
2019-12-15,61
2019-12-22,56
2019-12-29,58
2020-01-05,60
2020-01-12,56
2020-01-19,62
2020-01-26,62
2020-02-02,65
2020-02-09,63
2020-02-16,66
2020-02-23,64
2020-03-01,62
2020-03-08,59
2020-03-15,64
2020-03-22,42
2020-03-29,42
2020-04-05,48
2020-04-12,43
2020-04-19,46
2020-04-26,47
2020-05-03,51
2020-05-10,55
2020-05-17,56
2020-05-24,59
2020-05-31,57
2020-06-07,60
2020-06-14,78
2020-06-21,73
2020-06-28,68
2020-07-05,62
2020-07-12,65
2020-07-19,70
2020-07-26,70
2020-08-02,63
2020-08-09,67
2020-08-16,62
2020-08-23,64
2020-08-30,64
2020-09-06,68
2020-09-13,66
2020-09-20,68
2020-09-27,58
2020-10-04,63
2020-10-11,60
2020-10-18,57
2020-10-25,56
2020-11-01,53
2020-11-08,43
2020-11-15,50
2020-11-22,54
2020-11-29,56
2020-12-06,57
2020-12-13,59
2020-12-20,62
2020-12-27,61
2021-01-03,58
2021-01-10,54
2021-01-17,58
2021-01-24,55
2021-01-31,71
2021-02-07,62
2021-02-14,62
2021-02-21,64
2021-02-28,62
2021-03-07,61
2021-03-14,60
2021-03-21,57
2021-03-28,60
2021-04-04,57
2021-04-11,54
2021-04-18,56
2021-04-25,54
2021-05-02,52
2021-05-09,58
2021-05-16,58
2021-05-23,58
2021-05-30,59
2021-06-06,60
2021-06-13,62
2021-06-20,61
2021-06-27,70
2021-07-04,65
2021-07-11,66
2021-07-18,66
2021-07-25,79
2021-08-01,69
2021-08-08,64
2021-08-15,66
2021-08-22,59
2021-08-29,60
2021-09-05,58
2021-09-12,62
2021-09-19,61
2021-09-26,58
2021-10-03,55
2021-10-10,46
2021-10-17,55
2021-10-24,54
2021-10-31,42
2021-11-07,51
2021-11-14,58
2021-11-21,58
2021-11-28,59
2021-12-05,56
2021-12-12,59
2021-12-19,61
2021-12-26,58
2022-01-02,67
2022-01-09,63
2022-01-16,59
2022-01-23,63
2022-01-30,69
2022-02-06,64
2022-02-13,73
2022-02-20,83
2022-02-27,80
2022-03-06,77
2022-03-13,69
2022-03-20,97
2022-03-27,100
2022-04-03,92
2022-04-10,75
2022-04-17,76
2022-04-24,79
2022-05-01,74
2022-05-08,92
2022-05-15,84
2022-05-22,83
2022-05-29,74
2022-06-05,73
2022-06-12,79
2022-06-19,80
2022-06-26,81
2022-07-03,80
2022-07-10,77
2022-07-17,84
2022-07-24,79
2022-07-31,86
2022-08-07,68
2022-08-14,64
2022-08-21,72
2022-08-28,66
2022-09-04,68
2022-09-11,79
2022-09-18,72
2022-09-25,69
2022-10-02,62
2022-10-09,70
2022-10-16,63
2022-10-23,55
2022-10-30,67
2022-11-06,64
2022-11-13,77
2022-11-20,69
2022-11-27,69
2022-12-04,71
2022-12-11,77
2022-12-18,83
2022-12-25,76
2023-01-01,73
2023-01-08,67
2023-01-15,69
2023-01-22,62
2023-01-29,79
2023-02-05,74
2023-02-12,72
2023-02-19,76
2023-02-26,76
2023-03-05,68
2023-03-12,78
2023-03-19,68
2023-03-26,75
2023-04-02,71
2023-04-09,73
2023-04-16,74
2023-04-23,70
2023-04-30,67
2023-05-07,72
2023-05-14,74
2023-05-21,70
2023-05-28,70
2023-06-04,72
2023-06-11,74
2023-06-18,77
2023-06-25,78
2023-07-02,77
2023-07-09,79
2023-07-16,78
2023-07-23,82
2023-07-30,83
2023-08-06,76
2023-08-13,68
2023-08-20,72
2023-08-27,70
2023-09-03,69
2023-09-10,71
2023-09-17,71
2023-09-24,69
2023-10-01,69
2023-10-08,71
2023-10-15,67
2023-10-22,63
2023-10-29,68
2023-11-05,62
2023-11-12,59
2023-11-19,72
2023-11-26,70
2023-12-03,73
2023-12-10,72
2023-12-17,89
2023-12-24,72
2023-12-31,69
2024-01-07,72
