,Gifts & Special Event Items
2018-12-30,63
2019-01-06,61
2019-01-13,50
2019-01-20,60
2019-01-27,58
2019-02-03,57
2019-02-10,71
2019-02-17,66
2019-02-24,57
2019-03-03,63
2019-03-10,59
2019-03-17,64
2019-03-24,71
2019-03-31,64
2019-04-07,68
2019-04-14,65
2019-04-21,60
2019-04-28,52
2019-05-05,69
2019-05-12,67
2019-05-19,54
2019-05-26,51
2019-06-02,51
2019-06-09,56
2019-06-16,63
2019-06-23,61
2019-06-30,55
2019-07-07,64
2019-07-14,65
2019-07-21,52
2019-07-28,55
2019-08-04,48
2019-08-11,42
2019-08-18,63
2019-08-25,52
2019-09-01,60
2019-09-08,62
2019-09-15,55
2019-09-22,53
2019-09-29,100
2019-10-06,63
2019-10-13,59
2019-10-20,66
2019-10-27,50
2019-11-03,67
2019-11-10,59
2019-11-17,61
2019-11-24,53
2019-12-01,49
2019-12-08,57
2019-12-15,56
2019-12-22,65
2019-12-29,63
2020-01-05,50
2020-01-12,53
2020-01-19,54
2020-01-26,51
2020-02-02,54
2020-02-09,67
2020-02-16,57
2020-02-23,53
2020-03-01,55
2020-03-08,44
2020-03-15,43
2020-03-22,52
2020-03-29,47
2020-04-05,55
2020-04-12,47
2020-04-19,42
2020-04-26,42
2020-05-03,49
2020-05-10,59
2020-05-17,56
2020-05-24,43
2020-05-31,46
2020-06-07,45
2020-06-14,52
2020-06-21,59
2020-06-28,47
2020-07-05,45
2020-07-12,47
2020-07-19,49
2020-07-26,47
2020-08-02,55
2020-08-09,57
2020-08-16,45
2020-08-23,43
2020-08-30,45
2020-09-06,41
2020-09-13,42
2020-09-20,48
2020-09-27,56
2020-10-04,60
2020-10-11,55
2020-10-18,46
2020-10-25,60
2020-11-01,52
2020-11-08,49
2020-11-15,55
2020-11-22,54
2020-11-29,45
2020-12-06,50
2020-12-13,48
2020-12-20,55
2020-12-27,62
2021-01-03,50
2021-01-10,48
2021-01-17,49
2021-01-24,50
2021-01-31,48
2021-02-07,58
2021-02-14,51
2021-02-21,59
2021-02-28,55
2021-03-07,60
2021-03-14,54
2021-03-21,57
2021-03-28,64
2021-04-04,59
2021-04-11,56
2021-04-18,65
2021-04-25,57
2021-05-02,60
2021-05-09,74
2021-05-16,58
2021-05-23,63
2021-05-30,55
2021-06-06,63
2021-06-13,68
2021-06-20,67
2021-06-27,51
2021-07-04,55
2021-07-11,60
2021-07-18,55
2021-07-25,52
2021-08-01,61
2021-08-08,54
2021-08-15,59
2021-08-22,57
2021-08-29,58
2021-09-05,49
2021-09-12,57
2021-09-19,46
2021-09-26,62
2021-10-03,74
2021-10-10,51
2021-10-17,55
2021-10-24,53
2021-10-31,48
2021-11-07,54
2021-11-14,63
2021-11-21,50
2021-11-28,52
2021-12-05,59
2021-12-12,49
2021-12-19,69
2021-12-26,59
2022-01-02,47
2022-01-09,49
2022-01-16,49
2022-01-23,44
2022-01-30,51
2022-02-06,52
2022-02-13,58
2022-02-20,51
2022-02-27,59
2022-03-06,59
2022-03-13,50
2022-03-20,49
2022-03-27,47
2022-04-03,54
2022-04-10,53
2022-04-17,47
2022-04-24,52
2022-05-01,63
2022-05-08,67
2022-05-15,61
2022-05-22,50
2022-05-29,57
2022-06-05,55
2022-06-12,63
2022-06-19,68
2022-06-26,59
2022-07-03,42
2022-07-10,39
2022-07-17,51
2022-07-24,53
2022-07-31,46
2022-08-07,49
2022-08-14,55
2022-08-21,51
2022-08-28,59
2022-09-04,49
2022-09-11,53
2022-09-18,59
2022-09-25,58
2022-10-02,77
2022-10-09,53
2022-10-16,49
2022-10-23,51
2022-10-30,52
2022-11-06,52
2022-11-13,55
2022-11-20,50
2022-11-27,44
2022-12-04,51
2022-12-11,51
2022-12-18,56
2022-12-25,58
2023-01-01,49
2023-01-08,43
2023-01-15,54
2023-01-22,52
2023-01-29,57
2023-02-05,60
2023-02-12,58
2023-02-19,56
2023-02-26,60
2023-03-05,63
2023-03-12,49
2023-03-19,52
2023-03-26,58
2023-04-02,52
2023-04-09,59
2023-04-16,58
2023-04-23,49
2023-04-30,60
2023-05-07,77
2023-05-14,70
2023-05-21,48
2023-05-28,52
2023-06-04,56
2023-06-11,64
2023-06-18,65
2023-06-25,37
2023-07-02,52
2023-07-09,44
2023-07-16,44
2023-07-23,48
2023-07-30,42
2023-08-06,50
2023-08-13,48
2023-08-20,51
2023-08-27,53
2023-09-03,46
2023-09-10,58
2023-09-17,60
2023-09-24,57
2023-10-01,82
2023-10-08,52
2023-10-15,49
2023-10-22,56
2023-10-29,64
2023-11-05,58
2023-11-12,56
2023-11-19,68
2023-11-26,62
2023-12-03,65
2023-12-10,61
2023-12-17,59
2023-12-24,69
2023-12-31,59
2024-01-07,48
