,Veterinarians
2018-12-30,53
2019-01-06,53
2019-01-13,56
2019-01-20,54
2019-01-27,57
2019-02-03,53
2019-02-10,57
2019-02-17,60
2019-02-24,60
2019-03-03,57
2019-03-10,60
2019-03-17,62
2019-03-24,60
2019-03-31,54
2019-04-07,53
2019-04-14,57
2019-04-21,57
2019-04-28,56
2019-05-05,63
2019-05-12,62
2019-05-19,60
2019-05-26,66
2019-06-02,71
2019-06-09,68
2019-06-16,67
2019-06-23,72
2019-06-30,60
2019-07-07,66
2019-07-14,72
2019-07-21,76
2019-07-28,73
2019-08-04,64
2019-08-11,60
2019-08-18,75
2019-08-25,70
2019-09-01,66
2019-09-08,76
2019-09-15,72
2019-09-22,72
2019-09-29,64
2019-10-06,63
2019-10-13,61
2019-10-20,55
2019-10-27,55
2019-11-03,66
2019-11-10,62
2019-11-17,63
2019-11-24,85
2019-12-01,95
2019-12-08,61
2019-12-15,62
2019-12-22,60
2019-12-29,57
2020-01-05,60
2020-01-12,59
2020-01-19,63
2020-01-26,69
2020-02-02,70
2020-02-09,67
2020-02-16,67
2020-02-23,64
2020-03-01,67
2020-03-08,81
2020-03-15,80
2020-03-22,78
2020-03-29,63
2020-04-05,62
2020-04-12,61
2020-04-19,66
2020-04-26,60
2020-05-03,57
2020-05-10,62
2020-05-17,64
2020-05-24,62
2020-05-31,65
2020-06-07,65
2020-06-14,67
2020-06-21,71
2020-06-28,69
2020-07-05,71
2020-07-12,77
2020-07-19,76
2020-07-26,74
2020-08-02,74
2020-08-09,79
2020-08-16,75
2020-08-23,77
2020-08-30,75
2020-09-06,85
2020-09-13,83
2020-09-20,77
2020-09-27,77
2020-10-04,76
2020-10-11,78
2020-10-18,78
2020-10-25,73
2020-11-01,68
2020-11-08,57
2020-11-15,68
2020-11-22,68
2020-11-29,72
2020-12-06,71
2020-12-13,74
2020-12-20,73
2020-12-27,70
2021-01-03,76
2021-01-10,73
2021-01-17,75
2021-01-24,72
2021-01-31,73
2021-02-07,74
2021-02-14,71
2021-02-21,79
2021-02-28,77
2021-03-07,76
2021-03-14,78
2021-03-21,72
2021-03-28,74
2021-04-04,80
2021-04-11,75
2021-04-18,87
2021-04-25,86
2021-05-02,82
2021-05-09,88
2021-05-16,87
2021-05-23,82
2021-05-30,87
2021-06-06,85
2021-06-13,85
2021-06-20,88
2021-06-27,92
2021-07-04,90
2021-07-11,87
2021-07-18,88
2021-07-25,88
2021-08-01,87
2021-08-08,87
2021-08-15,85
2021-08-22,84
2021-08-29,81
2021-09-05,79
2021-09-12,85
2021-09-19,83
2021-09-26,78
2021-10-03,77
2021-10-10,65
2021-10-17,71
2021-10-24,70
2021-10-31,62
2021-11-07,70
2021-11-14,68
2021-11-21,74
2021-11-28,70
2021-12-05,65
2021-12-12,62
2021-12-19,70
2021-12-26,68
2022-01-02,83
2022-01-09,75
2022-01-16,79
2022-01-23,83
2022-01-30,81
2022-02-06,81
2022-02-13,85
2022-02-20,85
2022-02-27,88
2022-03-06,96
2022-03-13,82
2022-03-20,92
2022-03-27,84
2022-04-03,82
2022-04-10,82
2022-04-17,84
2022-04-24,92
2022-05-01,85
2022-05-08,82
2022-05-15,80
2022-05-22,82
2022-05-29,82
2022-06-05,86
2022-06-12,87
2022-06-19,94
2022-06-26,87
2022-07-03,93
2022-07-10,93
2022-07-17,94
2022-07-24,96
2022-07-31,95
2022-08-07,86
2022-08-14,92
2022-08-21,92
2022-08-28,87
2022-09-04,89
2022-09-11,100
2022-09-18,97
2022-09-25,87
2022-10-02,85
2022-10-09,92
2022-10-16,89
2022-10-23,75
2022-10-30,86
2022-11-06,81
2022-11-13,86
2022-11-20,85
2022-11-27,78
2022-12-04,83
2022-12-11,87
2022-12-18,87
2022-12-25,96
2023-01-01,87
2023-01-08,83
2023-01-15,81
2023-01-22,82
2023-01-29,85
2023-02-05,86
2023-02-12,85
2023-02-19,89
2023-02-26,92
2023-03-05,83
2023-03-12,86
2023-03-19,88
2023-03-26,86
2023-04-02,86
2023-04-09,85
2023-04-16,82
2023-04-23,92
2023-04-30,85
2023-05-07,85
2023-05-14,91
2023-05-21,89
2023-05-28,89
2023-06-04,91
2023-06-11,100
2023-06-18,100
2023-06-25,96
2023-07-02,93
2023-07-09,95
2023-07-16,96
2023-07-23,96
2023-07-30,93
2023-08-06,97
2023-08-13,95
2023-08-20,89
2023-08-27,89
2023-09-03,90
2023-09-10,92
2023-09-17,94
2023-09-24,93
2023-10-01,88
2023-10-08,86
2023-10-15,83
2023-10-22,75
2023-10-29,80
2023-11-05,76
2023-11-12,72
2023-11-19,84
2023-11-26,86
2023-12-03,86
2023-12-10,85
2023-12-17,84
2023-12-24,86
2023-12-31,80
2024-01-07,82
