,Car Rental & Taxi Services
2018-12-30,56
2019-01-06,53
2019-01-13,50
2019-01-20,53
2019-01-27,50
2019-02-03,49
2019-02-10,48
2019-02-17,49
2019-02-24,47
2019-03-03,46
2019-03-10,50
2019-03-17,48
2019-03-24,51
2019-03-31,50
2019-04-07,43
2019-04-14,49
2019-04-21,45
2019-04-28,48
2019-05-05,51
2019-05-12,54
2019-05-19,51
2019-05-26,55
2019-06-02,55
2019-06-09,56
2019-06-16,51
2019-06-23,55
2019-06-30,48
2019-07-07,50
2019-07-14,51
2019-07-21,52
2019-07-28,51
2019-08-04,53
2019-08-11,52
2019-08-18,52
2019-08-25,49
2019-09-01,48
2019-09-08,49
2019-09-15,49
2019-09-22,49
2019-09-29,51
2019-10-06,49
2019-10-13,46
2019-10-20,47
2019-10-27,43
2019-11-03,49
2019-11-10,50
2019-11-17,56
2019-11-24,47
2019-12-01,48
2019-12-08,87
2019-12-15,100
2019-12-22,58
2019-12-29,51
2020-01-05,46
2020-01-12,44
2020-01-19,44
2020-01-26,43
2020-02-02,42
2020-02-09,44
2020-02-16,41
2020-02-23,40
2020-03-01,40
2020-03-08,34
2020-03-15,33
2020-03-22,24
2020-03-29,16
2020-04-05,15
2020-04-12,15
2020-04-19,15
2020-04-26,16
2020-05-03,21
2020-05-10,21
2020-05-17,27
2020-05-24,25
2020-05-31,25
2020-06-07,24
2020-06-14,22
2020-06-21,24
2020-06-28,24
2020-07-05,25
2020-07-12,24
2020-07-19,24
2020-07-26,25
2020-08-02,25
2020-08-09,27
2020-08-16,27
2020-08-23,27
2020-08-30,29
2020-09-06,29
2020-09-13,32
2020-09-20,29
2020-09-27,32
2020-10-04,32
2020-10-11,31
2020-10-18,31
2020-10-25,32
2020-11-01,30
2020-11-08,30
2020-11-15,35
2020-11-22,34
2020-11-29,33
2020-12-06,35
2020-12-13,38
2020-12-20,42
2020-12-27,39
2021-01-03,36
2021-01-10,35
2021-01-17,39
2021-01-24,45
2021-01-31,48
2021-02-07,37
2021-02-14,37
2021-02-21,38
2021-02-28,36
2021-03-07,34
2021-03-14,36
2021-03-21,33
2021-03-28,36
2021-04-04,33
2021-04-11,30
2021-04-18,25
2021-04-25,25
2021-05-02,22
2021-05-09,21
2021-05-16,22
2021-05-23,22
2021-05-30,25
2021-06-06,25
2021-06-13,27
2021-06-20,29
2021-06-27,30
2021-07-04,32
2021-07-11,34
2021-07-18,33
2021-07-25,33
2021-08-01,35
2021-08-08,36
2021-08-15,37
2021-08-22,37
2021-08-29,34
2021-09-05,33
2021-09-12,36
2021-09-19,38
2021-09-26,37
2021-10-03,37
2021-10-10,36
2021-10-17,35
2021-10-24,35
2021-10-31,33
2021-11-07,37
2021-11-14,43
2021-11-21,47
2021-11-28,48
2021-12-05,42
2021-12-12,40
2021-12-19,46
2021-12-26,45
2022-01-02,36
2022-01-09,32
2022-01-16,31
2022-01-23,33
2022-01-30,36
2022-02-06,34
2022-02-13,39
2022-02-20,39
2022-02-27,42
2022-03-06,41
2022-03-13,41
2022-03-20,43
2022-03-27,43
2022-04-03,42
2022-04-10,48
2022-04-17,46
2022-04-24,46
2022-05-01,50
2022-05-08,49
2022-05-15,47
2022-05-22,50
2022-05-29,50
2022-06-05,49
2022-06-12,47
2022-06-19,49
2022-06-26,47
2022-07-03,50
2022-07-10,47
2022-07-17,47
2022-07-24,47
2022-07-31,49
2022-08-07,50
2022-08-14,50
2022-08-21,49
2022-08-28,48
2022-09-04,47
2022-09-11,48
2022-09-18,47
2022-09-25,47
2022-10-02,46
2022-10-09,48
2022-10-16,47
2022-10-23,42
2022-10-30,46
2022-11-06,49
2022-11-13,47
2022-11-20,58
2022-11-27,60
2022-12-04,53
2022-12-11,49
2022-12-18,51
2022-12-25,56
2023-01-01,49
2023-01-08,47
2023-01-15,48
2023-01-22,48
2023-01-29,47
2023-02-05,48
2023-02-12,47
2023-02-19,48
2023-02-26,47
2023-03-05,46
2023-03-12,45
2023-03-19,47
2023-03-26,47
2023-04-02,48
2023-04-09,50
2023-04-16,49
2023-04-23,50
2023-04-30,54
2023-05-07,51
2023-05-14,53
2023-05-21,52
2023-05-28,53
2023-06-04,52
2023-06-11,55
2023-06-18,54
2023-06-25,53
2023-07-02,53
2023-07-09,52
2023-07-16,51
2023-07-23,51
2023-07-30,53
2023-08-06,51
2023-08-13,49
2023-08-20,47
2023-08-27,51
2023-09-03,48
2023-09-10,49
2023-09-17,44
2023-09-24,50
2023-10-01,47
2023-10-08,46
2023-10-15,47
2023-10-22,43
2023-10-29,43
2023-11-05,44
2023-11-12,43
2023-11-19,47
2023-11-26,57
2023-12-03,59
2023-12-10,49
2023-12-17,52
2023-12-24,64
2023-12-31,53
2024-01-07,46
