,Acting & Theater
2018-12-30,72
2019-01-06,74
2019-01-13,69
2019-01-20,75
2019-01-27,77
2019-02-03,69
2019-02-10,73
2019-02-17,76
2019-02-24,74
2019-03-03,70
2019-03-10,100
2019-03-17,81
2019-03-24,83
2019-03-31,73
2019-04-07,94
2019-04-14,92
2019-04-21,97
2019-04-28,80
2019-05-05,67
2019-05-12,65
2019-05-19,70
2019-05-26,65
2019-06-02,57
2019-06-09,60
2019-06-16,59
2019-06-23,59
2019-06-30,59
2019-07-07,60
2019-07-14,66
2019-07-21,65
2019-07-28,68
2019-08-04,64
2019-08-11,60
2019-08-18,69
2019-08-25,69
2019-09-01,63
2019-09-08,72
2019-09-15,70
2019-09-22,85
2019-09-29,68
2019-10-06,66
2019-10-13,70
2019-10-20,70
2019-10-27,60
2019-11-03,65
2019-11-10,69
2019-11-17,67
2019-11-24,65
2019-12-01,64
2019-12-08,61
2019-12-15,59
2019-12-22,52
2019-12-29,57
2020-01-05,60
2020-01-12,57
2020-01-19,57
2020-01-26,49
2020-02-02,53
2020-02-09,45
2020-02-16,56
2020-02-23,57
2020-03-01,48
2020-03-08,44
2020-03-15,46
2020-03-22,57
2020-03-29,53
2020-04-05,48
2020-04-12,47
2020-04-19,48
2020-04-26,45
2020-05-03,46
2020-05-10,46
2020-05-17,45
2020-05-24,42
2020-05-31,45
2020-06-07,44
2020-06-14,44
2020-06-21,44
2020-06-28,47
2020-07-05,45
2020-07-12,48
2020-07-19,49
2020-07-26,50
2020-08-02,46
2020-08-09,49
2020-08-16,55
2020-08-23,52
2020-08-30,50
2020-09-06,53
2020-09-13,53
2020-09-20,55
2020-09-27,52
2020-10-04,51
2020-10-11,53
2020-10-18,47
2020-10-25,49
2020-11-01,50
2020-11-08,48
2020-11-15,49
2020-11-22,48
2020-11-29,51
2020-12-06,52
2020-12-13,54
2020-12-20,55
2020-12-27,52
2021-01-03,50
2021-01-10,44
2021-01-17,52
2021-01-24,52
2021-01-31,48
2021-02-07,49
2021-02-14,50
2021-02-21,50
2021-02-28,50
2021-03-07,50
2021-03-14,53
2021-03-21,54
2021-03-28,53
2021-04-04,83
2021-04-11,52
2021-04-18,51
2021-04-25,46
2021-05-02,51
2021-05-09,46
2021-05-16,50
2021-05-23,51
2021-05-30,49
2021-06-06,56
2021-06-13,53
2021-06-20,52
2021-06-27,56
2021-07-04,55
2021-07-11,55
2021-07-18,58
2021-07-25,55
2021-08-01,52
2021-08-08,49
2021-08-15,54
2021-08-22,49
2021-08-29,47
2021-09-05,50
2021-09-12,47
2021-09-19,49
2021-09-26,54
2021-10-03,54
2021-10-10,43
2021-10-17,47
2021-10-24,46
2021-10-31,44
2021-11-07,49
2021-11-14,55
2021-11-21,54
2021-11-28,55
2021-12-05,51
2021-12-12,58
2021-12-19,58
2021-12-26,59
2022-01-02,58
2022-01-09,55
2022-01-16,53
2022-01-23,64
2022-01-30,60
2022-02-06,66
2022-02-13,80
2022-02-20,78
2022-02-27,77
2022-03-06,73
2022-03-13,67
2022-03-20,71
2022-03-27,73
2022-04-03,73
2022-04-10,71
2022-04-17,73
2022-04-24,77
2022-05-01,67
2022-05-08,68
2022-05-15,64
2022-05-22,64
2022-05-29,66
2022-06-05,65
2022-06-12,68
2022-06-19,82
2022-06-26,70
2022-07-03,70
2022-07-10,65
2022-07-17,68
2022-07-24,70
2022-07-31,63
2022-08-07,58
2022-08-14,66
2022-08-21,67
2022-08-28,68
2022-09-04,65
2022-09-11,71
2022-09-18,72
2022-09-25,64
2022-10-02,58
2022-10-09,67
2022-10-16,65
2022-10-23,60
2022-10-30,71
2022-11-06,72
2022-11-13,81
2022-11-20,65
2022-11-27,67
2022-12-04,68
2022-12-11,69
2022-12-18,64
2022-12-25,69
2023-01-01,67
2023-01-08,67
2023-01-15,68
2023-01-22,73
2023-01-29,77
2023-02-05,70
2023-02-12,70
2023-02-19,76
2023-02-26,74
2023-03-05,62
2023-03-12,73
2023-03-19,66
2023-03-26,67
2023-04-02,64
2023-04-09,60
2023-04-16,60
2023-04-23,69
2023-04-30,65
2023-05-07,72
2023-05-14,64
2023-05-21,63
2023-05-28,60
2023-06-04,57
2023-06-11,61
2023-06-18,65
2023-06-25,64
2023-07-02,69
2023-07-09,59
2023-07-16,60
2023-07-23,62
2023-07-30,56
2023-08-06,65
2023-08-13,58
2023-08-20,61
2023-08-27,57
2023-09-03,60
2023-09-10,61
2023-09-17,60
2023-09-24,60
2023-10-01,58
2023-10-08,65
2023-10-15,57
2023-10-22,49
2023-10-29,63
2023-11-05,63
2023-11-12,65
2023-11-19,65
2023-11-26,82
2023-12-03,79
2023-12-10,73
2023-12-17,68
2023-12-24,64
2023-12-31,60
2024-01-07,64
