,Home Appliances
2018-12-30,64
2019-01-06,45
2019-01-13,53
2019-01-20,46
2019-01-27,63
2019-02-03,60
2019-02-10,55
2019-02-17,63
2019-02-24,63
2019-03-03,47
2019-03-10,56
2019-03-17,73
2019-03-24,73
2019-03-31,59
2019-04-07,52
2019-04-14,47
2019-04-21,55
2019-04-28,53
2019-05-05,59
2019-05-12,45
2019-05-19,62
2019-05-26,46
2019-06-02,59
2019-06-09,37
2019-06-16,65
2019-06-23,69
2019-06-30,60
2019-07-07,47
2019-07-14,72
2019-07-21,54
2019-07-28,44
2019-08-04,52
2019-08-11,35
2019-08-18,55
2019-08-25,55
2019-09-01,45
2019-09-08,60
2019-09-15,45
2019-09-22,33
2019-09-29,45
2019-10-06,50
2019-10-13,54
2019-10-20,56
2019-10-27,46
2019-11-03,51
2019-11-10,43
2019-11-17,46
2019-11-24,41
2019-12-01,45
2019-12-08,49
2019-12-15,51
2019-12-22,51
2019-12-29,47
2020-01-05,55
2020-01-12,51
2020-01-19,63
2020-01-26,59
2020-02-02,56
2020-02-09,60
2020-02-16,54
2020-02-23,48
2020-03-01,57
2020-03-08,49
2020-03-15,56
2020-03-22,67
2020-03-29,54
2020-04-05,57
2020-04-12,43
2020-04-19,47
2020-04-26,38
2020-05-03,32
2020-05-10,42
2020-05-17,37
2020-05-24,40
2020-05-31,51
2020-06-07,47
2020-06-14,41
2020-06-21,37
2020-06-28,36
2020-07-05,53
2020-07-12,34
2020-07-19,49
2020-07-26,36
2020-08-02,52
2020-08-09,34
2020-08-16,45
2020-08-23,32
2020-08-30,35
2020-09-06,49
2020-09-13,47
2020-09-20,39
2020-09-27,48
2020-10-04,55
2020-10-11,48
2020-10-18,48
2020-10-25,47
2020-11-01,51
2020-11-08,59
2020-11-15,52
2020-11-22,60
2020-11-29,48
2020-12-06,68
2020-12-13,50
2020-12-20,48
2020-12-27,67
2021-01-03,56
2021-01-10,55
2021-01-17,37
2021-01-24,56
2021-01-31,56
2021-02-07,77
2021-02-14,66
2021-02-21,53
2021-02-28,61
2021-03-07,67
2021-03-14,71
2021-03-21,80
2021-03-28,100
2021-04-04,71
2021-04-11,75
2021-04-18,75
2021-04-25,61
2021-05-02,52
2021-05-09,51
2021-05-16,54
2021-05-23,49
2021-05-30,78
2021-06-06,47
2021-06-13,54
2021-06-20,65
2021-06-27,62
2021-07-04,67
2021-07-11,59
2021-07-18,65
2021-07-25,71
2021-08-01,66
2021-08-08,56
2021-08-15,66
2021-08-22,56
2021-08-29,66
2021-09-05,59
2021-09-12,67
2021-09-19,48
2021-09-26,74
2021-10-03,64
2021-10-10,44
2021-10-17,68
2021-10-24,77
2021-10-31,84
2021-11-07,65
2021-11-14,61
2021-11-21,71
2021-11-28,67
2021-12-05,69
2021-12-12,48
2021-12-19,79
2021-12-26,66
2022-01-02,62
2022-01-09,78
2022-01-16,59
2022-01-23,58
2022-01-30,85
2022-02-06,64
2022-02-13,65
2022-02-20,75
2022-02-27,66
2022-03-06,73
2022-03-13,78
2022-03-20,81
2022-03-27,88
2022-04-03,76
2022-04-10,80
2022-04-17,69
2022-04-24,58
2022-05-01,59
2022-05-08,46
2022-05-15,55
2022-05-22,70
2022-05-29,58
2022-06-05,56
2022-06-12,64
2022-06-19,54
2022-06-26,53
2022-07-03,56
2022-07-10,46
2022-07-17,67
2022-07-24,47
2022-07-31,54
2022-08-07,59
2022-08-14,77
2022-08-21,63
2022-08-28,64
2022-09-04,79
2022-09-11,60
2022-09-18,66
2022-09-25,57
2022-10-02,54
2022-10-09,48
2022-10-16,69
2022-10-23,64
2022-10-30,60
2022-11-06,53
2022-11-13,75
2022-11-20,70
2022-11-27,64
2022-12-04,68
2022-12-11,55
2022-12-18,64
2022-12-25,73
2023-01-01,55
2023-01-08,60
2023-01-15,73
2023-01-22,68
2023-01-29,58
2023-02-05,50
2023-02-12,75
2023-02-19,74
2023-02-26,63
2023-03-05,90
2023-03-12,91
2023-03-19,78
2023-03-26,68
2023-04-02,55
2023-04-09,63
2023-04-16,60
2023-04-23,55
2023-04-30,65
2023-05-07,65
2023-05-14,53
2023-05-21,60
2023-05-28,70
2023-06-04,83
2023-06-11,61
2023-06-18,49
2023-06-25,50
2023-07-02,46
2023-07-09,65
2023-07-16,55
2023-07-23,67
2023-07-30,63
2023-08-06,74
2023-08-13,61
2023-08-20,75
2023-08-27,64
2023-09-03,75
2023-09-10,67
2023-09-17,63
2023-09-24,50
2023-10-01,82
2023-10-08,90
2023-10-15,71
2023-10-22,82
2023-10-29,85
2023-11-05,68
2023-11-12,65
2023-11-19,72
2023-11-26,82
2023-12-03,73
2023-12-10,66
2023-12-17,69
2023-12-24,76
2023-12-31,78
2024-01-07,83
