,Business & Industrial
2018-12-30,67
2019-01-06,69
2019-01-13,68
2019-01-20,69
2019-01-27,78
2019-02-03,76
2019-02-10,77
2019-02-17,83
2019-02-24,84
2019-03-03,79
2019-03-10,71
2019-03-17,82
2019-03-24,80
2019-03-31,72
2019-04-07,69
2019-04-14,73
2019-04-21,73
2019-04-28,67
2019-05-05,58
2019-05-12,63
2019-05-19,61
2019-05-26,64
2019-06-02,58
2019-06-09,73
2019-06-16,77
2019-06-23,76
2019-06-30,76
2019-07-07,75
2019-07-14,77
2019-07-21,75
2019-07-28,71
2019-08-04,69
2019-08-11,57
2019-08-18,73
2019-08-25,70
2019-09-01,70
2019-09-08,76
2019-09-15,72
2019-09-22,72
2019-09-29,72
2019-10-06,72
2019-10-13,75
2019-10-20,76
2019-10-27,71
2019-11-03,70
2019-11-10,68
2019-11-17,74
2019-11-24,69
2019-12-01,71
2019-12-08,68
2019-12-15,70
2019-12-22,74
2019-12-29,65
2020-01-05,73
2020-01-12,74
2020-01-19,79
2020-01-26,87
2020-02-02,86
2020-02-09,83
2020-02-16,81
2020-02-23,78
2020-03-01,82
2020-03-08,78
2020-03-15,83
2020-03-22,67
2020-03-29,64
2020-04-05,65
2020-04-12,62
2020-04-19,51
2020-04-26,46
2020-05-03,48
2020-05-10,48
2020-05-17,49
2020-05-24,51
2020-05-31,59
2020-06-07,59
2020-06-14,56
2020-06-21,60
2020-06-28,62
2020-07-05,65
2020-07-12,67
2020-07-19,68
2020-07-26,59
2020-08-02,73
2020-08-09,74
2020-08-16,62
2020-08-23,57
2020-08-30,54
2020-09-06,57
2020-09-13,61
2020-09-20,60
2020-09-27,65
2020-10-04,68
2020-10-11,68
2020-10-18,63
2020-10-25,75
2020-11-01,69
2020-11-08,65
2020-11-15,65
2020-11-22,71
2020-11-29,67
2020-12-06,69
2020-12-13,69
2020-12-20,73
2020-12-27,73
2021-01-03,72
2021-01-10,75
2021-01-17,80
2021-01-24,81
2021-01-31,85
2021-02-07,90
2021-02-14,81
2021-02-21,87
2021-02-28,91
2021-03-07,86
2021-03-14,88
2021-03-21,88
2021-03-28,93
2021-04-04,85
2021-04-11,70
2021-04-18,81
2021-04-25,83
2021-05-02,78
2021-05-09,74
2021-05-16,78
2021-05-23,77
2021-05-30,83
2021-06-06,96
2021-06-13,81
2021-06-20,79
2021-06-27,77
2021-07-04,77
2021-07-11,77
2021-07-18,65
2021-07-25,73
2021-08-01,79
2021-08-08,83
2021-08-15,90
2021-08-22,85
2021-08-29,83
2021-09-05,84
2021-09-12,83
2021-09-19,82
2021-09-26,88
2021-10-03,80
2021-10-10,84
2021-10-17,82
2021-10-24,90
2021-10-31,91
2021-11-07,85
2021-11-14,85
2021-11-21,99
2021-11-28,93
2021-12-05,86
2021-12-12,86
2021-12-19,88
2021-12-26,84
2022-01-02,88
2022-01-09,86
2022-01-16,83
2022-01-23,87
2022-01-30,97
2022-02-06,92
2022-02-13,86
2022-02-20,83
2022-02-27,88
2022-03-06,87
2022-03-13,87
2022-03-20,83
2022-03-27,83
2022-04-03,76
2022-04-10,78
2022-04-17,81
2022-04-24,75
2022-05-01,69
2022-05-08,84
2022-05-15,86
2022-05-22,90
2022-05-29,90
2022-06-05,92
2022-06-12,85
2022-06-19,85
2022-06-26,77
2022-07-03,72
2022-07-10,64
2022-07-17,77
2022-07-24,72
2022-07-31,80
2022-08-07,88
2022-08-14,84
2022-08-21,87
2022-08-28,88
2022-09-04,81
2022-09-11,83
2022-09-18,83
2022-09-25,76
2022-10-02,71
2022-10-09,79
2022-10-16,81
2022-10-23,84
2022-10-30,78
2022-11-06,84
2022-11-13,82
2022-11-20,78
2022-11-27,78
2022-12-04,85
2022-12-11,78
2022-12-18,89
2022-12-25,79
2023-01-01,78
2023-01-08,79
2023-01-15,77
2023-01-22,88
2023-01-29,80
2023-02-05,85
2023-02-12,89
2023-02-19,85
2023-02-26,99
2023-03-05,85
2023-03-12,85
2023-03-19,84
2023-03-26,81
2023-04-02,76
2023-04-09,85
2023-04-16,71
2023-04-23,76
2023-04-30,83
2023-05-07,82
2023-05-14,88
2023-05-21,81
2023-05-28,86
2023-06-04,79
2023-06-11,82
2023-06-18,89
2023-06-25,61
2023-07-02,76
2023-07-09,78
2023-07-16,80
2023-07-23,70
2023-07-30,81
2023-08-06,87
2023-08-13,97
2023-08-20,99
2023-08-27,96
2023-09-03,88
2023-09-10,84
2023-09-17,91
2023-09-24,82
2023-10-01,80
2023-10-08,86
2023-10-15,88
2023-10-22,88
2023-10-29,91
2023-11-05,90
2023-11-12,92
2023-11-19,94
2023-11-26,95
2023-12-03,99
2023-12-10,95
2023-12-17,100
2023-12-24,94
2023-12-31,90
2024-01-07,93
