,Computers & Electronics
2018-12-30,53
2019-01-06,52
2019-01-13,49
2019-01-20,49
2019-01-27,51
2019-02-03,50
2019-02-10,54
2019-02-17,51
2019-02-24,50
2019-03-03,50
2019-03-10,53
2019-03-17,48
2019-03-24,50
2019-03-31,51
2019-04-07,46
2019-04-14,39
2019-04-21,60
2019-04-28,48
2019-05-05,51
2019-05-12,52
2019-05-19,50
2019-05-26,51
2019-06-02,49
2019-06-09,53
2019-06-16,53
2019-06-23,55
2019-06-30,53
2019-07-07,54
2019-07-14,53
2019-07-21,53
2019-07-28,54
2019-08-04,54
2019-08-11,52
2019-08-18,54
2019-08-25,53
2019-09-01,53
2019-09-08,52
2019-09-15,50
2019-09-22,49
2019-09-29,51
2019-10-06,50
2019-10-13,53
2019-10-20,52
2019-10-27,51
2019-11-03,47
2019-11-10,47
2019-11-17,48
2019-11-24,51
2019-12-01,52
2019-12-08,49
2019-12-15,52
2019-12-22,51
2019-12-29,51
2020-01-05,49
2020-01-12,49
2020-01-19,51
2020-01-26,49
2020-02-02,47
2020-02-09,49
2020-02-16,50
2020-02-23,48
2020-03-01,50
2020-03-08,45
2020-03-15,43
2020-03-22,41
2020-03-29,42
2020-04-05,46
2020-04-12,40
2020-04-19,47
2020-04-26,47
2020-05-03,47
2020-05-10,49
2020-05-17,54
2020-05-24,53
2020-05-31,54
2020-06-07,54
2020-06-14,56
2020-06-21,57
2020-06-28,54
2020-07-05,53
2020-07-12,58
2020-07-19,56
2020-07-26,54
2020-08-02,52
2020-08-09,55
2020-08-16,52
2020-08-23,51
2020-08-30,48
2020-09-06,51
2020-09-13,51
2020-09-20,52
2020-09-27,48
2020-10-04,53
2020-10-11,53
2020-10-18,54
2020-10-25,51
2020-11-01,51
2020-11-08,57
2020-11-15,56
2020-11-22,57
2020-11-29,57
2020-12-06,60
2020-12-13,57
2020-12-20,56
2020-12-27,52
2021-01-03,57
2021-01-10,53
2021-01-17,55
2021-01-24,53
2021-01-31,51
2021-02-07,52
2021-02-14,52
2021-02-21,50
2021-02-28,51
2021-03-07,52
2021-03-14,52
2021-03-21,50
2021-03-28,55
2021-04-04,49
2021-04-11,38
2021-04-18,49
2021-04-25,50
2021-05-02,59
2021-05-09,60
2021-05-16,64
2021-05-23,53
2021-05-30,63
2021-06-06,66
2021-06-13,67
2021-06-20,67
2021-06-27,66
2021-07-04,66
2021-07-11,64
2021-07-18,64
2021-07-25,64
2021-08-01,59
2021-08-08,57
2021-08-15,59
2021-08-22,57
2021-08-29,60
2021-09-05,62
2021-09-12,65
2021-09-19,58
2021-09-26,62
2021-10-03,66
2021-10-10,66
2021-10-17,59
2021-10-24,59
2021-10-31,58
2021-11-07,59
2021-11-14,56
2021-11-21,57
2021-11-28,56
2021-12-05,57
2021-12-12,58
2021-12-19,60
2021-12-26,60
2022-01-02,78
2022-01-09,73
2022-01-16,65
2022-01-23,74
2022-01-30,74
2022-02-06,78
2022-02-13,84
2022-02-20,78
2022-02-27,80
2022-03-06,80
2022-03-13,79
2022-03-20,78
2022-03-27,75
2022-04-03,80
2022-04-10,61
2022-04-17,75
2022-04-24,75
2022-05-01,76
2022-05-08,71
2022-05-15,73
2022-05-22,81
2022-05-29,77
2022-06-05,73
2022-06-12,75
2022-06-19,76
2022-06-26,79
2022-07-03,81
2022-07-10,73
2022-07-17,88
2022-07-24,80
2022-07-31,83
2022-08-07,81
2022-08-14,83
2022-08-21,79
2022-08-28,79
2022-09-04,76
2022-09-11,80
2022-09-18,77
2022-09-25,77
2022-10-02,74
2022-10-09,77
2022-10-16,77
2022-10-23,79
2022-10-30,79
2022-11-06,80
2022-11-13,80
2022-11-20,76
2022-11-27,73
2022-12-04,79
2022-12-11,81
2022-12-18,84
2022-12-25,81
2023-01-01,73
2023-01-08,77
2023-01-15,77
2023-01-22,80
2023-01-29,82
2023-02-05,83
2023-02-12,83
2023-02-19,79
2023-02-26,84
2023-03-05,80
2023-03-12,81
2023-03-19,82
2023-03-26,78
2023-04-02,77
2023-04-09,68
2023-04-16,73
2023-04-23,76
2023-04-30,70
2023-05-07,80
2023-05-14,80
2023-05-21,82
2023-05-28,81
2023-06-04,81
2023-06-11,85
2023-06-18,86
2023-06-25,90
2023-07-02,90
2023-07-09,89
2023-07-16,93
2023-07-23,87
2023-07-30,96
2023-08-06,100
2023-08-13,99
2023-08-20,88
2023-08-27,83
2023-09-03,90
2023-09-10,82
2023-09-17,85
2023-09-24,85
2023-10-01,87
2023-10-08,82
2023-10-15,86
2023-10-22,81
2023-10-29,82
2023-11-05,85
2023-11-12,85
2023-11-19,93
2023-11-26,97
2023-12-03,82
2023-12-10,86
2023-12-17,88
2023-12-24,88
2023-12-31,86
2024-01-07,85
