,Forestry
2018-12-30,37
2019-01-06,39
2019-01-13,39
2019-01-20,36
2019-01-27,36
2019-02-03,38
2019-02-10,59
2019-02-17,46
2019-02-24,38
2019-03-03,34
2019-03-10,30
2019-03-17,33
2019-03-24,32
2019-03-31,30
2019-04-07,28
2019-04-14,31
2019-04-21,28
2019-04-28,29
2019-05-05,41
2019-05-12,32
2019-05-19,32
2019-05-26,37
2019-06-02,33
2019-06-09,32
2019-06-16,33
2019-06-23,37
2019-06-30,36
2019-07-07,37
2019-07-14,37
2019-07-21,45
2019-07-28,40
2019-08-04,40
2019-08-11,31
2019-08-18,37
2019-08-25,37
2019-09-01,32
2019-09-08,35
2019-09-15,32
2019-09-22,33
2019-09-29,35
2019-10-06,30
2019-10-13,33
2019-10-20,27
2019-10-27,29
2019-11-03,34
2019-11-10,36
2019-11-17,33
2019-11-24,34
2019-12-01,32
2019-12-08,32
2019-12-15,39
2019-12-22,36
2019-12-29,36
2020-01-05,44
2020-01-12,33
2020-01-19,31
2020-01-26,34
2020-02-02,34
2020-02-09,38
2020-02-16,33
2020-02-23,34
2020-03-01,31
2020-03-08,27
2020-03-15,29
2020-03-22,21
2020-03-29,22
2020-04-05,24
2020-04-12,22
2020-04-19,33
2020-04-26,37
2020-05-03,29
2020-05-10,27
2020-05-17,25
2020-05-24,27
2020-05-31,27
2020-06-07,27
2020-06-14,26
2020-06-21,26
2020-06-28,33
2020-07-05,29
2020-07-12,31
2020-07-19,34
2020-07-26,35
2020-08-02,35
2020-08-09,36
2020-08-16,35
2020-08-23,37
2020-08-30,32
2020-09-06,33
2020-09-13,32
2020-09-20,31
2020-09-27,33
2020-10-04,33
2020-10-11,33
2020-10-18,31
2020-10-25,31
2020-11-01,30
2020-11-08,29
2020-11-15,31
2020-11-22,33
2020-11-29,30
2020-12-06,34
2020-12-13,37
2020-12-20,40
2020-12-27,38
2021-01-03,41
2021-01-10,34
2021-01-17,38
2021-01-24,33
2021-01-31,34
2021-02-07,35
2021-02-14,34
2021-02-21,38
2021-02-28,35
2021-03-07,38
2021-03-14,37
2021-03-21,39
2021-03-28,31
2021-04-04,32
2021-04-11,54
2021-04-18,37
2021-04-25,29
2021-05-02,29
2021-05-09,28
2021-05-16,29
2021-05-23,29
2021-05-30,32
2021-06-06,32
2021-06-13,36
2021-06-20,34
2021-06-27,35
2021-07-04,36
2021-07-11,38
2021-07-18,41
2021-07-25,42
2021-08-01,36
2021-08-08,36
2021-08-15,35
2021-08-22,33
2021-08-29,33
2021-09-05,33
2021-09-12,34
2021-09-19,32
2021-09-26,35
2021-10-03,38
2021-10-10,28
2021-10-17,31
2021-10-24,30
2021-10-31,25
2021-11-07,32
2021-11-14,31
2021-11-21,33
2021-11-28,36
2021-12-05,33
2021-12-12,33
2021-12-19,35
2021-12-26,39
2022-01-02,36
2022-01-09,36
2022-01-16,37
2022-01-23,41
2022-01-30,42
2022-02-06,43
2022-02-13,50
2022-02-20,51
2022-02-27,49
2022-03-06,49
2022-03-13,48
2022-03-20,51
2022-03-27,50
2022-04-03,73
2022-04-10,50
2022-04-17,50
2022-04-24,46
2022-05-01,41
2022-05-08,39
2022-05-15,37
2022-05-22,43
2022-05-29,37
2022-06-05,39
2022-06-12,43
2022-06-19,47
2022-06-26,47
2022-07-03,51
2022-07-10,51
2022-07-17,47
2022-07-24,46
2022-07-31,46
2022-08-07,46
2022-08-14,48
2022-08-21,52
2022-08-28,43
2022-09-04,42
2022-09-11,47
2022-09-18,46
2022-09-25,44
2022-10-02,38
2022-10-09,45
2022-10-16,41
2022-10-23,35
2022-10-30,48
2022-11-06,52
2022-11-13,51
2022-11-20,42
2022-11-27,44
2022-12-04,44
2022-12-11,46
2022-12-18,51
2022-12-25,54
2023-01-01,53
2023-01-08,50
2023-01-15,54
2023-01-22,58
2023-01-29,56
2023-02-05,52
2023-02-12,54
2023-02-19,59
2023-02-26,46
2023-03-05,50
2023-03-12,63
2023-03-19,100
2023-03-26,82
2023-04-02,60
2023-04-09,59
2023-04-16,54
2023-04-23,46
2023-04-30,42
2023-05-07,47
2023-05-14,47
2023-05-21,57
2023-05-28,57
2023-06-04,63
2023-06-11,63
2023-06-18,53
2023-06-25,61
2023-07-02,56
2023-07-09,53
2023-07-16,65
2023-07-23,59
2023-07-30,51
2023-08-06,44
2023-08-13,46
2023-08-20,49
2023-08-27,46
2023-09-03,42
2023-09-10,46
2023-09-17,39
2023-09-24,41
2023-10-01,41
2023-10-08,40
2023-10-15,36
2023-10-22,35
2023-10-29,39
2023-11-05,37
2023-11-12,37
2023-11-19,42
2023-11-26,43
2023-12-03,43
2023-12-10,46
2023-12-17,43
2023-12-24,51
2023-12-31,52
2024-01-07,48
