,Libraries & Museums
2018-12-30,51
2019-01-06,47
2019-01-13,45
2019-01-20,45
2019-01-27,42
2019-02-03,47
2019-02-10,58
2019-02-17,57
2019-02-24,42
2019-03-03,50
2019-03-10,51
2019-03-17,50
2019-03-24,52
2019-03-31,40
2019-04-07,44
2019-04-14,39
2019-04-21,36
2019-04-28,29
2019-05-05,83
2019-05-12,42
2019-05-19,43
2019-05-26,50
2019-06-02,41
2019-06-09,53
2019-06-16,46
2019-06-23,61
2019-06-30,53
2019-07-07,47
2019-07-14,57
2019-07-21,53
2019-07-28,52
2019-08-04,60
2019-08-11,46
2019-08-18,57
2019-08-25,50
2019-09-01,53
2019-09-08,52
2019-09-15,45
2019-09-22,46
2019-09-29,42
2019-10-06,44
2019-10-13,50
2019-10-20,48
2019-10-27,47
2019-11-03,46
2019-11-10,45
2019-11-17,48
2019-11-24,46
2019-12-01,49
2019-12-08,49
2019-12-15,60
2019-12-22,59
2019-12-29,59
2020-01-05,49
2020-01-12,46
2020-01-19,60
2020-01-26,48
2020-02-02,54
2020-02-09,55
2020-02-16,65
2020-02-23,55
2020-03-01,63
2020-03-08,68
2020-03-15,52
2020-03-22,31
2020-03-29,36
2020-04-05,35
2020-04-12,34
2020-04-19,37
2020-04-26,55
2020-05-03,43
2020-05-10,44
2020-05-17,48
2020-05-24,40
2020-05-31,46
2020-06-07,43
2020-06-14,42
2020-06-21,45
2020-06-28,48
2020-07-05,44
2020-07-12,50
2020-07-19,48
2020-07-26,50
2020-08-02,40
2020-08-09,48
2020-08-16,45
2020-08-23,49
2020-08-30,56
2020-09-06,53
2020-09-13,59
2020-09-20,50
2020-09-27,47
2020-10-04,43
2020-10-11,42
2020-10-18,42
2020-10-25,38
2020-11-01,39
2020-11-08,38
2020-11-15,40
2020-11-22,44
2020-11-29,53
2020-12-06,44
2020-12-13,44
2020-12-20,42
2020-12-27,46
2021-01-03,35
2021-01-10,44
2021-01-17,47
2021-01-24,47
2021-01-31,38
2021-02-07,45
2021-02-14,42
2021-02-21,43
2021-02-28,43
2021-03-07,50
2021-03-14,39
2021-03-21,50
2021-03-28,51
2021-04-04,43
2021-04-11,35
2021-04-18,53
2021-04-25,40
2021-05-02,43
2021-05-09,47
2021-05-16,49
2021-05-23,45
2021-05-30,46
2021-06-06,60
2021-06-13,50
2021-06-20,57
2021-06-27,51
2021-07-04,52
2021-07-11,56
2021-07-18,49
2021-07-25,44
2021-08-01,51
2021-08-08,42
2021-08-15,47
2021-08-22,43
2021-08-29,48
2021-09-05,52
2021-09-12,100
2021-09-19,53
2021-09-26,50
2021-10-03,56
2021-10-10,49
2021-10-17,53
2021-10-24,55
2021-10-31,64
2021-11-07,57
2021-11-14,55
2021-11-21,56
2021-11-28,54
2021-12-05,57
2021-12-12,61
2021-12-19,61
2021-12-26,74
2022-01-02,77
2022-01-09,78
2022-01-16,67
2022-01-23,74
2022-01-30,78
2022-02-06,78
2022-02-13,92
2022-02-20,87
2022-02-27,81
2022-03-06,79
2022-03-13,83
2022-03-20,74
2022-03-27,74
2022-04-03,62
2022-04-10,55
2022-04-17,72
2022-04-24,68
2022-05-01,100
2022-05-08,81
2022-05-15,68
2022-05-22,87
2022-05-29,76
2022-06-05,73
2022-06-12,66
2022-06-19,74
2022-06-26,71
2022-07-03,78
2022-07-10,70
2022-07-17,76
2022-07-24,72
2022-07-31,74
2022-08-07,83
2022-08-14,87
2022-08-21,75
2022-08-28,69
2022-09-04,76
2022-09-11,77
2022-09-18,78
2022-09-25,82
2022-10-02,96
2022-10-09,86
2022-10-16,91
2022-10-23,82
2022-10-30,90
2022-11-06,95
2022-11-13,80
2022-11-20,74
2022-11-27,72
2022-12-04,60
2022-12-11,73
2022-12-18,70
2022-12-25,74
2023-01-01,63
2023-01-08,76
2023-01-15,74
2023-01-22,73
2023-01-29,81
2023-02-05,73
2023-02-12,71
2023-02-19,83
2023-02-26,74
2023-03-05,81
2023-03-12,76
2023-03-19,78
2023-03-26,72
2023-04-02,76
2023-04-09,42
2023-04-16,66
2023-04-23,76
2023-04-30,95
2023-05-07,77
2023-05-14,76
2023-05-21,73
2023-05-28,78
2023-06-04,74
2023-06-11,79
2023-06-18,77
2023-06-25,72
2023-07-02,80
2023-07-09,78
2023-07-16,86
2023-07-23,84
2023-07-30,80
2023-08-06,83
2023-08-13,97
2023-08-20,94
2023-08-27,89
2023-09-03,86
2023-09-10,75
2023-09-17,89
2023-09-24,82
2023-10-01,92
2023-10-08,72
2023-10-15,79
2023-10-22,76
2023-10-29,67
2023-11-05,72
2023-11-12,75
2023-11-19,73
2023-11-26,82
2023-12-03,77
2023-12-10,76
2023-12-17,74
2023-12-24,62
2023-12-31,81
2024-01-07,81
