,Hotels & Accommodations
2018-12-30,87
2019-01-06,73
2019-01-13,81
2019-01-20,74
2019-01-27,83
2019-02-03,91
2019-02-10,84
2019-02-17,85
2019-02-24,87
2019-03-03,80
2019-03-10,84
2019-03-17,82
2019-03-24,75
2019-03-31,71
2019-04-07,68
2019-04-14,73
2019-04-21,81
2019-04-28,69
2019-05-05,63
2019-05-12,58
2019-05-19,57
2019-05-26,56
2019-06-02,62
2019-06-09,65
2019-06-16,59
2019-06-23,65
2019-06-30,60
2019-07-07,67
2019-07-14,83
2019-07-21,67
2019-07-28,67
2019-08-04,75
2019-08-11,81
2019-08-18,76
2019-08-25,80
2019-09-01,62
2019-09-08,70
2019-09-15,67
2019-09-22,57
2019-09-29,65
2019-10-06,54
2019-10-13,57
2019-10-20,64
2019-10-27,69
2019-11-03,68
2019-11-10,73
2019-11-17,77
2019-11-24,77
2019-12-01,78
2019-12-08,80
2019-12-15,90
2019-12-22,88
2019-12-29,100
2020-01-05,79
2020-01-12,73
2020-01-19,89
2020-01-26,78
2020-02-02,77
2020-02-09,84
2020-02-16,80
2020-02-23,72
2020-03-01,76
2020-03-08,67
2020-03-15,47
2020-03-22,36
2020-03-29,26
2020-04-05,23
2020-04-12,19
2020-04-19,15
2020-04-26,11
2020-05-03,13
2020-05-10,19
2020-05-17,19
2020-05-24,16
2020-05-31,20
2020-06-07,17
2020-06-14,28
2020-06-21,21
2020-06-28,19
2020-07-05,24
2020-07-12,21
2020-07-19,21
2020-07-26,19
2020-08-02,23
2020-08-09,32
2020-08-16,22
2020-08-23,23
2020-08-30,18
2020-09-06,21
2020-09-13,30
2020-09-20,23
2020-09-27,27
2020-10-04,32
2020-10-11,31
2020-10-18,30
2020-10-25,40
2020-11-01,32
2020-11-08,32
2020-11-15,29
2020-11-22,36
2020-11-29,35
2020-12-06,44
2020-12-13,51
2020-12-20,56
2020-12-27,54
2021-01-03,59
2021-01-10,56
2021-01-17,62
2021-01-24,60
2021-01-31,52
2021-02-07,53
2021-02-14,49
2021-02-21,47
2021-02-28,46
2021-03-07,54
2021-03-14,52
2021-03-21,62
2021-03-28,53
2021-04-04,55
2021-04-11,51
2021-04-18,46
2021-04-25,55
2021-05-02,45
2021-05-09,44
2021-05-16,41
2021-05-23,38
2021-05-30,44
2021-06-06,41
2021-06-13,43
2021-06-20,40
2021-06-27,44
2021-07-04,48
2021-07-11,51
2021-07-18,61
2021-07-25,56
2021-08-01,64
2021-08-08,63
2021-08-15,76
2021-08-22,60
2021-08-29,52
2021-09-05,52
2021-09-12,66
2021-09-19,56
2021-09-26,62
2021-10-03,57
2021-10-10,59
2021-10-17,65
2021-10-24,66
2021-10-31,71
2021-11-07,67
2021-11-14,74
2021-11-21,67
2021-11-28,77
2021-12-05,72
2021-12-12,78
2021-12-19,80
2021-12-26,99
2022-01-02,86
2022-01-09,75
2022-01-16,66
2022-01-23,71
2022-01-30,64
2022-02-06,64
2022-02-13,64
2022-02-20,67
2022-02-27,71
2022-03-06,67
2022-03-13,72
2022-03-20,73
2022-03-27,63
2022-04-03,68
2022-04-10,68
2022-04-17,75
2022-04-24,74
2022-05-01,68
2022-05-08,63
2022-05-15,65
2022-05-22,57
2022-05-29,76
2022-06-05,64
2022-06-12,58
2022-06-19,55
2022-06-26,60
2022-07-03,58
2022-07-10,64
2022-07-17,66
2022-07-24,72
2022-07-31,78
2022-08-07,72
2022-08-14,76
2022-08-21,73
2022-08-28,57
2022-09-04,63
2022-09-11,64
2022-09-18,52
2022-09-25,54
2022-10-02,62
2022-10-09,67
2022-10-16,60
2022-10-23,66
2022-10-30,67
2022-11-06,58
2022-11-13,67
2022-11-20,62
2022-11-27,65
2022-12-04,65
2022-12-11,68
2022-12-18,71
2022-12-25,89
2023-01-01,89
2023-01-08,77
2023-01-15,82
2023-01-22,79
2023-01-29,74
2023-02-05,76
2023-02-12,78
2023-02-19,82
2023-02-26,73
2023-03-05,71
2023-03-12,74
2023-03-19,65
2023-03-26,71
2023-04-02,67
2023-04-09,72
2023-04-16,68
2023-04-23,78
2023-04-30,69
2023-05-07,64
2023-05-14,65
2023-05-21,60
2023-05-28,70
2023-06-04,68
2023-06-11,61
2023-06-18,70
2023-06-25,60
2023-07-02,61
2023-07-09,75
2023-07-16,73
2023-07-23,68
2023-07-30,68
2023-08-06,74
2023-08-13,74
2023-08-20,70
2023-08-27,65
2023-09-03,62
2023-09-10,63
2023-09-17,70
2023-09-24,70
2023-10-01,69
2023-10-08,69
2023-10-15,68
2023-10-22,73
2023-10-29,71
2023-11-05,68
2023-11-12,72
2023-11-19,75
2023-11-26,77
2023-12-03,86
2023-12-10,75
2023-12-17,84
2023-12-24,96
2023-12-31,93
2024-01-07,97
