,Welfare & Unemployment
2018-12-30,93
2019-01-06,92
2019-01-13,89
2019-01-20,96
2019-01-27,93
2019-02-03,86
2019-02-10,100
2019-02-17,96
2019-02-24,87
2019-03-03,86
2019-03-10,90
2019-03-17,84
2019-03-24,87
2019-03-31,82
2019-04-07,75
2019-04-14,73
2019-04-21,79
2019-04-28,75
2019-05-05,79
2019-05-12,74
2019-05-19,82
2019-05-26,90
2019-06-02,87
2019-06-09,82
2019-06-16,79
2019-06-23,87
2019-06-30,79
2019-07-07,83
2019-07-14,88
2019-07-21,91
2019-07-28,85
2019-08-04,78
2019-08-11,69
2019-08-18,79
2019-08-25,85
2019-09-01,86
2019-09-08,90
2019-09-15,82
2019-09-22,72
2019-09-29,76
2019-10-06,71
2019-10-13,76
2019-10-20,68
2019-10-27,63
2019-11-03,71
2019-11-10,67
2019-11-17,71
2019-11-24,67
2019-12-01,68
2019-12-08,68
2019-12-15,72
2019-12-22,71
2019-12-29,72
2020-01-05,73
2020-01-12,63
2020-01-19,69
2020-01-26,68
2020-02-02,66
2020-02-09,63
2020-02-16,62
2020-02-23,66
2020-03-01,65
2020-03-08,63
2020-03-15,61
2020-03-22,52
2020-03-29,52
2020-04-05,53
2020-04-12,56
2020-04-19,52
2020-04-26,50
2020-05-03,53
2020-05-10,53
2020-05-17,52
2020-05-24,54
2020-05-31,60
2020-06-07,57
2020-06-14,54
2020-06-21,56
2020-06-28,58
2020-07-05,64
2020-07-12,60
2020-07-19,61
2020-07-26,67
2020-08-02,66
2020-08-09,72
2020-08-16,69
2020-08-23,63
2020-08-30,65
2020-09-06,69
2020-09-13,88
2020-09-20,65
2020-09-27,62
2020-10-04,59
2020-10-11,64
2020-10-18,60
2020-10-25,57
2020-11-01,56
2020-11-08,52
2020-11-15,54
2020-11-22,67
2020-11-29,58
2020-12-06,65
2020-12-13,68
2020-12-20,71
2020-12-27,66
2021-01-03,64
2021-01-10,58
2021-01-17,62
2021-01-24,59
2021-01-31,60
2021-02-07,63
2021-02-14,65
2021-02-21,67
2021-02-28,65
2021-03-07,59
2021-03-14,65
2021-03-21,62
2021-03-28,58
2021-04-04,64
2021-04-11,56
2021-04-18,53
2021-04-25,52
2021-05-02,51
2021-05-09,57
2021-05-16,56
2021-05-23,55
2021-05-30,59
2021-06-06,62
2021-06-13,63
2021-06-20,63
2021-06-27,62
2021-07-04,62
2021-07-11,67
2021-07-18,64
2021-07-25,67
2021-08-01,69
2021-08-08,67
2021-08-15,64
2021-08-22,64
2021-08-29,60
2021-09-05,66
2021-09-12,77
2021-09-19,68
2021-09-26,67
2021-10-03,66
2021-10-10,57
2021-10-17,63
2021-10-24,63
2021-10-31,54
2021-11-07,61
2021-11-14,61
2021-11-21,60
2021-11-28,66
2021-12-05,62
2021-12-12,67
2021-12-19,70
2021-12-26,79
2022-01-02,73
2022-01-09,66
2022-01-16,62
2022-01-23,62
2022-01-30,66
2022-02-06,61
2022-02-13,67
2022-02-20,70
2022-02-27,67
2022-03-06,66
2022-03-13,60
2022-03-20,72
2022-03-27,64
2022-04-03,68
2022-04-10,69
2022-04-17,65
2022-04-24,67
2022-05-01,66
2022-05-08,67
2022-05-15,69
2022-05-22,69
2022-05-29,70
2022-06-05,69
2022-06-12,74
2022-06-19,70
2022-06-26,74
2022-07-03,72
2022-07-10,73
2022-07-17,73
2022-07-24,72
2022-07-31,75
2022-08-07,69
2022-08-14,74
2022-08-21,73
2022-08-28,71
2022-09-04,77
2022-09-11,77
2022-09-18,75
2022-09-25,75
2022-10-02,76
2022-10-09,75
2022-10-16,68
2022-10-23,57
2022-10-30,73
2022-11-06,68
2022-11-13,68
2022-11-20,65
2022-11-27,65
2022-12-04,67
2022-12-11,71
2022-12-18,75
2022-12-25,76
2023-01-01,74
2023-01-08,72
2023-01-15,69
2023-01-22,70
2023-01-29,73
2023-02-05,68
2023-02-12,69
2023-02-19,69
2023-02-26,70
2023-03-05,73
2023-03-12,84
2023-03-19,70
2023-03-26,71
2023-04-02,75
2023-04-09,69
2023-04-16,66
2023-04-23,68
2023-04-30,67
2023-05-07,69
2023-05-14,71
2023-05-21,71
2023-05-28,74
2023-06-04,72
2023-06-11,74
2023-06-18,75
2023-06-25,72
2023-07-02,70
2023-07-09,74
2023-07-16,72
2023-07-23,75
2023-07-30,75
2023-08-06,72
2023-08-13,69
2023-08-20,74
2023-08-27,69
2023-09-03,72
2023-09-10,73
2023-09-17,75
2023-09-24,71
2023-10-01,65
2023-10-08,68
2023-10-15,67
2023-10-22,60
2023-10-29,67
2023-11-05,67
2023-11-12,57
2023-11-19,66
2023-11-26,70
2023-12-03,70
2023-12-10,70
2023-12-17,71
2023-12-24,73
2023-12-31,72
2024-01-07,66
