,Astrology & Divination
2018-12-30,73
2019-01-06,61
2019-01-13,56
2019-01-20,57
2019-01-27,56
2019-02-03,56
2019-02-10,55
2019-02-17,51
2019-02-24,55
2019-03-03,53
2019-03-10,58
2019-03-17,58
2019-03-24,51
2019-03-31,54
2019-04-07,50
2019-04-14,58
2019-04-21,48
2019-04-28,50
2019-05-05,53
2019-05-12,47
2019-05-19,49
2019-05-26,53
2019-06-02,52
2019-06-09,57
2019-06-16,49
2019-06-23,51
2019-06-30,53
2019-07-07,51
2019-07-14,54
2019-07-21,54
2019-07-28,58
2019-08-04,62
2019-08-11,54
2019-08-18,56
2019-08-25,53
2019-09-01,52
2019-09-08,49
2019-09-15,52
2019-09-22,53
2019-09-29,56
2019-10-06,52
2019-10-13,55
2019-10-20,56
2019-10-27,60
2019-11-03,58
2019-11-10,67
2019-11-17,79
2019-11-24,54
2019-12-01,57
2019-12-08,58
2019-12-15,59
2019-12-22,75
2019-12-29,76
2020-01-05,58
2020-01-12,57
2020-01-19,71
2020-01-26,64
2020-02-02,56
2020-02-09,58
2020-02-16,54
2020-02-23,52
2020-03-01,53
2020-03-08,55
2020-03-15,53
2020-03-22,47
2020-03-29,43
2020-04-05,45
2020-04-12,52
2020-04-19,39
2020-04-26,40
2020-05-03,39
2020-05-10,39
2020-05-17,43
2020-05-24,38
2020-05-31,47
2020-06-07,46
2020-06-14,45
2020-06-21,47
2020-06-28,48
2020-07-05,48
2020-07-12,46
2020-07-19,47
2020-07-26,47
2020-08-02,51
2020-08-09,45
2020-08-16,46
2020-08-23,46
2020-08-30,50
2020-09-06,48
2020-09-13,47
2020-09-20,46
2020-09-27,50
2020-10-04,46
2020-10-11,51
2020-10-18,49
2020-10-25,50
2020-11-01,51
2020-11-08,49
2020-11-15,53
2020-11-22,47
2020-11-29,47
2020-12-06,49
2020-12-13,56
2020-12-20,59
2020-12-27,72
2021-01-03,52
2021-01-10,51
2021-01-17,55
2021-01-24,49
2021-01-31,49
2021-02-07,48
2021-02-14,50
2021-02-21,50
2021-02-28,47
2021-03-07,48
2021-03-14,48
2021-03-21,47
2021-03-28,51
2021-04-04,48
2021-04-11,46
2021-04-18,48
2021-04-25,49
2021-05-02,48
2021-05-09,52
2021-05-16,49
2021-05-23,46
2021-05-30,47
2021-06-06,46
2021-06-13,51
2021-06-20,50
2021-06-27,50
2021-07-04,56
2021-07-11,54
2021-07-18,54
2021-07-25,50
2021-08-01,52
2021-08-08,49
2021-08-15,48
2021-08-22,49
2021-08-29,53
2021-09-05,48
2021-09-12,51
2021-09-19,50
2021-09-26,49
2021-10-03,50
2021-10-10,54
2021-10-17,49
2021-10-24,48
2021-10-31,49
2021-11-07,50
2021-11-14,52
2021-11-21,50
2021-11-28,47
2021-12-05,48
2021-12-12,53
2021-12-19,51
2021-12-26,64
2022-01-02,68
2022-01-09,64
2022-01-16,61
2022-01-23,66
2022-01-30,68
2022-02-06,67
2022-02-13,67
2022-02-20,67
2022-02-27,76
2022-03-06,68
2022-03-13,67
2022-03-20,65
2022-03-27,59
2022-04-03,59
2022-04-10,67
2022-04-17,64
2022-04-24,64
2022-05-01,74
2022-05-08,56
2022-05-15,60
2022-05-22,59
2022-05-29,62
2022-06-05,56
2022-06-12,64
2022-06-19,66
2022-06-26,60
2022-07-03,60
2022-07-10,59
2022-07-17,63
2022-07-24,65
2022-07-31,64
2022-08-07,63
2022-08-14,63
2022-08-21,60
2022-08-28,62
2022-09-04,59
2022-09-11,62
2022-09-18,62
2022-09-25,59
2022-10-02,62
2022-10-09,64
2022-10-16,57
2022-10-23,58
2022-10-30,58
2022-11-06,57
2022-11-13,61
2022-11-20,62
2022-11-27,60
2022-12-04,59
2022-12-11,63
2022-12-18,67
2022-12-25,72
2023-01-01,73
2023-01-08,69
2023-01-15,74
2023-01-22,69
2023-01-29,64
2023-02-05,62
2023-02-12,65
2023-02-19,66
2023-02-26,66
2023-03-05,60
2023-03-12,62
2023-03-19,71
2023-03-26,67
2023-04-02,65
2023-04-09,62
2023-04-16,68
2023-04-23,65
2023-04-30,59
2023-05-07,60
2023-05-14,61
2023-05-21,60
2023-05-28,65
2023-06-04,60
2023-06-11,60
2023-06-18,66
2023-06-25,65
2023-07-02,65
2023-07-09,70
2023-07-16,67
2023-07-23,67
2023-07-30,64
2023-08-06,68
2023-08-13,67
2023-08-20,66
2023-08-27,67
2023-09-03,62
2023-09-10,59
2023-09-17,62
2023-09-24,64
2023-10-01,68
2023-10-08,66
2023-10-15,96
2023-10-22,100
2023-10-29,85
2023-11-05,74
2023-11-12,66
2023-11-19,80
2023-11-26,75
2023-12-03,67
2023-12-10,70
2023-12-17,73
2023-12-24,81
2023-12-31,84
2024-01-07,65
