,Medical Facilities & Services
2018-12-30,54
2019-01-06,51
2019-01-13,52
2019-01-20,56
2019-01-27,60
2019-02-03,54
2019-02-10,62
2019-02-17,56
2019-02-24,60
2019-03-03,57
2019-03-10,49
2019-03-17,62
2019-03-24,71
2019-03-31,56
2019-04-07,57
2019-04-14,66
2019-04-21,52
2019-04-28,46
2019-05-05,41
2019-05-12,36
2019-05-19,49
2019-05-26,45
2019-06-02,45
2019-06-09,53
2019-06-16,60
2019-06-23,61
2019-06-30,60
2019-07-07,65
2019-07-14,69
2019-07-21,69
2019-07-28,66
2019-08-04,57
2019-08-11,44
2019-08-18,63
2019-08-25,52
2019-09-01,60
2019-09-08,63
2019-09-15,59
2019-09-22,51
2019-09-29,52
2019-10-06,62
2019-10-13,57
2019-10-20,51
2019-10-27,60
2019-11-03,54
2019-11-10,71
2019-11-17,63
2019-11-24,61
2019-12-01,72
2019-12-08,63
2019-12-15,71
2019-12-22,57
2019-12-29,71
2020-01-05,70
2020-01-12,66
2020-01-19,68
2020-01-26,63
2020-02-02,62
2020-02-09,61
2020-02-16,65
2020-02-23,56
2020-03-01,68
2020-03-08,63
2020-03-15,52
2020-03-22,44
2020-03-29,49
2020-04-05,43
2020-04-12,41
2020-04-19,32
2020-04-26,31
2020-05-03,25
2020-05-10,25
2020-05-17,26
2020-05-24,28
2020-05-31,33
2020-06-07,30
2020-06-14,32
2020-06-21,38
2020-06-28,41
2020-07-05,38
2020-07-12,41
2020-07-19,44
2020-07-26,40
2020-08-02,46
2020-08-09,49
2020-08-16,40
2020-08-23,33
2020-08-30,32
2020-09-06,37
2020-09-13,45
2020-09-20,43
2020-09-27,39
2020-10-04,51
2020-10-11,51
2020-10-18,43
2020-10-25,52
2020-11-01,51
2020-11-08,52
2020-11-15,53
2020-11-22,55
2020-11-29,57
2020-12-06,51
2020-12-13,57
2020-12-20,52
2020-12-27,64
2021-01-03,59
2021-01-10,61
2021-01-17,62
2021-01-24,66
2021-01-31,71
2021-02-07,65
2021-02-14,55
2021-02-21,60
2021-02-28,68
2021-03-07,66
2021-03-14,76
2021-03-21,72
2021-03-28,62
2021-04-04,70
2021-04-11,50
2021-04-18,64
2021-04-25,63
2021-05-02,61
2021-05-09,57
2021-05-16,65
2021-05-23,64
2021-05-30,54
2021-06-06,64
2021-06-13,62
2021-06-20,63
2021-06-27,69
2021-07-04,69
2021-07-11,74
2021-07-18,67
2021-07-25,69
2021-08-01,78
2021-08-08,77
2021-08-15,77
2021-08-22,87
2021-08-29,70
2021-09-05,76
2021-09-12,73
2021-09-19,84
2021-09-26,67
2021-10-03,71
2021-10-10,79
2021-10-17,83
2021-10-24,75
2021-10-31,77
2021-11-07,84
2021-11-14,82
2021-11-21,85
2021-11-28,77
2021-12-05,81
2021-12-12,85
2021-12-19,88
2021-12-26,92
2022-01-02,92
2022-01-09,90
2022-01-16,79
2022-01-23,85
2022-01-30,77
2022-02-06,77
2022-02-13,74
2022-02-20,73
2022-02-27,80
2022-03-06,80
2022-03-13,79
2022-03-20,78
2022-03-27,64
2022-04-03,62
2022-04-10,69
2022-04-17,67
2022-04-24,68
2022-05-01,58
2022-05-08,77
2022-05-15,75
2022-05-22,80
2022-05-29,78
2022-06-05,81
2022-06-12,89
2022-06-19,81
2022-06-26,80
2022-07-03,76
2022-07-10,65
2022-07-17,77
2022-07-24,70
2022-07-31,75
2022-08-07,86
2022-08-14,79
2022-08-21,77
2022-08-28,81
2022-09-04,78
2022-09-11,77
2022-09-18,71
2022-09-25,75
2022-10-02,78
2022-10-09,84
2022-10-16,79
2022-10-23,79
2022-10-30,76
2022-11-06,81
2022-11-13,78
2022-11-20,71
2022-11-27,72
2022-12-04,74
2022-12-11,73
2022-12-18,85
2022-12-25,83
2023-01-01,75
2023-01-08,80
2023-01-15,72
2023-01-22,82
2023-01-29,80
2023-02-05,81
2023-02-12,69
2023-02-19,75
2023-02-26,75
2023-03-05,73
2023-03-12,76
2023-03-19,62
2023-03-26,65
2023-04-02,72
2023-04-09,66
2023-04-16,61
2023-04-23,70
2023-04-30,81
2023-05-07,71
2023-05-14,70
2023-05-21,79
2023-05-28,79
2023-06-04,84
2023-06-11,76
2023-06-18,75
2023-06-25,56
2023-07-02,78
2023-07-09,89
2023-07-16,73
2023-07-23,72
2023-07-30,79
2023-08-06,88
2023-08-13,100
2023-08-20,85
2023-08-27,84
2023-09-03,91
2023-09-10,85
2023-09-17,97
2023-09-24,85
2023-10-01,85
2023-10-08,95
2023-10-15,93
2023-10-22,85
2023-10-29,80
2023-11-05,91
2023-11-12,92
2023-11-19,91
2023-11-26,87
2023-12-03,97
2023-12-10,92
2023-12-17,93
2023-12-24,100
2023-12-31,86
2024-01-07,95
