,GPS & Navigation
2018-12-30,79
2019-01-06,69
2019-01-13,47
2019-01-20,47
2019-01-27,47
2019-02-03,67
2019-02-10,0
2019-02-17,0
2019-02-24,54
2019-03-03,0
2019-03-10,0
2019-03-17,0
2019-03-24,51
2019-03-31,46
2019-04-07,0
2019-04-14,63
2019-04-21,67
2019-04-28,0
2019-05-05,66
2019-05-12,46
2019-05-19,44
2019-05-26,0
2019-06-02,0
2019-06-09,44
2019-06-16,48
2019-06-23,40
2019-06-30,53
2019-07-07,44
2019-07-14,43
2019-07-21,49
2019-07-28,0
2019-08-04,0
2019-08-11,46
2019-08-18,0
2019-08-25,72
2019-09-01,53
2019-09-08,50
2019-09-15,44
2019-09-22,0
2019-09-29,51
2019-10-06,0
2019-10-13,61
2019-10-20,0
2019-10-27,40
2019-11-03,43
2019-11-10,72
2019-11-17,59
2019-11-24,0
2019-12-01,55
2019-12-08,48
2019-12-15,84
2019-12-22,91
2019-12-29,86
2020-01-05,68
2020-01-12,68
2020-01-19,73
2020-01-26,53
2020-02-02,96
2020-02-09,55
2020-02-16,62
2020-02-23,53
2020-03-01,83
2020-03-08,56
2020-03-15,59
2020-03-22,42
2020-03-29,79
2020-04-05,59
2020-04-12,34
2020-04-19,0
2020-04-26,0
2020-05-03,33
2020-05-10,0
2020-05-17,0
2020-05-24,46
2020-05-31,0
2020-06-07,39
2020-06-14,0
2020-06-21,0
2020-06-28,42
2020-07-05,0
2020-07-12,41
2020-07-19,39
2020-07-26,0
2020-08-02,56
2020-08-09,0
2020-08-16,0
2020-08-23,55
2020-08-30,0
2020-09-06,0
2020-09-13,44
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,59
2020-10-18,71
2020-10-25,52
2020-11-01,83
2020-11-08,40
2020-11-15,46
2020-11-22,46
2020-11-29,0
2020-12-06,41
2020-12-13,48
2020-12-20,41
2020-12-27,56
2021-01-03,0
2021-01-10,51
2021-01-17,74
2021-01-24,53
2021-01-31,48
2021-02-07,45
2021-02-14,37
2021-02-21,0
2021-02-28,42
2021-03-07,40
2021-03-14,69
2021-03-21,84
2021-03-28,62
2021-04-04,41
2021-04-11,38
2021-04-18,63
2021-04-25,42
2021-05-02,0
2021-05-09,0
2021-05-16,42
2021-05-23,38
2021-05-30,59
2021-06-06,59
2021-06-13,49
2021-06-20,70
2021-06-27,52
2021-07-04,50
2021-07-11,49
2021-07-18,55
2021-07-25,60
2021-08-01,38
2021-08-08,60
2021-08-15,38
2021-08-22,55
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,53
2021-09-26,43
2021-10-03,0
2021-10-10,76
2021-10-17,100
2021-10-24,53
2021-10-31,63
2021-11-07,54
2021-11-14,48
2021-11-21,58
2021-11-28,70
2021-12-05,0
2021-12-12,56
2021-12-19,0
2021-12-26,93
2022-01-02,65
2022-01-09,56
2022-01-16,0
2022-01-23,50
2022-01-30,77
2022-02-06,46
2022-02-13,41
2022-02-20,54
2022-02-27,0
2022-03-06,45
2022-03-13,65
2022-03-20,60
2022-03-27,43
2022-04-03,68
2022-04-10,48
2022-04-17,42
2022-04-24,34
2022-05-01,54
2022-05-08,36
2022-05-15,60
2022-05-22,66
2022-05-29,46
2022-06-05,51
2022-06-12,80
2022-06-19,62
2022-06-26,79
2022-07-03,0
2022-07-10,38
2022-07-17,54
2022-07-24,0
2022-07-31,48
2022-08-07,62
2022-08-14,42
2022-08-21,60
2022-08-28,41
2022-09-04,56
2022-09-11,55
2022-09-18,55
2022-09-25,57
2022-10-02,38
2022-10-09,53
2022-10-16,64
2022-10-23,57
2022-10-30,49
2022-11-06,62
2022-11-13,59
2022-11-20,53
2022-11-27,46
2022-12-04,58
2022-12-11,51
2022-12-18,47
2022-12-25,54
2023-01-01,64
2023-01-08,73
2023-01-15,73
2023-01-22,48
2023-01-29,63
2023-02-05,59
2023-02-12,55
2023-02-19,53
2023-02-26,73
2023-03-05,71
2023-03-12,60
2023-03-19,38
2023-03-26,43
2023-04-02,56
2023-04-09,34
2023-04-16,43
2023-04-23,56
2023-04-30,49
2023-05-07,55
2023-05-14,51
2023-05-21,48
2023-05-28,41
2023-06-04,43
2023-06-11,0
2023-06-18,38
2023-06-25,31
2023-07-02,76
2023-07-09,54
2023-07-16,67
2023-07-23,43
2023-07-30,76
2023-08-06,53
2023-08-13,77
2023-08-20,0
2023-08-27,34
2023-09-03,53
2023-09-10,55
2023-09-17,54
2023-09-24,36
2023-10-01,70
2023-10-08,72
2023-10-15,32
2023-10-22,53
2023-10-29,64
2023-11-05,76
2023-11-12,51
2023-11-19,71
2023-11-26,58
2023-12-03,41
2023-12-10,78
2023-12-17,64
2023-12-24,49
2023-12-31,86
2024-01-07,60
