,Economy News
2014-12-28,11.0
2015-01-04,21.0
2015-01-11,17.0
2015-01-18,21.0
2015-01-25,18.0
2015-02-01,13.0
2015-02-08,13.0
2015-02-15,17.0
2015-02-22,15.0
2015-03-01,13.0
2015-03-08,12.0
2015-03-15,16.0
2015-03-22,15.0
2015-03-29,13.0
2015-04-05,12.0
2015-04-12,12.0
2015-04-19,11.0
2015-04-26,22.0
2015-05-03,13.0
2015-05-10,15.0
2015-05-17,10.0
2015-05-24,10.0
2015-05-31,18.0
2015-06-07,16.0
2015-06-14,15.0
2015-06-21,11.0
2015-06-28,16.0
2015-07-05,18.0
2015-07-12,25.0
2015-07-19,10.0
2015-07-26,15.0
2015-08-02,13.0
2015-08-09,17.0
2015-08-16,15.0
2015-08-23,21.0
2015-08-30,19.0
2015-09-06,12.0
2015-09-13,15.0
2015-09-20,16.0
2015-09-27,20.0
2015-10-04,16.0
2015-10-11,23.0
2015-10-18,14.0
2015-10-25,14.0
2015-11-01,15.0
2015-11-08,17.0
2015-11-15,10.0
2015-11-22,13.0
2015-11-29,17.0
2015-12-06,17.0
2015-12-13,10.0
2015-12-20,12.0
2015-12-27,21.0
2016-01-03,21.0
2016-01-10,15.0
2016-01-17,23.0
2016-01-24,20.0
2016-01-31,15.0
2016-02-07,16.0
2016-02-14,21.0
2016-02-21,18.0
2016-02-28,14.0
2016-03-06,17.0
2016-03-13,11.0
2016-03-20,15.0
2016-03-27,13.0
2016-04-03,9.0
2016-04-10,8.0
2016-04-17,14.0
2016-04-24,19.0
2016-05-01,18.0
2016-05-08,17.0
2016-05-15,21.0
2016-05-22,18.0
2016-05-29,16.0
2016-06-05,28.0
2016-06-12,13.0
2016-06-19,19.0
2016-06-26,23.0
2016-07-03,14.0
2016-07-10,19.0
2016-07-17,16.0
2016-07-24,20.0
2016-07-31,17.0
2016-08-07,18.0
2016-08-14,18.0
2016-08-21,20.0
2016-08-28,14.0
2016-09-04,17.0
2016-09-11,17.0
2016-09-18,15.0
2016-09-25,18.0
2016-10-02,21.0
2016-10-09,15.0
2016-10-16,25.0
2016-10-23,16.0
2016-10-30,16.0
2016-11-06,20.0
2016-11-13,13.0
2016-11-20,19.0
2016-11-27,19.0
2016-12-04,16.0
2016-12-11,12.0
2016-12-18,20.0
2016-12-25,14.0
2017-01-01,13.0
2017-01-08,14.0
2017-01-15,17.0
2017-01-22,21.0
2017-01-29,13.0
2017-02-05,12.0
2017-02-12,21.0
2017-02-19,14.0
2017-02-26,15.0
2017-03-05,17.0
2017-03-12,17.0
2017-03-19,20.0
2017-03-26,20.0
2017-04-02,21.0
2017-04-09,11.0
2017-04-16,15.0
2017-04-23,15.0
2017-04-30,15.0
2017-05-07,13.0
2017-05-14,17.0
2017-05-21,13.0
2017-05-28,13.0
2017-06-04,22.0
2017-06-11,21.0
2017-06-18,31.0
2017-06-25,17.0
2017-07-02,14.0
2017-07-09,19.0
2017-07-16,17.0
2017-07-23,16.0
2017-07-30,18.0
2017-08-06,19.0
2017-08-13,18.0
2017-08-20,21.0
2017-08-27,20.0
2017-09-03,22.0
2017-09-10,18.0
2017-09-17,19.0
