,Newspapers
2014-12-28,26.0
2015-01-04,33.0
2015-01-11,29.0
2015-01-18,26.0
2015-01-25,24.0
2015-02-01,22.0
2015-02-08,21.0
2015-02-15,21.0
2015-02-22,20.0
2015-03-01,18.0
2015-03-08,20.0
2015-03-15,19.0
2015-03-22,21.0
2015-03-29,19.0
2015-04-05,19.0
2015-04-12,16.0
2015-04-19,20.0
2015-04-26,18.0
2015-05-03,19.0
2015-05-10,24.0
2015-05-17,29.0
2015-05-24,23.0
2015-05-31,22.0
2015-06-07,21.0
2015-06-14,20.0
2015-06-21,22.0
2015-06-28,22.0
2015-07-05,25.0
2015-07-12,23.0
2015-07-19,22.0
2015-07-26,19.0
2015-08-02,22.0
2015-08-09,23.0
2015-08-16,26.0
2015-08-23,23.0
2015-08-30,21.0
2015-09-06,20.0
2015-09-13,20.0
2015-09-20,20.0
2015-09-27,21.0
2015-10-04,21.0
2015-10-11,24.0
2015-10-18,21.0
2015-10-25,20.0
2015-11-01,19.0
2015-11-08,22.0
2015-11-15,22.0
2015-11-22,21.0
2015-11-29,22.0
2015-12-06,22.0
2015-12-13,20.0
2015-12-20,19.0
2015-12-27,22.0
2016-01-03,23.0
2016-01-10,22.0
2016-01-17,22.0
2016-01-24,21.0
2016-01-31,22.0
2016-02-07,20.0
2016-02-14,22.0
2016-02-21,22.0
2016-02-28,22.0
2016-03-06,20.0
2016-03-13,22.0
2016-03-20,22.0
2016-03-27,22.0
2016-04-03,21.0
2016-04-10,16.0
2016-04-17,18.0
2016-04-24,19.0
2016-05-01,22.0
2016-05-08,20.0
2016-05-15,26.0
2016-05-22,20.0
2016-05-29,19.0
2016-06-05,19.0
2016-06-12,19.0
2016-06-19,18.0
2016-06-26,20.0
2016-07-03,21.0
2016-07-10,21.0
2016-07-17,21.0
2016-07-24,20.0
2016-07-31,21.0
2016-08-07,21.0
2016-08-14,21.0
2016-08-21,20.0
2016-08-28,19.0
2016-09-04,19.0
2016-09-11,20.0
2016-09-18,20.0
2016-09-25,22.0
2016-10-02,21.0
2016-10-09,20.0
2016-10-16,19.0
2016-10-23,21.0
2016-10-30,20.0
2016-11-06,23.0
2016-11-13,21.0
2016-11-20,21.0
2016-11-27,21.0
2016-12-04,25.0
2016-12-11,23.0
2016-12-18,20.0
2016-12-25,20.0
2017-01-01,20.0
2017-01-08,19.0
2017-01-15,19.0
2017-01-22,20.0
2017-01-29,19.0
2017-02-05,21.0
2017-02-12,24.0
2017-02-19,20.0
2017-02-26,20.0
2017-03-05,20.0
2017-03-12,18.0
2017-03-19,19.0
2017-03-26,18.0
2017-04-02,18.0
2017-04-09,16.0
2017-04-16,19.0
2017-04-23,19.0
2017-04-30,20.0
2017-05-07,16.0
2017-05-14,18.0
2017-05-21,20.0
2017-05-28,18.0
2017-06-04,19.0
2017-06-11,20.0
2017-06-18,19.0
2017-06-25,17.0
2017-07-02,18.0
2017-07-09,18.0
2017-07-16,18.0
2017-07-23,21.0
2017-07-30,20.0
2017-08-06,19.0
2017-08-13,19.0
2017-08-20,19.0
2017-08-27,18.0
2017-09-03,18.0
2017-09-10,18.0
2017-09-17,18.0
2017-09-24,20.0
2017-10-01,18.0
2017-10-08,20.0
2017-10-15,18.0
2017-10-22,20.0
2017-10-29,20.0
2017-11-05,22.0
2017-11-12,20.0
2017-11-19,20.0
2017-11-26,22.0
2017-12-03,21.0
2017-12-10,18.0
2017-12-17,19.0
2017-12-24,19.0
2017-12-31,19.0
2018-01-07,18.0
2018-01-14,17.0
2018-01-21,18.0
2018-01-28,17.0
2018-02-04,18.0
2018-02-11,23.0
2018-02-18,21.0
2018-02-25,20.0
2018-03-04,27.0
2018-03-11,23.0
2018-03-18,18.0
2018-03-25,19.0
2018-04-01,18.0
2018-04-08,14.0
2018-04-15,15.0
2018-04-22,15.0
2018-04-29,16.0
2018-05-06,16.0
2018-05-13,17.0
2018-05-20,17.0
2018-05-27,15.0
2018-06-03,16.0
2018-06-10,16.0
2018-06-17,16.0
2018-06-24,17.0
2018-07-01,18.0
2018-07-08,16.0
2018-07-15,16.0
2018-07-22,16.0
2018-07-29,16.0
2018-08-05,17.0
2018-08-12,17.0
2018-08-19,16.0
