,Home Improvement
2018-12-30,69
2019-01-06,74
2019-01-13,56
2019-01-20,78
2019-01-27,72
2019-02-03,70
2019-02-10,76
2019-02-17,82
2019-02-24,76
2019-03-03,75
2019-03-10,76
2019-03-17,79
2019-03-24,71
2019-03-31,69
2019-04-07,70
2019-04-14,67
2019-04-21,71
2019-04-28,72
2019-05-05,54
2019-05-12,62
2019-05-19,63
2019-05-26,59
2019-06-02,63
2019-06-09,63
2019-06-16,65
2019-06-23,81
2019-06-30,80
2019-07-07,86
2019-07-14,81
2019-07-21,65
2019-07-28,65
2019-08-04,65
2019-08-11,64
2019-08-18,68
2019-08-25,67
2019-09-01,65
2019-09-08,64
2019-09-15,58
2019-09-22,61
2019-09-29,68
2019-10-06,65
2019-10-13,61
2019-10-20,74
2019-10-27,55
2019-11-03,58
2019-11-10,70
2019-11-17,66
2019-11-24,65
2019-12-01,68
2019-12-08,65
2019-12-15,61
2019-12-22,77
2019-12-29,65
2020-01-05,68
2020-01-12,73
2020-01-19,69
2020-01-26,73
2020-02-02,68
2020-02-09,65
2020-02-16,67
2020-02-23,66
2020-03-01,65
2020-03-08,68
2020-03-15,61
2020-03-22,67
2020-03-29,70
2020-04-05,62
2020-04-12,63
2020-04-19,48
2020-04-26,38
2020-05-03,41
2020-05-10,40
2020-05-17,46
2020-05-24,43
2020-05-31,54
2020-06-07,48
2020-06-14,47
2020-06-21,62
2020-06-28,52
2020-07-05,55
2020-07-12,57
2020-07-19,55
2020-07-26,59
2020-08-02,74
2020-08-09,64
2020-08-16,57
2020-08-23,53
2020-08-30,53
2020-09-06,52
2020-09-13,59
2020-09-20,60
2020-09-27,68
2020-10-04,67
2020-10-11,62
2020-10-18,69
2020-10-25,62
2020-11-01,71
2020-11-08,64
2020-11-15,53
2020-11-22,75
2020-11-29,67
2020-12-06,68
2020-12-13,61
2020-12-20,66
2020-12-27,66
2021-01-03,66
2021-01-10,67
2021-01-17,73
2021-01-24,75
2021-01-31,74
2021-02-07,74
2021-02-14,65
2021-02-21,74
2021-02-28,80
2021-03-07,75
2021-03-14,78
2021-03-21,81
2021-03-28,97
2021-04-04,72
2021-04-11,73
2021-04-18,72
2021-04-25,74
2021-05-02,77
2021-05-09,61
2021-05-16,79
2021-05-23,75
2021-05-30,89
2021-06-06,84
2021-06-13,86
2021-06-20,82
2021-06-27,69
2021-07-04,79
2021-07-11,79
2021-07-18,78
2021-07-25,79
2021-08-01,73
2021-08-08,82
2021-08-15,99
2021-08-22,84
2021-08-29,89
2021-09-05,92
2021-09-12,79
2021-09-19,84
2021-09-26,81
2021-10-03,80
2021-10-10,72
2021-10-17,74
2021-10-24,78
2021-10-31,80
2021-11-07,78
2021-11-14,82
2021-11-21,79
2021-11-28,74
2021-12-05,82
2021-12-12,76
2021-12-19,80
2021-12-26,87
2022-01-02,83
2022-01-09,78
2022-01-16,79
2022-01-23,72
2022-01-30,87
2022-02-06,77
2022-02-13,75
2022-02-20,74
2022-02-27,80
2022-03-06,90
2022-03-13,83
2022-03-20,74
2022-03-27,74
2022-04-03,69
2022-04-10,76
2022-04-17,68
2022-04-24,74
2022-05-01,62
2022-05-08,79
2022-05-15,79
2022-05-22,80
2022-05-29,73
2022-06-05,66
2022-06-12,72
2022-06-19,74
2022-06-26,59
2022-07-03,65
2022-07-10,56
2022-07-17,81
2022-07-24,61
2022-07-31,76
2022-08-07,80
2022-08-14,82
2022-08-21,75
2022-08-28,73
2022-09-04,77
2022-09-11,73
2022-09-18,72
2022-09-25,65
2022-10-02,66
2022-10-09,76
2022-10-16,77
2022-10-23,73
2022-10-30,66
2022-11-06,76
2022-11-13,76
2022-11-20,79
2022-11-27,90
2022-12-04,98
2022-12-11,86
2022-12-18,75
2022-12-25,77
2023-01-01,78
2023-01-08,71
2023-01-15,67
2023-01-22,81
2023-01-29,80
2023-02-05,77
2023-02-12,75
2023-02-19,81
2023-02-26,76
2023-03-05,81
2023-03-12,79
2023-03-19,81
2023-03-26,74
2023-04-02,66
2023-04-09,70
2023-04-16,66
2023-04-23,72
2023-04-30,75
2023-05-07,72
2023-05-14,77
2023-05-21,78
2023-05-28,79
2023-06-04,78
2023-06-11,75
2023-06-18,80
2023-06-25,64
2023-07-02,73
2023-07-09,76
2023-07-16,81
2023-07-23,68
2023-07-30,67
2023-08-06,77
2023-08-13,87
2023-08-20,83
2023-08-27,93
2023-09-03,73
2023-09-10,81
2023-09-17,87
2023-09-24,71
2023-10-01,83
2023-10-08,82
2023-10-15,92
2023-10-22,94
2023-10-29,92
2023-11-05,89
2023-11-12,97
2023-11-19,86
2023-11-26,100
2023-12-03,92
2023-12-10,89
2023-12-17,87
2023-12-24,93
2023-12-31,93
2024-01-07,95
