,Accounting & Auditing
2018-12-30,68
2019-01-06,66
2019-01-13,71
2019-01-20,80
2019-01-27,84
2019-02-03,73
2019-02-10,64
2019-02-17,78
2019-02-24,71
2019-03-03,75
2019-03-10,57
2019-03-17,67
2019-03-24,67
2019-03-31,71
2019-04-07,66
2019-04-14,57
2019-04-21,57
2019-04-28,66
2019-05-05,48
2019-05-12,59
2019-05-19,43
2019-05-26,58
2019-06-02,38
2019-06-09,42
2019-06-16,68
2019-06-23,73
2019-06-30,71
2019-07-07,60
2019-07-14,71
2019-07-21,58
2019-07-28,76
2019-08-04,69
2019-08-11,34
2019-08-18,50
2019-08-25,68
2019-09-01,51
2019-09-08,63
2019-09-15,53
2019-09-22,58
2019-09-29,57
2019-10-06,80
2019-10-13,78
2019-10-20,85
2019-10-27,67
2019-11-03,63
2019-11-10,59
2019-11-17,56
2019-11-24,48
2019-12-01,59
2019-12-08,64
2019-12-15,46
2019-12-22,64
2019-12-29,66
2020-01-05,63
2020-01-12,57
2020-01-19,62
2020-01-26,83
2020-02-02,69
2020-02-09,87
2020-02-16,80
2020-02-23,57
2020-03-01,86
2020-03-08,50
2020-03-15,73
2020-03-22,63
2020-03-29,50
2020-04-05,57
2020-04-12,44
2020-04-19,33
2020-04-26,37
2020-05-03,34
2020-05-10,24
2020-05-17,33
2020-05-24,33
2020-05-31,38
2020-06-07,41
2020-06-14,68
2020-06-21,53
2020-06-28,52
2020-07-05,67
2020-07-12,72
2020-07-19,49
2020-07-26,44
2020-08-02,51
2020-08-09,68
2020-08-16,46
2020-08-23,44
2020-08-30,64
2020-09-06,55
2020-09-13,79
2020-09-20,52
2020-09-27,66
2020-10-04,48
2020-10-11,53
2020-10-18,56
2020-10-25,62
2020-11-01,55
2020-11-08,65
2020-11-15,50
2020-11-22,51
2020-11-29,48
2020-12-06,48
2020-12-13,62
2020-12-20,48
2020-12-27,67
2021-01-03,60
2021-01-10,60
2021-01-17,43
2021-01-24,86
2021-01-31,61
2021-02-07,83
2021-02-14,59
2021-02-21,62
2021-02-28,67
2021-03-07,73
2021-03-14,75
2021-03-21,80
2021-03-28,89
2021-04-04,82
2021-04-11,61
2021-04-18,61
2021-04-25,64
2021-05-02,61
2021-05-09,66
2021-05-16,66
2021-05-23,59
2021-05-30,87
2021-06-06,90
2021-06-13,85
2021-06-20,61
2021-06-27,61
2021-07-04,53
2021-07-11,57
2021-07-18,46
2021-07-25,50
2021-08-01,64
2021-08-08,75
2021-08-15,84
2021-08-22,81
2021-08-29,93
2021-09-05,72
2021-09-12,74
2021-09-19,67
2021-09-26,73
2021-10-03,67
2021-10-10,67
2021-10-17,65
2021-10-24,96
2021-10-31,97
2021-11-07,80
2021-11-14,83
2021-11-21,85
2021-11-28,93
2021-12-05,98
2021-12-12,69
2021-12-19,91
2021-12-26,65
2022-01-02,50
2022-01-09,66
2022-01-16,53
2022-01-23,64
2022-01-30,59
2022-02-06,82
2022-02-13,83
2022-02-20,78
2022-02-27,68
2022-03-06,76
2022-03-13,76
2022-03-20,76
2022-03-27,61
2022-04-03,69
2022-04-10,68
2022-04-17,84
2022-04-24,79
2022-05-01,54
2022-05-08,78
2022-05-15,82
2022-05-22,92
2022-05-29,74
2022-06-05,81
2022-06-12,87
2022-06-19,57
2022-06-26,59
2022-07-03,50
2022-07-10,40
2022-07-17,64
2022-07-24,62
2022-07-31,73
2022-08-07,67
2022-08-14,95
2022-08-21,94
2022-08-28,81
2022-09-04,71
2022-09-11,74
2022-09-18,69
2022-09-25,64
2022-10-02,57
2022-10-09,72
2022-10-16,82
2022-10-23,77
2022-10-30,74
2022-11-06,89
2022-11-13,75
2022-11-20,66
2022-11-27,75
2022-12-04,85
2022-12-11,72
2022-12-18,58
2022-12-25,58
2023-01-01,82
2023-01-08,58
2023-01-15,47
2023-01-22,87
2023-01-29,70
2023-02-05,66
2023-02-12,70
2023-02-19,74
2023-02-26,71
2023-03-05,72
2023-03-12,76
2023-03-19,71
2023-03-26,72
2023-04-02,81
2023-04-09,67
2023-04-16,50
2023-04-23,62
2023-04-30,78
2023-05-07,66
2023-05-14,81
2023-05-21,82
2023-05-28,80
2023-06-04,94
2023-06-11,70
2023-06-18,56
2023-06-25,40
2023-07-02,45
2023-07-09,68
2023-07-16,55
2023-07-23,58
2023-07-30,67
2023-08-06,68
2023-08-13,74
2023-08-20,69
2023-08-27,90
2023-09-03,68
2023-09-10,65
2023-09-17,60
2023-09-24,64
2023-10-01,66
2023-10-08,83
2023-10-15,76
2023-10-22,91
2023-10-29,87
2023-11-05,86
2023-11-12,84
2023-11-19,91
2023-11-26,92
2023-12-03,100
2023-12-10,75
2023-12-17,73
2023-12-24,60
2023-12-31,64
2024-01-07,95
