,Real Estate
2018-12-30,69
2019-01-06,63
2019-01-13,63
2019-01-20,66
2019-01-27,59
2019-02-03,65
2019-02-10,62
2019-02-17,68
2019-02-24,70
2019-03-03,63
2019-03-10,57
2019-03-17,73
2019-03-24,55
2019-03-31,46
2019-04-07,49
2019-04-14,55
2019-04-21,58
2019-04-28,57
2019-05-05,43
2019-05-12,45
2019-05-19,52
2019-05-26,41
2019-06-02,55
2019-06-09,66
2019-06-16,51
2019-06-23,60
2019-06-30,55
2019-07-07,57
2019-07-14,62
2019-07-21,63
2019-07-28,56
2019-08-04,49
2019-08-11,50
2019-08-18,55
2019-08-25,53
2019-09-01,51
2019-09-08,50
2019-09-15,51
2019-09-22,44
2019-09-29,50
2019-10-06,46
2019-10-13,49
2019-10-20,46
2019-10-27,56
2019-11-03,54
2019-11-10,59
2019-11-17,48
2019-11-24,50
2019-12-01,48
2019-12-08,54
2019-12-15,52
2019-12-22,61
2019-12-29,58
2020-01-05,53
2020-01-12,57
2020-01-19,53
2020-01-26,58
2020-02-02,54
2020-02-09,56
2020-02-16,55
2020-02-23,56
2020-03-01,49
2020-03-08,43
2020-03-15,41
2020-03-22,31
2020-03-29,40
2020-04-05,35
2020-04-12,27
2020-04-19,32
2020-04-26,31
2020-05-03,36
2020-05-10,33
2020-05-17,45
2020-05-24,53
2020-05-31,61
2020-06-07,58
2020-06-14,36
2020-06-21,36
2020-06-28,41
2020-07-05,32
2020-07-12,37
2020-07-19,37
2020-07-26,38
2020-08-02,39
2020-08-09,40
2020-08-16,31
2020-08-23,34
2020-08-30,29
2020-09-06,28
2020-09-13,30
2020-09-20,31
2020-09-27,37
2020-10-04,44
2020-10-11,37
2020-10-18,36
2020-10-25,46
2020-11-01,39
2020-11-08,36
2020-11-15,40
2020-11-22,37
2020-11-29,38
2020-12-06,50
2020-12-13,43
2020-12-20,60
2020-12-27,66
2021-01-03,52
2021-01-10,50
2021-01-17,52
2021-01-24,55
2021-01-31,51
2021-02-07,57
2021-02-14,61
2021-02-21,59
2021-02-28,57
2021-03-07,59
2021-03-14,61
2021-03-21,58
2021-03-28,59
2021-04-04,53
2021-04-11,48
2021-04-18,50
2021-04-25,69
2021-05-02,52
2021-05-09,60
2021-05-16,62
2021-05-23,96
2021-05-30,93
2021-06-06,86
2021-06-13,90
2021-06-20,100
2021-06-27,79
2021-07-04,63
2021-07-11,60
2021-07-18,48
2021-07-25,54
2021-08-01,58
2021-08-08,58
2021-08-15,65
2021-08-22,61
2021-08-29,62
2021-09-05,61
2021-09-12,56
2021-09-19,52
2021-09-26,51
2021-10-03,59
2021-10-10,46
2021-10-17,52
2021-10-24,54
2021-10-31,62
2021-11-07,64
2021-11-14,68
2021-11-21,63
2021-11-28,63
2021-12-05,62
2021-12-12,55
2021-12-19,67
2021-12-26,77
2022-01-02,62
2022-01-09,51
2022-01-16,54
2022-01-23,57
2022-01-30,58
2022-02-06,56
2022-02-13,55
2022-02-20,54
2022-02-27,63
2022-03-06,62
2022-03-13,52
2022-03-20,58
2022-03-27,46
2022-04-03,47
2022-04-10,52
2022-04-17,52
2022-04-24,50
2022-05-01,48
2022-05-08,58
2022-05-15,51
2022-05-22,57
2022-05-29,55
2022-06-05,60
2022-06-12,54
2022-06-19,51
2022-06-26,53
2022-07-03,55
2022-07-10,50
2022-07-17,62
2022-07-24,54
2022-07-31,53
2022-08-07,50
2022-08-14,60
2022-08-21,59
2022-08-28,59
2022-09-04,56
2022-09-11,50
2022-09-18,48
2022-09-25,55
2022-10-02,54
2022-10-09,60
2022-10-16,49
2022-10-23,47
2022-10-30,50
2022-11-06,52
2022-11-13,52
2022-11-20,52
2022-11-27,52
2022-12-04,51
2022-12-11,58
2022-12-18,55
2022-12-25,55
2023-01-01,54
2023-01-08,60
2023-01-15,58
2023-01-22,63
2023-01-29,59
2023-02-05,57
2023-02-12,58
2023-02-19,66
2023-02-26,56
2023-03-05,55
2023-03-12,55
2023-03-19,49
2023-03-26,53
2023-04-02,55
2023-04-09,55
2023-04-16,49
2023-04-23,60
2023-04-30,53
2023-05-07,47
2023-05-14,58
2023-05-21,54
2023-05-28,56
2023-06-04,55
2023-06-11,57
2023-06-18,58
2023-06-25,55
2023-07-02,54
2023-07-09,55
2023-07-16,57
2023-07-23,59
2023-07-30,63
2023-08-06,67
2023-08-13,73
2023-08-20,74
2023-08-27,67
2023-09-03,67
2023-09-10,59
2023-09-17,63
2023-09-24,59
2023-10-01,58
2023-10-08,62
2023-10-15,63
2023-10-22,65
2023-10-29,68
2023-11-05,70
2023-11-12,80
2023-11-19,69
2023-11-26,65
2023-12-03,70
2023-12-10,62
2023-12-17,79
2023-12-24,74
2023-12-31,75
2024-01-07,73
