,Investing
2018-12-30,60
2019-01-06,53
2019-01-13,49
2019-01-20,56
2019-01-27,47
2019-02-03,48
2019-02-10,58
2019-02-17,49
2019-02-24,49
2019-03-03,66
2019-03-10,54
2019-03-17,46
2019-03-24,55
2019-03-31,52
2019-04-07,41
2019-04-14,37
2019-04-21,56
2019-04-28,49
2019-05-05,44
2019-05-12,48
2019-05-19,50
2019-05-26,43
2019-06-02,53
2019-06-09,55
2019-06-16,50
2019-06-23,49
2019-06-30,55
2019-07-07,66
2019-07-14,52
2019-07-21,54
2019-07-28,57
2019-08-04,65
2019-08-11,45
2019-08-18,56
2019-08-25,56
2019-09-01,45
2019-09-08,45
2019-09-15,48
2019-09-22,43
2019-09-29,56
2019-10-06,45
2019-10-13,47
2019-10-20,63
2019-10-27,45
2019-11-03,50
2019-11-10,45
2019-11-17,46
2019-11-24,55
2019-12-01,53
2019-12-08,54
2019-12-15,67
2019-12-22,42
2019-12-29,55
2020-01-05,57
2020-01-12,62
2020-01-19,56
2020-01-26,63
2020-02-02,59
2020-02-09,67
2020-02-16,64
2020-02-23,78
2020-03-01,86
2020-03-08,80
2020-03-15,98
2020-03-22,53
2020-03-29,53
2020-04-05,50
2020-04-12,53
2020-04-19,51
2020-04-26,40
2020-05-03,51
2020-05-10,47
2020-05-17,37
2020-05-24,36
2020-05-31,51
2020-06-07,44
2020-06-14,40
2020-06-21,55
2020-06-28,27
2020-07-05,44
2020-07-12,43
2020-07-19,47
2020-07-26,48
2020-08-02,52
2020-08-09,50
2020-08-16,46
2020-08-23,36
2020-08-30,41
2020-09-06,54
2020-09-13,43
2020-09-20,44
2020-09-27,54
2020-10-04,44
2020-10-11,56
2020-10-18,52
2020-10-25,56
2020-11-01,45
2020-11-08,52
2020-11-15,49
2020-11-22,54
2020-11-29,49
2020-12-06,55
2020-12-13,54
2020-12-20,50
2020-12-27,79
2021-01-03,64
2021-01-10,83
2021-01-17,63
2021-01-24,59
2021-01-31,65
2021-02-07,79
2021-02-14,63
2021-02-21,87
2021-02-28,66
2021-03-07,79
2021-03-14,64
2021-03-21,72
2021-03-28,69
2021-04-04,68
2021-04-11,71
2021-04-18,59
2021-04-25,53
2021-05-02,59
2021-05-09,58
2021-05-16,55
2021-05-23,54
2021-05-30,61
2021-06-06,51
2021-06-13,49
2021-06-20,46
2021-06-27,51
2021-07-04,46
2021-07-11,59
2021-07-18,48
2021-07-25,43
2021-08-01,51
2021-08-08,57
2021-08-15,76
2021-08-22,79
2021-08-29,72
2021-09-05,82
2021-09-12,92
2021-09-19,67
2021-09-26,73
2021-10-03,83
2021-10-10,70
2021-10-17,87
2021-10-24,69
2021-10-31,75
2021-11-07,64
2021-11-14,80
2021-11-21,73
2021-11-28,66
2021-12-05,77
2021-12-12,80
2021-12-19,84
2021-12-26,75
2022-01-02,96
2022-01-09,65
2022-01-16,72
2022-01-23,85
2022-01-30,61
2022-02-06,84
2022-02-13,74
2022-02-20,83
2022-02-27,80
2022-03-06,82
2022-03-13,85
2022-03-20,80
2022-03-27,79
2022-04-03,80
2022-04-10,77
2022-04-17,81
2022-04-24,72
2022-05-01,62
2022-05-08,77
2022-05-15,79
2022-05-22,76
2022-05-29,68
2022-06-05,69
2022-06-12,76
2022-06-19,57
2022-06-26,63
2022-07-03,67
2022-07-10,56
2022-07-17,66
2022-07-24,66
2022-07-31,67
2022-08-07,56
2022-08-14,98
2022-08-21,78
2022-08-28,66
2022-09-04,74
2022-09-11,79
2022-09-18,68
2022-09-25,66
2022-10-02,66
2022-10-09,79
2022-10-16,61
2022-10-23,70
2022-10-30,68
2022-11-06,63
2022-11-13,80
2022-11-20,57
2022-11-27,55
2022-12-04,67
2022-12-11,75
2022-12-18,72
2022-12-25,77
2023-01-01,69
2023-01-08,85
2023-01-15,73
2023-01-22,69
2023-01-29,88
2023-02-05,78
2023-02-12,75
2023-02-19,77
2023-02-26,73
2023-03-05,84
2023-03-12,86
2023-03-19,74
2023-03-26,69
2023-04-02,79
2023-04-09,73
2023-04-16,62
2023-04-23,78
2023-04-30,63
2023-05-07,65
2023-05-14,82
2023-05-21,61
2023-05-28,78
2023-06-04,57
2023-06-11,79
2023-06-18,69
2023-06-25,65
2023-07-02,59
2023-07-09,76
2023-07-16,94
2023-07-23,86
2023-07-30,87
2023-08-06,86
2023-08-13,79
2023-08-20,80
2023-08-27,69
2023-09-03,71
2023-09-10,70
2023-09-17,69
2023-09-24,49
2023-10-01,64
2023-10-08,57
2023-10-15,78
2023-10-22,71
2023-10-29,76
2023-11-05,85
2023-11-12,56
2023-11-19,82
2023-11-26,77
2023-12-03,100
2023-12-10,91
2023-12-17,90
2023-12-24,89
2023-12-31,78
2024-01-07,83
