,Performing Arts
2018-12-30,80
2019-01-06,83
2019-01-13,66
2019-01-20,77
2019-01-27,82
2019-02-03,100
2019-02-10,67
2019-02-17,65
2019-02-24,79
2019-03-03,70
2019-03-10,57
2019-03-17,64
2019-03-24,69
2019-03-31,67
2019-04-07,82
2019-04-14,70
2019-04-21,45
2019-04-28,53
2019-05-05,45
2019-05-12,27
2019-05-19,70
2019-05-26,74
2019-06-02,53
2019-06-09,71
2019-06-16,62
2019-06-23,72
2019-06-30,87
2019-07-07,66
2019-07-14,65
2019-07-21,78
2019-07-28,82
2019-08-04,60
2019-08-11,64
2019-08-18,49
2019-08-25,63
2019-09-01,53
2019-09-08,49
2019-09-15,55
2019-09-22,64
2019-09-29,83
2019-10-06,62
2019-10-13,62
2019-10-20,66
2019-10-27,42
2019-11-03,59
2019-11-10,59
2019-11-17,74
2019-11-24,47
2019-12-01,70
2019-12-08,64
2019-12-15,82
2019-12-22,86
2019-12-29,80
2020-01-05,57
2020-01-12,77
2020-01-19,77
2020-01-26,54
2020-02-02,81
2020-02-09,79
2020-02-16,78
2020-02-23,64
2020-03-01,72
2020-03-08,64
2020-03-15,60
2020-03-22,77
2020-03-29,76
2020-04-05,62
2020-04-12,38
2020-04-19,48
2020-04-26,35
2020-05-03,40
2020-05-10,40
2020-05-17,36
2020-05-24,41
2020-05-31,53
2020-06-07,35
2020-06-14,41
2020-06-21,29
2020-06-28,51
2020-07-05,46
2020-07-12,39
2020-07-19,41
2020-07-26,25
2020-08-02,46
2020-08-09,45
2020-08-16,35
2020-08-23,55
2020-08-30,40
2020-09-06,36
2020-09-13,59
2020-09-20,37
2020-09-27,55
2020-10-04,50
2020-10-11,38
2020-10-18,47
2020-10-25,58
2020-11-01,52
2020-11-08,42
2020-11-15,59
2020-11-22,53
2020-11-29,61
2020-12-06,53
2020-12-13,40
2020-12-20,64
2020-12-27,42
2021-01-03,73
2021-01-10,83
2021-01-17,30
2021-01-24,62
2021-01-31,55
2021-02-07,63
2021-02-14,72
2021-02-21,51
2021-02-28,53
2021-03-07,53
2021-03-14,74
2021-03-21,74
2021-03-28,63
2021-04-04,82
2021-04-11,56
2021-04-18,50
2021-04-25,52
2021-05-02,71
2021-05-09,72
2021-05-16,61
2021-05-23,74
2021-05-30,53
2021-06-06,64
2021-06-13,46
2021-06-20,58
2021-06-27,62
2021-07-04,56
2021-07-11,54
2021-07-18,68
2021-07-25,53
2021-08-01,59
2021-08-08,54
2021-08-15,59
2021-08-22,75
2021-08-29,69
2021-09-05,70
2021-09-12,71
2021-09-19,38
2021-09-26,53
2021-10-03,67
2021-10-10,45
2021-10-17,55
2021-10-24,51
2021-10-31,76
2021-11-07,66
2021-11-14,69
2021-11-21,53
2021-11-28,63
2021-12-05,70
2021-12-12,67
2021-12-19,72
2021-12-26,80
2022-01-02,71
2022-01-09,76
2022-01-16,57
2022-01-23,48
2022-01-30,43
2022-02-06,64
2022-02-13,61
2022-02-20,49
2022-02-27,59
2022-03-06,44
2022-03-13,54
2022-03-20,50
2022-03-27,66
2022-04-03,36
2022-04-10,51
2022-04-17,38
2022-04-24,60
2022-05-01,46
2022-05-08,66
2022-05-15,62
2022-05-22,57
2022-05-29,47
2022-06-05,42
2022-06-12,54
2022-06-19,62
2022-06-26,57
2022-07-03,40
2022-07-10,51
2022-07-17,62
2022-07-24,45
2022-07-31,67
2022-08-07,63
2022-08-14,60
2022-08-21,60
2022-08-28,49
2022-09-04,58
2022-09-11,56
2022-09-18,54
2022-09-25,58
2022-10-02,53
2022-10-09,62
2022-10-16,64
2022-10-23,61
2022-10-30,61
2022-11-06,54
2022-11-13,59
2022-11-20,55
2022-11-27,48
2022-12-04,50
2022-12-11,51
2022-12-18,64
2022-12-25,72
2023-01-01,65
2023-01-08,63
2023-01-15,76
2023-01-22,60
2023-01-29,59
2023-02-05,74
2023-02-12,65
2023-02-19,59
2023-02-26,47
2023-03-05,62
2023-03-12,45
2023-03-19,58
2023-03-26,49
2023-04-02,58
2023-04-09,58
2023-04-16,65
2023-04-23,53
2023-04-30,55
2023-05-07,55
2023-05-14,45
2023-05-21,40
2023-05-28,38
2023-06-04,57
2023-06-11,51
2023-06-18,51
2023-06-25,20
2023-07-02,38
2023-07-09,29
2023-07-16,68
2023-07-23,68
2023-07-30,62
2023-08-06,61
2023-08-13,44
2023-08-20,57
2023-08-27,58
2023-09-03,58
2023-09-10,50
2023-09-17,61
2023-09-24,77
2023-10-01,49
2023-10-08,34
2023-10-15,43
2023-10-22,45
2023-10-29,78
2023-11-05,58
2023-11-12,81
2023-11-19,77
2023-11-26,66
2023-12-03,78
2023-12-10,67
2023-12-17,67
2023-12-24,88
2023-12-31,70
2024-01-07,72
