,Customer Relationship Management (CRM)
2018-12-30,50
2019-01-06,52
2019-01-13,46
2019-01-20,50
2019-01-27,60
2019-02-03,51
2019-02-10,55
2019-02-17,54
2019-02-24,53
2019-03-03,54
2019-03-10,55
2019-03-17,49
2019-03-24,56
2019-03-31,57
2019-04-07,51
2019-04-14,44
2019-04-21,48
2019-04-28,47
2019-05-05,58
2019-05-12,56
2019-05-19,56
2019-05-26,58
2019-06-02,52
2019-06-09,58
2019-06-16,61
2019-06-23,61
2019-06-30,57
2019-07-07,53
2019-07-14,65
2019-07-21,66
2019-07-28,63
2019-08-04,62
2019-08-11,48
2019-08-18,64
2019-08-25,67
2019-09-01,60
2019-09-08,63
2019-09-15,71
2019-09-22,69
2019-09-29,57
2019-10-06,51
2019-10-13,69
2019-10-20,58
2019-10-27,50
2019-11-03,64
2019-11-10,65
2019-11-17,73
2019-11-24,67
2019-12-01,64
2019-12-08,64
2019-12-15,67
2019-12-22,60
2019-12-29,56
2020-01-05,67
2020-01-12,57
2020-01-19,67
2020-01-26,66
2020-02-02,66
2020-02-09,68
2020-02-16,68
2020-02-23,69
2020-03-01,68
2020-03-08,53
2020-03-15,59
2020-03-22,39
2020-03-29,46
2020-04-05,45
2020-04-12,47
2020-04-19,51
2020-04-26,44
2020-05-03,49
2020-05-10,51
2020-05-17,49
2020-05-24,46
2020-05-31,53
2020-06-07,53
2020-06-14,53
2020-06-21,58
2020-06-28,57
2020-07-05,59
2020-07-12,60
2020-07-19,60
2020-07-26,60
2020-08-02,55
2020-08-09,56
2020-08-16,59
2020-08-23,59
2020-08-30,62
2020-09-06,62
2020-09-13,62
2020-09-20,62
2020-09-27,53
2020-10-04,57
2020-10-11,55
2020-10-18,54
2020-10-25,48
2020-11-01,46
2020-11-08,40
2020-11-15,41
2020-11-22,46
2020-11-29,49
2020-12-06,47
2020-12-13,52
2020-12-20,41
2020-12-27,40
2021-01-03,50
2021-01-10,47
2021-01-17,55
2021-01-24,48
2021-01-31,56
2021-02-07,56
2021-02-14,54
2021-02-21,56
2021-02-28,56
2021-03-07,51
2021-03-14,56
2021-03-21,61
2021-03-28,49
2021-04-04,57
2021-04-11,49
2021-04-18,53
2021-04-25,49
2021-05-02,47
2021-05-09,53
2021-05-16,53
2021-05-23,58
2021-05-30,58
2021-06-06,60
2021-06-13,60
2021-06-20,63
2021-06-27,63
2021-07-04,61
2021-07-11,64
2021-07-18,64
2021-07-25,68
2021-08-01,64
2021-08-08,64
2021-08-15,60
2021-08-22,61
2021-08-29,61
2021-09-05,59
2021-09-12,64
2021-09-19,65
2021-09-26,62
2021-10-03,63
2021-10-10,52
2021-10-17,63
2021-10-24,63
2021-10-31,41
2021-11-07,77
2021-11-14,72
2021-11-21,69
2021-11-28,66
2021-12-05,69
2021-12-12,69
2021-12-19,71
2021-12-26,62
2022-01-02,77
2022-01-09,76
2022-01-16,82
2022-01-23,73
2022-01-30,85
2022-02-06,76
2022-02-13,83
2022-02-20,78
2022-02-27,79
2022-03-06,81
2022-03-13,74
2022-03-20,79
2022-03-27,79
2022-04-03,83
2022-04-10,75
2022-04-17,84
2022-04-24,87
2022-05-01,76
2022-05-08,85
2022-05-15,87
2022-05-22,87
2022-05-29,85
2022-06-05,85
2022-06-12,91
2022-06-19,92
2022-06-26,96
2022-07-03,92
2022-07-10,96
2022-07-17,95
2022-07-24,92
2022-07-31,89
2022-08-07,81
2022-08-14,79
2022-08-21,96
2022-08-28,81
2022-09-04,87
2022-09-11,94
2022-09-18,94
2022-09-25,93
2022-10-02,73
2022-10-09,97
2022-10-16,86
2022-10-23,69
2022-10-30,94
2022-11-06,94
2022-11-13,100
2022-11-20,89
2022-11-27,88
2022-12-04,83
2022-12-11,91
2022-12-18,90
2022-12-25,79
2023-01-01,90
2023-01-08,85
2023-01-15,86
2023-01-22,78
2023-01-29,89
2023-02-05,88
2023-02-12,89
2023-02-19,90
2023-02-26,91
2023-03-05,77
2023-03-12,89
2023-03-19,86
2023-03-26,90
2023-04-02,84
2023-04-09,87
2023-04-16,88
2023-04-23,89
2023-04-30,81
2023-05-07,85
2023-05-14,84
2023-05-21,86
2023-05-28,87
2023-06-04,85
2023-06-11,94
2023-06-18,91
2023-06-25,87
2023-07-02,90
2023-07-09,98
2023-07-16,96
2023-07-23,93
2023-07-30,95
2023-08-06,97
2023-08-13,83
2023-08-20,97
2023-08-27,90
2023-09-03,88
2023-09-10,90
2023-09-17,81
2023-09-24,93
2023-10-01,82
2023-10-08,87
2023-10-15,93
2023-10-22,76
2023-10-29,84
2023-11-05,86
2023-11-12,71
2023-11-19,89
2023-11-26,91
2023-12-03,93
2023-12-10,91
2023-12-17,92
2023-12-24,82
2023-12-31,94
2024-01-07,96
