,Professional & Trade Associations
2018-12-30,0
2019-01-06,0
2019-01-13,37
2019-01-20,30
2019-01-27,30
2019-02-03,0
2019-02-10,46
2019-02-17,80
2019-02-24,66
2019-03-03,52
2019-03-10,44
2019-03-17,40
2019-03-24,51
2019-03-31,29
2019-04-07,34
2019-04-14,44
2019-04-21,47
2019-04-28,22
2019-05-05,0
2019-05-12,24
2019-05-19,36
2019-05-26,23
2019-06-02,20
2019-06-09,22
2019-06-16,48
2019-06-23,69
2019-06-30,31
2019-07-07,20
2019-07-14,27
2019-07-21,35
2019-07-28,53
2019-08-04,53
2019-08-11,22
2019-08-18,37
2019-08-25,37
2019-09-01,22
2019-09-08,38
2019-09-15,37
2019-09-22,34
2019-09-29,20
2019-10-06,39
2019-10-13,41
2019-10-20,20
2019-10-27,44
2019-11-03,33
2019-11-10,32
2019-11-17,63
2019-11-24,46
2019-12-01,38
2019-12-08,32
2019-12-15,0
2019-12-22,0
2019-12-29,22
2020-01-05,0
2020-01-12,41
2020-01-19,55
2020-01-26,56
2020-02-02,61
2020-02-09,77
2020-02-16,47
2020-02-23,35
2020-03-01,39
2020-03-08,41
2020-03-15,53
2020-03-22,29
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,23
2020-05-24,17
2020-05-31,31
2020-06-07,50
2020-06-14,29
2020-06-21,48
2020-06-28,67
2020-07-05,84
2020-07-12,78
2020-07-19,67
2020-07-26,43
2020-08-02,78
2020-08-09,40
2020-08-16,46
2020-08-23,53
2020-08-30,38
2020-09-06,19
2020-09-13,41
2020-09-20,53
2020-09-27,49
2020-10-04,45
2020-10-11,25
2020-10-18,44
2020-10-25,32
2020-11-01,29
2020-11-08,65
2020-11-15,48
2020-11-22,50
2020-11-29,39
2020-12-06,33
2020-12-13,57
2020-12-20,42
2020-12-27,38
2021-01-03,29
2021-01-10,27
2021-01-17,61
2021-01-24,91
2021-01-31,54
2021-02-07,36
2021-02-14,49
2021-02-21,43
2021-02-28,30
2021-03-07,31
2021-03-14,52
2021-03-21,37
2021-03-28,36
2021-04-04,26
2021-04-11,29
2021-04-18,35
2021-04-25,34
2021-05-02,26
2021-05-09,30
2021-05-16,29
2021-05-23,52
2021-05-30,62
2021-06-06,46
2021-06-13,34
2021-06-20,30
2021-06-27,48
2021-07-04,0
2021-07-11,18
2021-07-18,19
2021-07-25,0
2021-08-01,0
2021-08-08,50
2021-08-15,71
2021-08-22,57
2021-08-29,50
2021-09-05,32
2021-09-12,30
2021-09-19,29
2021-09-26,45
2021-10-03,42
2021-10-10,50
2021-10-17,23
2021-10-24,27
2021-10-31,31
2021-11-07,47
2021-11-14,56
2021-11-21,65
2021-11-28,45
2021-12-05,40
2021-12-12,37
2021-12-19,49
2021-12-26,0
2022-01-02,34
2022-01-09,38
2022-01-16,39
2022-01-23,47
2022-01-30,63
2022-02-06,50
2022-02-13,58
2022-02-20,52
2022-02-27,36
2022-03-06,33
2022-03-13,32
2022-03-20,27
2022-03-27,50
2022-04-03,37
2022-04-10,52
2022-04-17,49
2022-04-24,32
2022-05-01,17
2022-05-08,71
2022-05-15,71
2022-05-22,99
2022-05-29,77
2022-06-05,82
2022-06-12,46
2022-06-19,56
2022-06-26,44
2022-07-03,26
2022-07-10,27
2022-07-17,42
2022-07-24,37
2022-07-31,52
2022-08-07,74
2022-08-14,82
2022-08-21,52
2022-08-28,53
2022-09-04,57
2022-09-11,54
2022-09-18,57
2022-09-25,53
2022-10-02,38
2022-10-09,53
2022-10-16,44
2022-10-23,36
2022-10-30,56
2022-11-06,58
2022-11-13,71
2022-11-20,63
2022-11-27,57
2022-12-04,40
2022-12-11,51
2022-12-18,70
2022-12-25,0
2023-01-01,21
2023-01-08,32
2023-01-15,41
2023-01-22,46
2023-01-29,54
2023-02-05,47
2023-02-12,52
2023-02-19,53
2023-02-26,31
2023-03-05,46
2023-03-12,48
2023-03-19,42
2023-03-26,25
2023-04-02,41
2023-04-09,45
2023-04-16,33
2023-04-23,38
2023-04-30,40
2023-05-07,32
2023-05-14,53
2023-05-21,72
2023-05-28,56
2023-06-04,45
2023-06-11,35
2023-06-18,57
2023-06-25,15
2023-07-02,17
2023-07-09,21
2023-07-16,20
2023-07-23,20
2023-07-30,51
2023-08-06,38
2023-08-13,100
2023-08-20,75
2023-08-27,47
2023-09-03,53
2023-09-10,48
2023-09-17,46
2023-09-24,28
2023-10-01,33
2023-10-08,57
2023-10-15,65
2023-10-22,63
2023-10-29,44
2023-11-05,45
2023-11-12,79
2023-11-19,68
2023-11-26,66
2023-12-03,67
2023-12-10,35
2023-12-17,32
2023-12-24,35
2023-12-31,30
2024-01-07,36
