,Cleaning Supplies & Services
2018-12-30,58
2019-01-06,61
2019-01-13,45
2019-01-20,71
2019-01-27,51
2019-02-03,58
2019-02-10,56
2019-02-17,55
2019-02-24,55
2019-03-03,62
2019-03-10,57
2019-03-17,59
2019-03-24,61
2019-03-31,45
2019-04-07,48
2019-04-14,46
2019-04-21,35
2019-04-28,47
2019-05-05,43
2019-05-12,47
2019-05-19,45
2019-05-26,56
2019-06-02,51
2019-06-09,60
2019-06-16,61
2019-06-23,62
2019-06-30,56
2019-07-07,58
2019-07-14,55
2019-07-21,61
2019-07-28,62
2019-08-04,61
2019-08-11,45
2019-08-18,54
2019-08-25,54
2019-09-01,55
2019-09-08,50
2019-09-15,56
2019-09-22,61
2019-09-29,60
2019-10-06,59
2019-10-13,59
2019-10-20,48
2019-10-27,48
2019-11-03,68
2019-11-10,51
2019-11-17,45
2019-11-24,61
2019-12-01,62
2019-12-08,50
2019-12-15,54
2019-12-22,56
2019-12-29,53
2020-01-05,69
2020-01-12,56
2020-01-19,60
2020-01-26,55
2020-02-02,58
2020-02-09,68
2020-02-16,51
2020-02-23,60
2020-03-01,62
2020-03-08,57
2020-03-15,60
2020-03-22,51
2020-03-29,48
2020-04-05,49
2020-04-12,47
2020-04-19,46
2020-04-26,50
2020-05-03,54
2020-05-10,50
2020-05-17,49
2020-05-24,47
2020-05-31,54
2020-06-07,53
2020-06-14,55
2020-06-21,60
2020-06-28,63
2020-07-05,71
2020-07-12,66
2020-07-19,61
2020-07-26,65
2020-08-02,52
2020-08-09,63
2020-08-16,64
2020-08-23,58
2020-08-30,69
2020-09-06,51
2020-09-13,61
2020-09-20,55
2020-09-27,63
2020-10-04,57
2020-10-11,59
2020-10-18,60
2020-10-25,59
2020-11-01,54
2020-11-08,60
2020-11-15,59
2020-11-22,59
2020-11-29,67
2020-12-06,60
2020-12-13,61
2020-12-20,57
2020-12-27,60
2021-01-03,62
2021-01-10,58
2021-01-17,72
2021-01-24,65
2021-01-31,57
2021-02-07,71
2021-02-14,62
2021-02-21,66
2021-02-28,67
2021-03-07,65
2021-03-14,60
2021-03-21,63
2021-03-28,70
2021-04-04,54
2021-04-11,52
2021-04-18,72
2021-04-25,62
2021-05-02,78
2021-05-09,76
2021-05-16,79
2021-05-23,77
2021-05-30,82
2021-06-06,86
2021-06-13,86
2021-06-20,77
2021-06-27,76
2021-07-04,77
2021-07-11,69
2021-07-18,75
2021-07-25,70
2021-08-01,71
2021-08-08,80
2021-08-15,83
2021-08-22,68
2021-08-29,71
2021-09-05,69
2021-09-12,89
2021-09-19,76
2021-09-26,82
2021-10-03,86
2021-10-10,63
2021-10-17,66
2021-10-24,76
2021-10-31,71
2021-11-07,74
2021-11-14,82
2021-11-21,82
2021-11-28,76
2021-12-05,76
2021-12-12,74
2021-12-19,73
2021-12-26,76
2022-01-02,91
2022-01-09,83
2022-01-16,79
2022-01-23,90
2022-01-30,75
2022-02-06,72
2022-02-13,80
2022-02-20,87
2022-02-27,70
2022-03-06,80
2022-03-13,80
2022-03-20,67
2022-03-27,59
2022-04-03,62
2022-04-10,48
2022-04-17,78
2022-04-24,89
2022-05-01,78
2022-05-08,62
2022-05-15,70
2022-05-22,79
2022-05-29,79
2022-06-05,74
2022-06-12,73
2022-06-19,68
2022-06-26,76
2022-07-03,68
2022-07-10,60
2022-07-17,70
2022-07-24,62
2022-07-31,81
2022-08-07,73
2022-08-14,78
2022-08-21,78
2022-08-28,73
2022-09-04,78
2022-09-11,70
2022-09-18,100
2022-09-25,89
2022-10-02,69
2022-10-09,72
2022-10-16,78
2022-10-23,69
2022-10-30,73
2022-11-06,72
2022-11-13,75
2022-11-20,74
2022-11-27,72
2022-12-04,69
2022-12-11,76
2022-12-18,77
2022-12-25,75
2023-01-01,73
2023-01-08,68
2023-01-15,73
2023-01-22,71
2023-01-29,77
2023-02-05,73
2023-02-12,65
2023-02-19,68
2023-02-26,77
2023-03-05,71
2023-03-12,81
2023-03-19,77
2023-03-26,80
2023-04-02,71
2023-04-09,56
2023-04-16,77
2023-04-23,76
2023-04-30,63
2023-05-07,86
2023-05-14,75
2023-05-21,69
2023-05-28,66
2023-06-04,85
2023-06-11,78
2023-06-18,72
2023-06-25,73
2023-07-02,61
2023-07-09,71
2023-07-16,77
2023-07-23,65
2023-07-30,79
2023-08-06,67
2023-08-13,65
2023-08-20,68
2023-08-27,69
2023-09-03,71
2023-09-10,71
2023-09-17,79
2023-09-24,74
2023-10-01,77
2023-10-08,70
2023-10-15,63
2023-10-22,71
2023-10-29,67
2023-11-05,75
2023-11-12,71
2023-11-19,70
2023-11-26,78
2023-12-03,65
2023-12-10,75
2023-12-17,68
2023-12-24,62
2023-12-31,79
2024-01-07,83
