,Home Furnishings
2018-12-30,59
2019-01-06,66
2019-01-13,59
2019-01-20,63
2019-01-27,56
2019-02-03,59
2019-02-10,64
2019-02-17,58
2019-02-24,64
2019-03-03,66
2019-03-10,59
2019-03-17,67
2019-03-24,72
2019-03-31,67
2019-04-07,62
2019-04-14,56
2019-04-21,49
2019-04-28,55
2019-05-05,56
2019-05-12,51
2019-05-19,58
2019-05-26,58
2019-06-02,62
2019-06-09,67
2019-06-16,65
2019-06-23,67
2019-06-30,69
2019-07-07,69
2019-07-14,66
2019-07-21,70
2019-07-28,66
2019-08-04,67
2019-08-11,63
2019-08-18,68
2019-08-25,64
2019-09-01,56
2019-09-08,65
2019-09-15,66
2019-09-22,62
2019-09-29,64
2019-10-06,61
2019-10-13,71
2019-10-20,66
2019-10-27,61
2019-11-03,64
2019-11-10,60
2019-11-17,64
2019-11-24,64
2019-12-01,66
2019-12-08,68
2019-12-15,75
2019-12-22,76
2019-12-29,69
2020-01-05,65
2020-01-12,63
2020-01-19,65
2020-01-26,64
2020-02-02,63
2020-02-09,65
2020-02-16,69
2020-02-23,65
2020-03-01,65
2020-03-08,56
2020-03-15,45
2020-03-22,38
2020-03-29,33
2020-04-05,39
2020-04-12,39
2020-04-19,42
2020-04-26,41
2020-05-03,52
2020-05-10,56
2020-05-17,59
2020-05-24,64
2020-05-31,67
2020-06-07,70
2020-06-14,74
2020-06-21,78
2020-06-28,69
2020-07-05,70
2020-07-12,70
2020-07-19,75
2020-07-26,71
2020-08-02,71
2020-08-09,74
2020-08-16,69
2020-08-23,67
2020-08-30,68
2020-09-06,72
2020-09-13,66
2020-09-20,67
2020-09-27,60
2020-10-04,61
2020-10-11,73
2020-10-18,73
2020-10-25,64
2020-11-01,60
2020-11-08,68
2020-11-15,76
2020-11-22,84
2020-11-29,86
2020-12-06,93
2020-12-13,91
2020-12-20,98
2020-12-27,92
2021-01-03,83
2021-01-10,84
2021-01-17,77
2021-01-24,76
2021-01-31,78
2021-02-07,76
2021-02-14,81
2021-02-21,74
2021-02-28,79
2021-03-07,81
2021-03-14,82
2021-03-21,77
2021-03-28,89
2021-04-04,87
2021-04-11,60
2021-04-18,76
2021-04-25,84
2021-05-02,88
2021-05-09,77
2021-05-16,87
2021-05-23,73
2021-05-30,81
2021-06-06,75
2021-06-13,79
2021-06-20,93
2021-06-27,96
2021-07-04,92
2021-07-11,91
2021-07-18,87
2021-07-25,90
2021-08-01,89
2021-08-08,79
2021-08-15,78
2021-08-22,75
2021-08-29,81
2021-09-05,82
2021-09-12,92
2021-09-19,89
2021-09-26,84
2021-10-03,92
2021-10-10,84
2021-10-17,88
2021-10-24,86
2021-10-31,85
2021-11-07,81
2021-11-14,80
2021-11-21,79
2021-11-28,90
2021-12-05,92
2021-12-12,86
2021-12-19,84
2021-12-26,95
2022-01-02,97
2022-01-09,100
2022-01-16,84
2022-01-23,95
2022-01-30,97
2022-02-06,98
2022-02-13,100
2022-02-20,100
2022-02-27,95
2022-03-06,99
2022-03-13,94
2022-03-20,97
2022-03-27,85
2022-04-03,81
2022-04-10,70
2022-04-17,81
2022-04-24,87
2022-05-01,89
2022-05-08,71
2022-05-15,79
2022-05-22,83
2022-05-29,89
2022-06-05,82
2022-06-12,77
2022-06-19,79
2022-06-26,76
2022-07-03,77
2022-07-10,78
2022-07-17,84
2022-07-24,74
2022-07-31,81
2022-08-07,83
2022-08-14,86
2022-08-21,90
2022-08-28,84
2022-09-04,85
2022-09-11,81
2022-09-18,85
2022-09-25,84
2022-10-02,81
2022-10-09,81
2022-10-16,86
2022-10-23,84
2022-10-30,86
2022-11-06,83
2022-11-13,85
2022-11-20,82
2022-11-27,83
2022-12-04,86
2022-12-11,91
2022-12-18,91
2022-12-25,89
2023-01-01,83
2023-01-08,81
2023-01-15,80
2023-01-22,82
2023-01-29,91
2023-02-05,81
2023-02-12,78
2023-02-19,83
2023-02-26,81
2023-03-05,78
2023-03-12,87
2023-03-19,84
2023-03-26,79
2023-04-02,78
2023-04-09,70
2023-04-16,75
2023-04-23,79
2023-04-30,76
2023-05-07,81
2023-05-14,79
2023-05-21,78
2023-05-28,72
2023-06-04,80
2023-06-11,78
2023-06-18,80
2023-06-25,82
2023-07-02,84
2023-07-09,88
2023-07-16,85
2023-07-23,84
2023-07-30,81
2023-08-06,83
2023-08-13,83
2023-08-20,81
2023-08-27,80
2023-09-03,83
2023-09-10,81
2023-09-17,85
2023-09-24,86
2023-10-01,83
2023-10-08,78
2023-10-15,85
2023-10-22,85
2023-10-29,83
2023-11-05,86
2023-11-12,82
2023-11-19,91
2023-11-26,85
2023-12-03,83
2023-12-10,91
2023-12-17,94
2023-12-24,91
2023-12-31,85
2024-01-07,90
