,Health Insurance
2018-12-30,60
2019-01-06,64
2019-01-13,56
2019-01-20,58
2019-01-27,63
2019-02-03,60
2019-02-10,65
2019-02-17,65
2019-02-24,62
2019-03-03,59
2019-03-10,66
2019-03-17,63
2019-03-24,69
2019-03-31,60
2019-04-07,57
2019-04-14,52
2019-04-21,53
2019-04-28,53
2019-05-05,54
2019-05-12,55
2019-05-19,54
2019-05-26,57
2019-06-02,54
2019-06-09,57
2019-06-16,59
2019-06-23,63
2019-06-30,61
2019-07-07,60
2019-07-14,66
2019-07-21,65
2019-07-28,65
2019-08-04,61
2019-08-11,55
2019-08-18,69
2019-08-25,66
2019-09-01,60
2019-09-08,67
2019-09-15,69
2019-09-22,69
2019-09-29,64
2019-10-06,63
2019-10-13,67
2019-10-20,58
2019-10-27,56
2019-11-03,66
2019-11-10,68
2019-11-17,70
2019-11-24,63
2019-12-01,67
2019-12-08,62
2019-12-15,63
2019-12-22,61
2019-12-29,64
2020-01-05,64
2020-01-12,59
2020-01-19,63
2020-01-26,62
2020-02-02,62
2020-02-09,63
2020-02-16,66
2020-02-23,63
2020-03-01,60
2020-03-08,57
2020-03-15,57
2020-03-22,32
2020-03-29,39
2020-04-05,48
2020-04-12,48
2020-04-19,43
2020-04-26,42
2020-05-03,53
2020-05-10,50
2020-05-17,53
2020-05-24,50
2020-05-31,56
2020-06-07,61
2020-06-14,58
2020-06-21,60
2020-06-28,61
2020-07-05,65
2020-07-12,71
2020-07-19,70
2020-07-26,68
2020-08-02,65
2020-08-09,70
2020-08-16,68
2020-08-23,68
2020-08-30,67
2020-09-06,65
2020-09-13,71
2020-09-20,70
2020-09-27,64
2020-10-04,70
2020-10-11,69
2020-10-18,62
2020-10-25,60
2020-11-01,60
2020-11-08,55
2020-11-15,62
2020-11-22,59
2020-11-29,62
2020-12-06,66
2020-12-13,68
2020-12-20,77
2020-12-27,71
2021-01-03,71
2021-01-10,58
2021-01-17,65
2021-01-24,59
2021-01-31,60
2021-02-07,63
2021-02-14,64
2021-02-21,66
2021-02-28,66
2021-03-07,61
2021-03-14,67
2021-03-21,71
2021-03-28,70
2021-04-04,73
2021-04-11,69
2021-04-18,74
2021-04-25,71
2021-05-02,74
2021-05-09,97
2021-05-16,85
2021-05-23,72
2021-05-30,68
2021-06-06,69
2021-06-13,70
2021-06-20,75
2021-06-27,75
2021-07-04,71
2021-07-11,74
2021-07-18,75
2021-07-25,71
2021-08-01,74
2021-08-08,93
2021-08-15,78
2021-08-22,71
2021-08-29,74
2021-09-05,78
2021-09-12,72
2021-09-19,74
2021-09-26,81
2021-10-03,84
2021-10-10,70
2021-10-17,74
2021-10-24,75
2021-10-31,62
2021-11-07,76
2021-11-14,71
2021-11-21,77
2021-11-28,89
2021-12-05,81
2021-12-12,91
2021-12-19,82
2021-12-26,85
2022-01-02,99
2022-01-09,75
2022-01-16,77
2022-01-23,71
2022-01-30,74
2022-02-06,72
2022-02-13,75
2022-02-20,77
2022-02-27,78
2022-03-06,80
2022-03-13,78
2022-03-20,86
2022-03-27,78
2022-04-03,81
2022-04-10,80
2022-04-17,80
2022-04-24,79
2022-05-01,79
2022-05-08,79
2022-05-15,77
2022-05-22,83
2022-05-29,91
2022-06-05,83
2022-06-12,82
2022-06-19,91
2022-06-26,81
2022-07-03,87
2022-07-10,87
2022-07-17,88
2022-07-24,88
2022-07-31,87
2022-08-07,83
2022-08-14,82
2022-08-21,84
2022-08-28,84
2022-09-04,81
2022-09-11,90
2022-09-18,87
2022-09-25,85
2022-10-02,77
2022-10-09,84
2022-10-16,90
2022-10-23,71
2022-10-30,89
2022-11-06,84
2022-11-13,87
2022-11-20,83
2022-11-27,78
2022-12-04,85
2022-12-11,86
2022-12-18,87
2022-12-25,100
2023-01-01,91
2023-01-08,83
2023-01-15,84
2023-01-22,87
2023-01-29,88
2023-02-05,87
2023-02-12,83
2023-02-19,88
2023-02-26,98
2023-03-05,80
2023-03-12,88
2023-03-19,81
2023-03-26,88
2023-04-02,81
2023-04-09,82
2023-04-16,80
2023-04-23,79
2023-04-30,78
2023-05-07,76
2023-05-14,75
2023-05-21,76
2023-05-28,79
2023-06-04,79
2023-06-11,85
2023-06-18,88
2023-06-25,87
2023-07-02,86
2023-07-09,92
2023-07-16,90
2023-07-23,98
2023-07-30,92
2023-08-06,88
2023-08-13,86
2023-08-20,87
2023-08-27,83
2023-09-03,84
2023-09-10,87
2023-09-17,83
2023-09-24,92
2023-10-01,90
2023-10-08,88
2023-10-15,82
2023-10-22,72
2023-10-29,77
2023-11-05,77
2023-11-12,75
2023-11-19,82
2023-11-26,78
2023-12-03,77
2023-12-10,86
2023-12-17,84
2023-12-24,81
2023-12-31,85
2024-01-07,89
